ഁ	ɐ̃
അ	ə
അം	ə̃
അംഗം	əŋgə
അംഗങ്ങളായ	əŋgəɲɑːjɑː
അംഗങ്ങളും	əŋgɨɭum
അംഗങ്ങളുണ്ട്	əŋgəɳɲuːt̪
അംഗങ്ങളുള്ള	əŋgəɳɳɨːɭɨːɭ
അംഗങ്ങളെ	əŋgəɳɲɛ
അംഗങ്ങള്	əŋgəɳɳəɭ
അംഗങ്ങൾ	əŋgaɳɳe
അംഗത്വം	ɐŋgɐt̪ʋʷɐm
അംഗത്വം	əŋgɐd̪ʋɐm
അംഗഭംഗം	əŋgəbʰəŋgəm
അംഗമാണോ	əŋgəmaːɳo
അംഗമാണ്	əŋgɒːmːɒː
അംഗീകരിക്കണം	əŋgiːkɐɾikkɐɳɐ
അംഗീകരിക്കാനാവില്ല	əŋgiɾikkɑːnɑːʋɪlː
അംഗീകരിക്കാന്	əŋgiːkɐːn̪ə
അംഗീകരിക്കാൻ	əŋgiɾikkɑː
അംഗീകരിക്കില്ല	əŋgiɾɪkɪɭː
അംഗീകരിക്കും	əŋgiːkɐɾikːum
അംഗീകരിക്കുക	əŋgiːkɐɾikːuː
അംഗീകരിക്കുന്നില്ല	əŋgiɾoːɳɪɭː
അംഗീകരിക്കുന്നു	əŋgiɛɾikkɔː
അംഗീകരിക്കുന്നുണ്ടോ	əŋgiɾoːɳŋuɳɔː
അംഗീകരിക്കുന്നുവെന്ന്	əŋgiɾoːɳŋuʋeɭːn̪ː
അംഗീകരിക്കുന്നോ	əŋgiɾoːɳoː
അംഗീകരിക്കേണ്ടി	əŋgiɾikkɛɳɖi
അംഗീകരിച്ചാലും	əŋgiːɾitʃɐːlɯm
അംഗീകരിച്ചിരിക്കുന്നു	əŋgiːkɐɾiʈːɐ
അംഗീകരിച്ചു	əŋgiːkɐɾiɭuʈu
അംഗീകാരം	əŋiːgɑːɾʌm
അംഗീകൃതമായ	əŋgiːkrɨt̪ɑːjɑː
അംഗൂരി	əŋguːri
അംഗൻവാടി	ɐŋgɐnʋʷaːɖi
അംജദിനു	əmdʒɐd̪ɪnu
അംജദിനെ	əmdʒɐd̪ine
അംജദും	əmdʒəɖum
അംജദ്	əmdʒɐɖ
അംബര്	əmbɐr
അംബർസരിയാ	əmbəɾsəriə
അംശം	əms̪ə
അകം	əgɐm
അകത്താകും	əkət̪ɑːkum
അകത്താക്കും	əkət̪ːɑːkɨm
അകത്താണ്	əkaʈːɑːm
അകത്തായത്	əgət̪ːɑːjət̪
അകത്തു	əkaʈːu
അകത്തുണ്ടോ	əgət̪ːuɳɳo
അകത്തുണ്ട്	əkaʈːuŋŋə
അകത്തുപോയി	əkaʈːuʋɐj
അകത്തുള്ള	əgət̪ːuɭːə
അകത്തുള്ളവര്	əgət̪ːuɭːəʋəɾə
അകത്തുവരൂ	əkət̪ːuʋɐɾuː
അകത്തുവാ	əkət̪ːuʋɑ
അകത്തെ	əkkə
അകത്തെത്തി	əkkɛt̪ːi
അകത്തേക്	əkət̪ːeːk
അകത്തേക്കു	əgət̪ːeːgu
അകത്തേക്കോ	əkaʈːeːkoː
അകത്തേക്ക്	əkaʈːeːk
അകത്തേയ്ക്	əkət̪ːeːk
അകത്തേയ്ക്കു	əkət̪ːeːkku
അകത്തേയ്ക്ക്	əkət̪ːeːk
അകത്തോട്ടു	əgət̪ːoːɖu
അകത്തോട്ടും	əkaʈːoːʈːum
അകത്തോട്ട്	əgət̪ːoːt̪ː
അകത്ത്	əkɐʈ
അകന്ന	əgən̪ː
അകന്നു	əgənːu
അകന്ന്	əgən̪
അകപ്പെടും	əgəpət̪ːu
അകപ്പെട്ടിരിക്കുന്നു	əkəɭəɭtiɾɪjɐɳɳo
അകപ്പെട്ടു	əgəɭəɭʈu
അകറ്റി	əkaʈʈi
അകറ്റിനിര്	əkaʈːiɳiɾ
അകറ്റുന്നു	əkɐɳɳu
അകലം	əgɐləm
അകലങ്ങളില്	əgələnɟɪlɪ
അകലത്തില്	əgələt̪ːil
അകലയാണ്	əgɐlɐjɑːm
അകലെ	əkələ
അകലെയാണ്	əkəlɛjɑːm
അകലെയായി	əkələjɑːj
അകലെയുള്ള	əkɐleːuɭː
അകലേക്ക്	əgələːk
അകല്	əkəɭ
അകവും	əkəʋum
അകാത്തോറിലേക്ക്	əkaːt̪oːɾiːɭeːk
അകാത്തോറിൽ	əkɑːt̪oːɾil
അകി	əki
അകിര	əgiɾ
അകെ	əkɛ
അകേല	əkeːlə
അകൊനി	əkoɳi
അക്കം	əkːəm
അക്കങ്ങള്	əgənɭə
അക്കരയിൽ	əkaɾəɳʈʂ
അക്കരെ	əkːəɾe
അക്കാദമി	əkaːd̪əmi
