whaea	ɸaɛa
matua	matua
wai	wai
kai	kai
whare	ɸaɾɛ
tangata	taŋata
wā	waː
rākau	raːkau
ringa	ɾiŋa
kanohi	kanohi
a	a
ae	ae
aha	aha
ahi	ahi
ahu	ahu
ai	ai
ao	ao
aroha	aroha
atu	atu
au	au
awa	awa
e	e
ea	ea
ehara	ehara
eke	eke
engari	eŋari
haere	haere
hapa	hapa
harakeke	harakeke
hau	hau
he	he
hea	hea
hei	hei
heke	heke
here	here
hi	hi
hia	hia
hiahia	hiahia
hiki	hiki
hoa	hoa
hoe	hoe
hoiho	hoiho
hoki	hoki
homai	homai
hope	hope
horoi	horoi
hou	hou
hui	hui
i	i
ia	ia
ihi	ihi
ika	ika
ingoa	iŋoa
ihu	ihu
iwi	iwi
kaha	kaha
kaho	kaho
kai	kai
kāinga	kaiŋa
kaka	kaka
kākahu	kakahu
kākāriki	kakariki
kamo	kamo
kanohi	kanohi
kao	kao
kapu	kapu
karaka	karaka
karanga	karaŋa
kararehe	kararehe
kare	kare
karetao	karetao
kāreti	kareti
kāri	kari
karo	karo
kata	kata
kāti	kati
kau	kau
kauae	kauae
kaute	kaute
kawa	kawa
kē	ke
kei	kei
kete	kete
ki	ki
kia	kia
kihi	kihi
kiko	kiko
kino	kino
kiore	kiore
kiri	kiri
kite	kite
kiwi	kiwi
ko	ko
kō	ko
koha	koha
kōhatu	kohatu
kohu	kohu
koi	koi
kōkako	kokako
kōkā	koka
konei	konei
kopa	kopa
kōpū	kopu
kora	kora
kōrea	korea
kōrua	korua
kotahi	kotahi
kōtero	kotero
kou	kou
koutou	koutou
kōwhai	kofai
kua	kua
kuia	kuia
kūmara	kumara
kume	kume
kura	kura
kuti	kuti
mā	ma
māhoe	mahoe
mahi	mahi
māhita	mahita
mahu	mahu
mai	mai
māia	maia
mākū	maku
mama	mama
manu	manu
mana	mana
manaaki	manaaki
manawa	manawa
manga	maŋa
māngere	maŋere
mano	mano
māra	mara
marae	marae
marama	marama
marino	marino
maroke	maroke
maru	maru
mata	mata
mataku	mataku
matapihi	matapihi
mate	mate
matenga	mateŋa
matua	matua
mau	mau
māua	maua
maunga	mauŋa
māwhero	mafero
me	me
mea	mea
meke	meke
moana	moana
moe	moe
moemoeā	moemoea
moho	moho
mōhio	mohio
mōkai	mokai
moko	moko
motu	motu
mou	mou
mua	mua
muri	muri
mutu	mutu
nā	na
nawe	nawe
neke	neke
ngeru	ŋeru
ngā	ŋa
ngāhere	ŋahere
ngākau	ŋakau
ngaki	ŋaki
ngako	ŋako
ngārara	ŋarara
ngata	ŋata
ngāwari	ŋawari
ngehe	ŋehe
ngenge	ŋeŋe
ngohe	ŋohe
ngongo	ŋoŋo
ngu	ŋu
noa	noa
nōhea	nohea
noho	noho
nui	nui
o	o
oho	oho
oma	oma
one	one
onepū	onepu
ora	ora
ō	o
pā	pa
pai	pai
pakeke	pakeke
panuku	panuku
papa	papa
pāpā	papa
para	para
parāoa	paraoa
parauri	parauri
pare	pare
pārera	parera
pāreu	pareu
pātai	patai
pātiki	patiki
pāua	paua
pea	pea
peke	peke
pepe	pepe
pere	pere
petipeti	petipeti
pi	pi
pia	pia
piki	piki
piko	piko
pingao	piŋao
pipi	pipi
pirau	pirau
pito	pito
piu	piu
po	po
pō	po
pōhā	poha
poaka	poaka
poi	poi
pōito	poito
pōkai	pokai
pōkarekare	pokarekare
poke	poke
pōro	poro
pōtae	potae
pōuri	pouri
pū	pu
pua	pua
pūāhuru	puahuru
pūkana	pukana
puke	puke
puku	puku
pūoro	puoro
pūrerehua	purerehua
pūtoro	putoro
ra	ra
rā	ra
rahi	rahi
rāhui	rahui
rākau	rakau
rangi	raŋi
rango	raŋo
rāpihi	rapihi
raro	raro
rata	rata
rātou	ratou
rau	rau
raumati	raumati
raupō	raupo
rawa	rawa
re	re
reka	reka
rere	rere
reta	reta
reo	reo
riki	riki
rima	rima
ringa	riŋa
ripi	ripi
ripo	ripo
riri	riri
rito	rito
riwai	riwai
roa	roa
rohe	rohe
rongo	roŋo
rori	rori
roto	roto
rua	rua
runga	ruŋa
rūri	ruri
tā	ta
tai	tai
tāiki	taiki
tākaro	takaro
take	take
tākiri	takiri
tākuta	takuta
tama	tama
tāmariki	tamariki
tāne	tane
tangata	taŋata
tangi	taŋi
taonga	taoŋa
tapu	tapu
tara	tara
tārai	tarai
tarake	tarake
taringa	tariŋa
taro	taro
tau	tau
tauā	taua
tāua	taua
taumaha	taumaha
taura	taura
tāwhai	tafai
te	te
tē	te
tēina	teina
tēnei	tenei
tērā	tera
tī	ti
tia	tia
tika	tika
tiki	tiki
tīkiti	tikiti
tipu	tipu
tīpuna	tipuna
tiri	tiri
to	to
toa	toa
toetoe	toetoe
tohu	tohu
tomo	tomo
tonga	toŋa
tomo	tomo
toru	toru
totara	totara
tou	tou
tū	tu
tua	tua
tuāhine	tuahine
tuakana	tuakana
tuarua	tuarua
tuatahi	tuatahi
tuhi	tuhi
tui	tui
tuka	tuka
tūpāpaku	tupapaku
tūrei	turei
turituri	turituri
tūtahi	tutahi
tūturu	tuturu
ua	ua
uenuku	uenuku
ui	ui
uira	uira
uma	uma
upoko	upoko
uru	uru
uta	uta
utu	utu
wā	wa
waea	waea
waha	waha
wai	wai
waiata	waiata
waiho	waiho
waka	waka
wāhi	wahi
waka	waka
ware	ware
waru	waru
wehe	wehe
wehi	wehi
weriweri	weriweri
