अंकगणित	əŋkəgəɳiːt̪
अंथरूण	ənt̪ʰɾuːɳ
अंबिग	əmbiːg
अंबी	əmbiː
अंबु	əmbuː
अंबेकरी	əmbekɾiː
अंबोळी	əmboɭ̆iː
अकथित	əkt̪ʰiːt̪
अग्नि	əgniː
अजून	ədzuːn
अठ्ठावीस	əʈʈʰaʋiːs
अठ्ठेचाळीस	əʈʈʰetɕaɭ̆iːs
अडतीस	əɖət̪iːs
अडाणी	əɖaɳiː
अणू	əɳuː
अधातू	əd̪ʱat̪uː
अधिकृत	əd̪ʱikɾuːt̪
अपुन	əpuːn
अबीर	əbiːɾ
अभिनेत्री	əbʱinet̪ɾiː
अमरावती	əmɾaʋət̪iː
अश्रु	əɕɾuː
आई	aiː
आकाशी	akaɕiː
आकृती	akɾut̪iː
आगगाडी	aggaɖiː
आगाऊ	agauː
आजारी	adzaɾiː
आजी	adʑiː
आणि	aɳiː
आणीबाणी	aɳibaɳiː
आधी	ad̪ʱiː
आनंददायी	anənd̪d̪ajiː
आमटी	amʈiː
आम्ही	amʱiː
आळशी	aɭ̆ɕiː
आवृत्ती	aʋɾut̪t̪iː
आसामी	asamiː
आसू	asuː
आस्तिक	ast̪iːk
आस्मानी	asmaniː
इंग्रजी	iŋgɾədʑiː
इंदूर	ind̪uːɾ
इतिहास	it̪iːas
इस्पिक	ispiːk
इस्राइल	isɾaiːl
उंची	untɕiː
उत्क्रांती	ut̪kɾant̪iː
उत्सव	utsʰəʋ
उत्साह	utsʰaɦə
उत्साही	utsʰaiː
उदाहरण	ud̪ʱaɾəɳ
उधई	ud̪ʱəiː
उर्दू	uɾd̪uː
उशी	uɕiː
ऊ	uː
ऊदबत्ती	ud̪bət̪t̪iː
ऋ	ɾuː
ऋण	ɾuːɳ
ऋणी	ɾuɳiː
ऋतू	ɾut̪uː
एकवीस	ekʋiːs
एकी	ekiː
एकेचाळीस	eketɕaɭ̆iːs
एकोणचाळीस	ekoɳtɕaɭ̆iːs
एकोणतीस	ekoɳt̪iːs
एकोणीस	ekoɳiːs
एप्रिल	epɾiːl
ऐ	əiː
ऐंशी	əiuɕiː
औ	əuː
कंदील	kənd̪iːl
कचेरी	kətɕeɾiː
कटि	kəʈiː
कठीण	kəʈʰiːɳ
कडू	kəɖuː
कढी	kəɖʱiː
कदाचित	kəd̪atɕiːt̪
कमी	kəmiː
कराची	kəɾatɕiː
कळशी	kəɭ̆ɕiː
कळी	kəɭ̆iː
कवयित्री	kəʋjit̪ɾiː
कवाईत	kəʋaiːt̪
कवि	kəʋiː
कवी	kəʋiː
कसोटी	kəsoʈiː
कहाणी	kaɳiː
काकू	kakuː
काठी	kaʈʰiː
कात्री	kat̪ɾiː
कानपूर	kanpuːɾ
कापूर	kapuːɾ
कापूस	kapuːs
काफी	kapʰiː
कारागीर	kaɾagiːɾ
काळजी	kaɭ̆dʑiː
काळवीट	kaɭ̆ʋiːʈ
काळीज	kaɭ̆iːdz
काही	kaiː
किल्ली	killiː
की	kiː
कीव	kiːʋ
कुंकू	kuŋkuː
कुंकूं	kuŋkuː̃
कुतूहल	kut̪uːl
कुलकर्णी	kulkəɾɳiː
कुलूप	kuluːp
केशरी	keɕɾiː
कोची	kotɕiː
कोटी	koʈiː
कोयती	kojt̪iː
कोल्हापूर	kolʱapuːɾ
कोशिंबीर	koɕimbiːɾ
कोशीस	koɕiːs
क्रांती	kɾant̪iː
क्रूस	kɾuːs
क्षितिज	kʂit̪iːdʑ
खजूर	kʰədzuːɾ
खडू	kʰəɖuː
खरेदी	kʰəɾed̪iː
खलाशी	kʰəlaɕiː
खाऊ	kʰauː
खाजगी	kʰadzgiː
खाली	kʰaliː
खिडकी	kʰiɖkiː
खीर	kʰiːɾ
खुर्ची	kʰuɾtɕiː
खुश	kʰuːɕ
खूण	kʰuːɳ
खून	kʰuːn
खोली	kʰoliː
ख्रिस्ती	kʰɾist̪iː
गंभीर	gəmbʱiːɾ
गरीब	gəɾiːb
गल्ली	gəlliː
गहिरे	gəiɾe
गहिरे	gəiɾə
गहू	guː
गांडूळ	gaɳɖuːɭ̆
गादी	gad̪iː
गारुडी	gaɾuɖiː
गिंडी	giɳɖiː
गुज	guːdz
गुजराती	gudzɾat̪iː
गुढी	guɖʱiː
गुण	guːɳ
गुरू	guɾuː
गुलाबी	gulabiː
गुहा	guːa
गूळ	guːɭ̆
गोणी	goɳiː
गोसावी	gosaʋiː
घरजावई	gʱəɾdzaʋəiː
चटई	tsəʈəiː
चव्वीस	tsəʋʋiːs
चव्वेचाळीस	tsəʋʋetɕaɭ̆iːs
चहा	tɕa
चांदणी	tsand̪əɳiː
चांदी	tsand̪iː
चाकू	tsakuː
चामडी	tsamɖiː
चालू	tsaluː
चाळीस	tɕaɭ̆iːs
चावी	tsaʋiː
चाहणे	tɕaɳe
चाहणे	tɕaɳə
चिठ्ठी	tɕiʈʈʰiː
चित्तूर	tɕit̪t̪uːɾ
चिमणी	tɕimɳiː
चीक	tɕiːk
चीज	tɕiːdz
चीन	tɕiːn
चीनी	tɕiniː
चूक	tsuːk
चूळ	tsuːɭ̆
चेंडू	tɕeɳɖuː
चेन्नई	tɕennəiː
चेहरा	tɕeɾa
चोवीस	tsoʋiːs
चौक	tsəuːk
चौतीस	tsəut̪iːs
चौधरी	tsəud̪ʱɾiː
छत्री	tɕʰət̪ɾiː
जंगली	dʑəŋgliː
जन्मखूण	dʑənməkʰuːɳ
जपानी	dʑəpaniː
जबाबदारी	dzəbabd̪aɾiː
जमीन	dzəmiːn
जयपूर	dʑəjpuːɾ
जळू	dzəɭ̆uː
जहाज	dzadz
जाऊ	dzauː
जाणूनबुजून	dzaɳunbudzuːn
जानेवारी	dʑaneʋaɾiː
जारी	dʑaɾiː
जाळी	dʑaɭ̆iː
जावई	dzaʋəiː
जाहिरात	dʑʱaiɾat̪
जाहीर	dʑʱaiːɾ
जीभ	dʑiːbʱ
जीव	dʑiːʋ
जीवाणू	dʑiʋaɳuː
जुलै	dʑuləiː
जून	dʑuːn
जैन	dʑəiːn
जैविक	dʑəiʋiːk
जोखीम	dzokʰiːm
ज्ञानी	dʑnaniː
ज्ञानेंद्रिय	dʑnanend̪ɾiːj
ज्यामिति	dʑjamit̪iː
झाडू	dzʱaɖuː
झाशी	dzʱaɕiː
झुळूक	dzʱuɭ̆uːk
झोपडी	dzʱopɖiː
टरबूज	ʈəɾbuːdz
टाळी	ʈaɭ̆iː
टिकली	ʈikliː
टिकाऊ	ʈikauː
टीम	ʈiːm
