 一直跑廁所，全是你的噱頭	put˧si˩ tsau˥ pian˦sɔ˥, tsuan si˦ li˥ e˩ kʰue˧hai˩
 原始的溼地，生態非常豐富，咱們得要好好地保護	guan˩si˥ e˩ lam˨a˥te˦, siŋ˧tʰai˨ hui˧sioŋ˩ hoŋ˧hu˨, lan˥ tioʔ˩ai˨ ho˥ho˥a˥ po˥hɔ˦
 要架設風力發電機，就得在比較受風處	beʔ˧ siat˧ hoŋ˧li˧̍k huat˧tian˦ki˧, to˦ ai˨ ti˦ kʰaʔ˧ tsiaʔ˧hoŋ˧ e˩ sɔ˥tsai˧
 親戚之間能禮尚往來，才會比較親近	tsʰintsia˧˥˧ u˧ le˥sɔ˨ sio˧tʰin˦，kʰaʔ˧ e˦ tsʰin
 這個客人很難應付	tsit e˩ laŋ˩kʰeʔ˧ tsin kʰue˧hai˩
 那個手機都已經打了對折了，他還強求，叫店員送他電池和配件	he˧ tsʰiu˥ki˧a˥ to˧ i˥kiŋ˧ u˧ tã˥ tui˩tsiataʔ˧, i˧ koʔ˧ ŋe˦au˥, kio˨ tiam˨uan˧˥ saŋ˨ i˧ tian˦ti˩ kaʔ˧ pʰue˨kĩã˦
(我們做事情再怎麼樣都不要慌裡慌張，愈是緊急愈是得謹慎為要	lan˥ tso˩ tai˦tsi˩ sian˧ to˧ m̄tʰaŋ˧ kuã˥koŋ˩, tioʔ˩ kin˥su˦kʰuã˧pan˦ kʰaʔ˧ tʰo˨toŋ˨
《小五義》中的人物	ŋai˦ hɔ˥
「貓的」是麻臉的人，「無點」可以表示沒有麻點，也可以表示沒有成績這個說法一語雙關，字面上是「別看麻臉的人沒有麻點」，但實際上要說的是「別以為麻臉的人不會有好成績」常用來表示不要以貌取人」	m̄tʰaŋ˧ kʰuã˨ niau˧e˩ bo˩ tiam˥
一丈還差九尺，差得遠呢	tsit˧ tn̩˦ tsʰa kau˥ tsʰioʔ, tsʰa hn̩˦leʔ˧
一下子	tsit˧kʰun˨a˥
一下子冷，一下子熱，導致蜂蛹產量減少	liam˩mi˧ kuã˩, liam˩mi˧ dzuaʔ˩, pʰaŋ˧he˩ sẽ˧ tsin tsio˥
