㔂	lan˨˦
㔂甘蔗	lan˨˦kam˥˥tsia˨˩
㤉	ge˨˦
㤉潲	ge˨˦siau˨˦
㧌	mau˥˥
㧎	kʰe˨˦
㧒	hiat˨
㧣	tu˥˥
㧣風	tu˥˥hoŋ˥˥
㧻	tok˨
㨂	taŋ˨˩
㨂甲	taŋ˨˩kaʔ˨
㨑	tsaŋ˥˥
㨨	liu˨˦
㨻	tsã˧˧
㨻魚	tsã˧˧hi˨˦
㴘	bau˧˧
㴘麵	bau˧˧mi˧˧
㴙㴙滴	tsʰap˦tsʰap˦tiʔ˨
㴙㴙落	tsʰap˦tsʰap˦loʔ˨
㽎	sim˨˩
㾀	kʰiap˨
㾀勢	kʰiap˨si˨˩
㾀勢命	kʰiap˨si˨˩mia˧˧
㾀屎	kʰiap˨sai˥˧
䀐	siam˥˥
䆀	bai˥˧
䆀味	bai˥˧bi˧˧
䆀手	bai˥˧tsʰiu˥˧
䆀才	bai˥˧tsai˨˦
䆀指	bai˥˧tsãĩ˥˧
䆀氣	bai˥˧kʰui˨˩
䆀猴	bai˥˧kau˨˦
䆀猴𠢕欠數	bai˥˧kau˨˦gau˨˦kʰiam˨˩siau˨˩
䆀空	bai˥˧kʰaŋ˥˥
䆀豆仔	bai˥˧tau˧˧a˥˧
䖙	tʰe˥˥
䖙椅	tʰe˥˥i˥˧
䖳	tʰe˧˧
䘥仔	kaʔ˨a˥˧
䘼	ńg1
䠡	tsʰe˨˦
䢢拄䢢	tsʰiaŋ˧˧tu˥˧tsʰiaŋ˧˧
䫌	pʰue˥˧
一	it˨
一	tsit˦
一丈差九尺	tsit˦tŋ˥˥tsʰa˥˥kau˥˧tsʰioʔ˨
一下	tsit˦e˧˧
一下手	tsit˦e˧˧tsʰiu˥˧
一世人	tsit˦si˨˩laŋ˨˦
一个人一款命	tsit˦e˨˦laŋ˨˦tsit˦kʰuan˥˧mia˧˧
一个囡仔較鬧熱三个大人	tsit˦e˨˦gin˥˧a˥˧kʰaʔ˨lau˧˧dziat˦sã˥˥e˨˦tua˧˧laŋ˨˦
一个某較好三个天公祖	tsit˦e˨˦bɔ˥˧kʰaʔ˨ho˥˧sã˥˥e˨˦tʰĩ˥˥koŋ˥˥tsɔ˥˧
一个錢拍二十四个結	tsit˦e˨˦tsĩ˨˦pʰaʔ˨dzi˧˧tsap˦si˨˩e˨˦kat˨
一人一家代	tsit˦laŋ˨˦tsit˦ke˥˥tai˧˧
一人愛出一半	tsit˦laŋ˨˦ai˨˩tsʰut˨tsit˦pũã˨˩
一人煩惱一樣	tsit˦laŋ˨˦huan˨˦lo˥˧tsit˦ĩũ˧˧
一人看出一家	tsit˦laŋ˨˦kʰũã˨˩tsʰut˨tsit˦ke˥˥
