一蕊花	tsit˧ lui˥ hue˧
紅嬰仔哭甲一身軀汗。	aŋ˩ẽ˧a˥ kʰau˨ kaʔ˧ tsit˧ sin˧kʰu˧ kuã˦.
一睏仔	tsit˧kʰun˨a˥
一絲仔	tsit˧si˧a˥
一流	it˧liu˩
一生	it˧siŋ˧
一向	it˧hioŋ˨
小等一下。	sio˥tan˥tsit˧e˦.
老母一下死，囡仔就大聲吼。	lau˦bu˥ tsit˧e˦ si˥, gn˥a˥ to˦ tua˧sĩã˧ hau˥.
氣一下袂講話。	kʰi˨ tsit˧e˦ be˦ koŋ˥ue˧.
你一月日趁偌濟錢？	li˥ tsit˧ gueʔ˩dzit˩ tʰan˨ gua˦tse˧ tsi˧˥˧?
你毋好一日到暗拋拋走。	li˥ m̄ho˥ tsit˧dzit˩kau˨am˨ pʰa˧pʰa˧tsau˥.
我一世人毋捌做過對不起別人的代誌。	gua˥ tsit˧si˨laŋ˩ m̄ bat˧ tso˩kue˨ tui˩put˧kʰi˥ pa˧̍tlaŋ˩ e˩ tai˦tsi˩.
買果子的錢，一人愛出一半。	be˥ kue˥tsi˥ e˩ tsi˧˥˧, tsit˧ laŋ˩ ai˨ tsʰut tsit˧puã˨.
塗跤一半擺仔無拭，袂偌垃圾啦！	tʰɔ˩kʰa˧ tsit˧puã˨pai˥a˥ bo˩ tsʰit, be˦ gua˦ laʔ˧sap˧laʔ˧!
頭家人真好，我一半日仔無去，伊嘛袂按怎。	tʰau˩ke˧ laŋ˩ tsin ho˥, gua˥ tsit˧puã˨dzit˩a˥ bo˩ kʰi˨, i˧ ma˦ be˦ an˥tsua˥˧.
物件毋通掖甲一四界。	mi˧̍hkĩã˦ m̄tʰaŋ˧ ia˦ kaʔ˧ tsit˧si˨ke˨.
一旦地動，彼間厝就會倒。	it˧tan˨ te˦taŋ˦, hit˧ kiŋ˧ tsʰu˩ to˦ e˦ to˥.
毀於一旦	hui˥ i˩ it˧tan˨
你毋通放蕩過一生。	li˥ m̄tʰaŋ˧ hoŋ˨toŋ˦ kue˨ it˧siŋ˧.
