一下咬指甲	liam˨˦mi˥˥ka˧˧tsiŋ˥˧kaʔ˨
一下子	tsit˦kʰun˨˩a˥˧
一下拉拔頭髮	liam˨˦mi˥˥kʰiu˥˧tʰau˨˦tsaŋ˥˥
一二三	io˥˥dzi˧˧sã˥˥
一些借給我	tsit˦sut˨a˥˧tsioʔ˨ɡua˥˧
一人一個家庭，祖先牌位各自供奉；謂兄弟分家後，各管各的事，互不相干	tsit˦laŋ˨˦tsit˦ke˥˥tai,7koŋ˥˥ma˥˧sui˨˦laŋ˨˦tsʰai˧˧
一人要出一半	tsit˦laŋ˨˦ai˨˩tsʰut˨tsit˦pũã˨˩
一來我沒時間	it˨lai˨˦ɡua˥˧bo˨˦si˨˦kan˥˥
一個好老婆勝過三個老天爺保佑。比喻太太至上之意	tsit˦e˨˦bɔ˥˧kʰaʔ˨ho˥˧sã˥˥e˨˦tʰĩ˥˥koŋ˥˥tsɔ˥˧
一個月之內	tsit˦ko˨˩ɡueʔ˦lai˧˧
一個鼻子	tsit˦ki˥˥pʰĩ˧˧
一分錢	tsit˦hun˥˥tsĩ˨˦
一分錢	tsit˦sian˥˧tsĩ˨˦
一分鐘	tsit˦hun˥˥tsiŋ˥˥
一包米	tsit˦pau˥˥bi˥˧
一匹布	tsit˦pʰit˨pɔ˨˩
一千元	tsit˦tsʰiŋ˥˥kʰɔ˥˥
一升米	tsit˦tsin˥˥bi˥˧
一口井	tsit˦kʰau˥˧tsẽ˥˧
一句話	tsit˦ku˨˩ue˧˧
一台電視	tsit˦tai˨˦tian˧˧si˧˧
一向	it˨hioŋ˨˩
一天	tsit˦dzit˦
一家之主	it˨ka˥˥tsi˥˥tsu˥˧
一家人	tsit˦ke˥˥kʰau˥˧
一小步也行走不得，喻處境困窘	tsʰun˨˩pɔ˧˧lan˨˦hiŋ˨˦
一層土	tsit˦un˨˦tʰɔ˨˦
一年	tsit˦taŋ˥˥
一張嘴	tsit˦ki˥˥tsʰui˨˩
一戶	tsit˦kʰau˥˧tsau˨˩
一戶人家	tsit˦hɔ˧˧dzin˨˦ke˥˥
一打汽水	tsit˦tã˥˧kʰi˨˩tsui˥˧
一把劍	tsit˦kʰau˥˧kiam˨˩
一旁、一邊	tsit˦piŋ˨˦
一旦地震	it˨tan˨˩te˧˧taŋ˧˧
一本書	tsit˦pun˥˧tsʰeʔ˨
一朵花	tsit˦lui˥˧hue˥˥
一枝香蕉花所結的一長串香蕉	tsit˦kiŋ˥˥kiŋ˥˥tsio˥˥
一根香蕉	tsit˦dzi˥˧kiŋ˥˥tsio˥˥
一樣重	pẽ˨˦taŋ˧˧
一比五	it˨pi˥˧ɡɔ˧˧
一流	it˨liu˨˦
一片木板	tsit˦pʰĩ˨˩paŋ˥˥a˥˧
一片西瓜	tsit˦piŋ˨˦si˥˥kue˥˥
一生	it˨siŋ˥˥
一疊衛生紙	tsit˦tsi˥˧ue˧˧siŋ˥˥tsua˥˧
一直向前走過去	it˨tit˦hioŋ˨˩tsian˨˦kĩã˨˦
一知半解	pũã˨˩tsai˥˥pũã˨˩m˥˥tsai˥˥
一般人都很愛面子	it˨pũã˥˥laŋ˨˦loŋ˥˧tsin˥˥ai˨˩bin˧˧tsu˥˧
一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口	im˥˥tʰim˥˥im˥˥thim,1ka˧˧laŋ˨˦sã˥˥tsʰun˨˩tsʰim˥˥
一覺睡醒之後	kʰun˨˩pa˥˧liau˥˧au˧˧
一輛車	tsit˦tai˨˦tsʰia˥˥
一輩子	tsit˦si˨˩laŋ˨˦
一邊讀書	tsit˦bin˧˧tʰak˦tsʰeʔ˨
一餐可以吃掉六碗飯	tsit˦tǹg1e˧˧taŋ˨˩tsiaʔ˦lak˦ũã˥˧pŋ˥˥
一點也不會小氣吝嗇	loŋ˥˧be˧˧taŋ˨˩sŋ˥˥
一點小事不用放在心上	sio˥˧kʰua˥˧a˥˧tai˧˧tsi˨˩m˥˥bian˥˧khǹg1ti˧˧sim˥˥kũã˥˥lai˧˧
一點小事情都辦不好	tsit˦sut˨a˥˧tai˧˧tsi˨˩to˥˥pan˧˧be˧˧ho˥˧se˨˩
一點點	tsit˦si˥˥a˥˧
一點點	tsit˦tiam˥˧a˥˧
七個人	tsʰit˨e˨˦laŋ˨˦
七分靠努力。取自流行歌曲歌詞	tsʰit˨hun˥˥kʰo˨˩pʰaʔ˨pĩã˨˩
丈夫的弟弟	sio˥˧tsik˨a˥˧
丈夫的父親	aŋ˥˥sai˨˩e˨˦lau˧˧pe˧˧
三八婦女節	sam˥˥pat˨hu˧˧li˥˧tseʔ˨
三分天注定	sã˥˥hun˥˥tʰĩ˥˥tsu˨˩tĩã˧˧
三千以上	sã˥˥tsʰiŋ˥˥i˥˧sioŋ˧˧
三叩首	sam˥˥kʰio˨˩siu˥˧
三思而後行	sam˨˩su˥˥dzi˨˦hio˧˧hiŋ˨˦
三教九流	sam˥˥kau˨˩kiu˥˧liu˨˦
三斗米	sã˥˥tau˥˧bi˥˧
三更半夜	sã˥˥kẽ˥˥pũã˨˩me˨˦
三條狗	sã˥˥tsiaʔ˨kau˥˧
三毛錢	sã˥˥kak˨ɡin˨˦
三生有幸	sam˥˥siŋ˥˥iu˥˧hiŋ˧˧
三百五十	sã˥˥a˥˧ɡɔ˧˧
三腳貓笑獨眼狗。即五十步笑百步	sã˥˥kʰa˥˥niau˥˥tsʰio˨˩tsit˦bak˦kau˥˧
上個禮拜我們一群人登山去看風景	tiŋ˥˧le˥˧pai˨˩ɡuan˥˧tsit˦tin˧˧laŋ˨˦tsĩũ˧˧sũã˥˥kʰi˨˩kʰũã˨˩hoŋ˥˥kiŋ˥˧
上午九點到十一點	tsi˧˧si˨˦
上午十一點到下午一點	ɡɔ˧˧si˨˦
上半身	tiŋ˥˧pũã˨˩sin˥˥
上山	tsĩũ˧˧sũã˥˥
上班登記簿	tsʰut˨kʰin˨˦pʰɔ˧˧
上等料理	sioŋ˧˧tiŋ˥˧liau˧˧li˥˧
上車	tsĩũ˧˧tsʰia˥˥
下午一點到三點	bi˧˧si˨˦
下午我們要去圖書館讀書	e˧˧tau˨˩ɡuan˥˧beʔ˨lai˨˦kʰi˨˩tɔ˨˦su˥˥kuan˥˧tʰak˦tsʰeʔ˨
下半身	e˧˧pũã˨˩sin˥˥
下巴	tsʰui˨˩e˧˧tau˥˧
下巴尖尖的	e˧˧hai˨˦tsiam˥˥tsiam˥˥
下班	ha˧˧pan˥˥
下級	ha˧˧kip˨
下課	ha˧˧kʰo˨˩
下集	ha˧˧tsip˦
下雨天	loʔ˨hɔ˧˧tʰĩ˥˥
下雨天的時候	loʔ˨hɔ˧˧tʰĩ˥˥e˨˦si˨˦tsun˧˧
不公平	bo˨˦koŋ˥˥pẽ˨˦
