acalli	aːkalːi
acapolco	aːkapoːlko
acayotl	aːkajoːtɬ
acecec	asˈese
achiotl	atʃotl
achiya	atʃia
achiyoc	atʃiok
achtohui	atʃtoˈi
acopan	akopẽn̪
acxoyatl	akʃoxatl
ahcolli	aʔkolːi
ahmo	amo
ahuacatl	aːwakatɬ
ahuacatli	aːwakatɬi
ahuazotl	aːwatɬ
ahuehuetl	aːweːweːtɬ
ahuitzotl	aːwitsoːtɬ
akatl	aːkatɬ
alaxoxtoca	alaʃosˈtoka
alotl	alotɬ
altepeco	altepekˈo
altepemeh	altepeme
amameh	amame
amati	amatʲe
amatl	aːmatɬ
amaxtli	aːmaʃtɬi
amehwan	amejˈxwan
amochantzinco	amotʃanttsinko
amochtli	amoʃtli
amocualli	amokwali
amoxmeh	amoʃme
amoxtli	aːmoʃtɬi
amoxtlikoyan	amoʃtlikoian
aneh	ane
anmomachtianimeh	anmomatʃtianime
apipiyallotl	aːpipijaːlːoːtɬ
apitzotl	aːpitsotɬ
apotzonalli	apotsonali
aquin	akim
atiya	atia
atl	at
atolli	aːtoːlːi
auakatl	aːwakatɬ
auh	au
awakatl	aːwakatɬ
awazotl	aːwatɬ
axacah	aʃaka
axcan	aʃkɐn
axcanah	aʃkana
axhuallaz	aswalas
axicah	aʃika
axnicpiya	aʃnikpia
axnihuelqui	asnielki
axno	aʃnɑ
axolotl	aːʃoːloːtɬ
axoncah	asonka
axquipiya	askipˈia
ayicana	ajɣykana
ayotochi	ajototʃti
ayotochtli	ajototʃtʃlʲi
ayotochtli	ajotoːtʃtɬi
azcatl	aːskatɬ
aztah	asta
aztatl	aːstatɬ
aztlan	astʃan
bogotá	bogotaː
ca	a
cacihcamati	kasikamati
cactli	kakli
cahtli	kart̪li
cahtzotl	kahtsot
cahuayoh	kawajo
cahuayoh	kawaːjoʔ
caltenno	kalteno
camacayahque	kamakajake
camanaloa	kamẽnaloa
canque	kaːnke
caxtolliya	kaʃtoʃlija
cecec	sɛsɛ
cemmaca	semaka
cempoalli	sempoali
cencah	senka
centeotl	senteot
cetl	sˈɛtəl
cetzin	sɛtsɪn
ceyococ	sejoˈpkoˈk
chalchihuitlicue	tʃaːltʃiwetlikwe
challi	tʃaːlːi
chantli	tʃæntlʲi
chapoli	tʃapoːli
chapolin	tʃapolim
chapolin	tʃapoːlin
chapoltin	tʃapoɬtin
chapulin	tʃapulin
chia	tʃa
chian	tʃi̠˥an˨˩
chicahuac	tʃɛkawak
chicahualiztli	tʃikawalistli
chichi	tʃitʃi
chichi	tʃitʃɪ
chichic	tʃitʃik
chichiltic	tʃitʃiɬtikː
chichimeh	tʃitʃime
chicoace	tʃiklase
chicome	tʃikɔme
chicontepec	sikont̪epek
chihua	si˥˧wa˧˧
chihua	tʃiːwa
chilli	tʃili
chiltic	tʃiːltikː
chimalli	tʃiːmalːi
chocacque	tʃo̞kaʃke
chocani	tʃoːkani
citlaltin	siːtɬaɬtin
coaixtlahuacan	koajʃtɬawakan
cochi	kɔtʃi
cochitinemi	katʃitinemi
cochiz	potʃis
cochmiqui	ko˩˥ːtʃmi˩˥ːki˩˥
cocoliztli	kokolistɬi
cocoliztli	koːkolistli
