अ	ʌ
अँ	ʌ̃
अँध्यारो	ʌ̃d̪jäɾo
अं	ʌm
अं	ʌ̃
अः	ʌɦʌ
अः	ʌː
अकास	ʌkäs
अखबार	ʌk̞ʰbär
अगस्ट	ʌg̞ʌs̠t̠
अग्नि	ʌg̞ni
अग्लो	ʌg̞lo
अघि	ʌg̞i
अङ्गुर	ʌŋgur
अङ्ग्रेजी	ʌŋgredzi
अचार	ʌtsär
अञ्चल	ʌn̻tsʌl
अट्ठा	ʌʈ̚ʈʰä
अट्ठाईस	ʌʈ̚ʈʰäi̯s
अठचालीस	ʌʈʰtsälis
अठतीस	ʌɽt̪is
अठतीस	ʌʈʰt̪is
अठसट्ठी	ʌʈʰsʌʈ̚ʈʰi
अठहत्तर	ʌʈʰʌ̤ːt̪̚t̪ʌr
अठार	ʌʈʰäɾʌ
अठासी	ʌʈʰäsi
अठाह्र	ʌʈʰäɾʌ
अठ्तीस	ʌɽt̪is
अठ्तीस	ʌʈʰt̪is
अड्कल	ʌɽkʌl
अड्चालीस	ʌɽtsälis
अड्तीस	ʌɽt̪is
अड्सठ्ठी	ʌɽsʌʈʰʈʰi
अणु	ʌɽ̃u
अण्डा	ʌɳɖä
अतः	ʌt̪ʌː
अथवा	ʌt̪ʰʌwä
अधिकार	ʌd̪ikär
अध्यक्ष	ʌd̪d̪ek̚tsʰe
अध्यक्ष	ʌd̪ʌk̚tsʰe
अनार	ʌnär
अनावश्यक	ʌnäbʌsek
अनावश्यक	ʌnäu̯ʌsek
अनावश्यक	ʌnäwʌsek
अनि	ʌni
अनुपम	ʌnupʌm
अनुबादक	ʌnubäd̪ʌk
अनुमति	ʌnumʌt̪i
अनौठो	ʌnʌu̯ʈʰo
अन्ठाउन्न	ʌɳʈʰäu̯nːʌ
अन्ठानब्बे	ʌɳʈʰänʌb̚be
अन्डा	ʌɳɖä
अन्तरराष्ट्रिय	ʌn̪t̪ʌɾʌräs̠t̠rie
अन्तराष्ट्रिय	ʌn̪t̪ʌɾäs̠t̠rie
अन्तर्राष्ट्रिय	ʌn̪t̪ʌrːäs̠t̠rie
अन्दाजी	ʌn̪d̪ädzi
अन्य	ʌnːe
अप्ठेरो	ʌp̚ʈʰeɾo
अप्ठ्यारो	ʌp̚ʈʰeɾo
अप्ठ्यारो	ʌp̚ʈʰjäɾo
अब	ʌbʌ
अभिषेक	ʌbisek
अभिषेक्	ʌbisek
अमाजु	ʌmädzu
अमिलो	ʌmilo
अमेरिकन	ʌmeɾikʌn
अमेरिका	ʌmeɾikä
अरब	ʌɾʌb
अररो	ʌɾʌro
अर्को	ʌrko
अर्थ	ʌrt̪ʰʌ
अर्ध	ʌrd̪ʱʌ̤
अर्ब	ʌrbʌ
अलिकति	ʌlikʌt̪i
अल्गो	ʌlko
अल्गो	ʌlgo
अल्छि	ʌl̻tsʰi
अल्छी	ʌl̻tsʰi
अल्सि	ʌlsi
अल्सि	ʌl̻tsʰi
अल्सी	ʌlsi
असल	ʌsʌl
असी	ʌsi
असोज	ʌsodz
अस्ट्रेलिया	ʌs̠t̠relijä
अस्ति	ʌst̪i
अस्पताल	ʌspʌt̪äl
अस्मान	ʌsmän
अहँ	ʌɦʌ̃
अहिले	ʌi̯le
अह्राउनु	ʌɾäu̯nu
आ	ä
आँखा	ä̃k̞ʰä
आँखीभौं	ä̃k̞ʰi‿bʱʌ̤̃ũ̯
आँग	äŋ
आँग	ä̃g̞
आँट	ä̃ʈ
आँटी	ä̃ʈi
आँप	ä̃p
आआफ्नो	ääɸno
आआफ्नो	äʔäɸno
आइतबार	äi̯t̪ʌbär
आइमाई	äi̯mäi̯
आइस्ड	äi̯s̠d̠
आईतबार	äi̯t̪ʌbär
आउनु	äu̯nu
आउनुहोस्	äu̯nuos
आकाश	äkäs
आकाशे	äkäse
आखर	äk̞ʰʌr
आगन्तुक	äg̞ʌn̪t̪uk
आगो	äg̞o
आङ	äŋ
आज	ädzʌ
आठ	äʈʰ
आफ्नो	äɸno
आमा	ämä
आमाजु	ämädzu
आमाजु	ʌmädzu
आमाजू	ämädzu
आमाज्यू	ämädzju
आराम	äɾäm
आलु	älu
आवश्यक	äbʌsek
आवश्यक	äwʌsek
आवश्यकता	äbʌsek̚t̪ä
आवश्यकता	äu̯ʌsek̚t̪ä
आश्विन	äswin
आषाढ	äsäɽ
आस्मानी	äsmäni
आहा	ähä
इ	i
इँट	ĩʈ
इँट्टा	ĩʈ̚ʈä
इंडिया	iɳɖijä
इतिहास	it̪iɦäs
इन्टरनेट	iɳʈʌrneʈ
इन्द्रेनी	in̪d̪reni
इस्टोनिया	is̠t̠onijä
इस्लाम	isläm
ई	i
ईँट्टा	ĩʈ̚ʈä
ईश्वर	isːor
उ	u
उँचाइ	ũtsäi̯
उँट	ũʈ
उखु	uk̞ʰu
उचाइ	utsäi̯
उठ्नु	uʈʰɳu
उड्नु	uɽɳu
उत्तर	ut̪̚t̪ʌr
उदजन	ud̪dzʌn
उदाहरण	ud̪ä̤ːrʌɽ̃
उनचालीस	un̻tsälis
उनतीस	unʌt̪is
उनन्चालीस	unʌn̻tsälis
उनन्चास	unʌn̻tsäs
उनन्तीस	unʌn̪t̪is
उनन्पचास	unʌnpʌtsäs
उनन्सत्तरी	unʌnsʌt̪̚t̪ʌɾi
उनन्साठी	unʌnsäʈʰi
उनपचास	unpʌtsäs
उनसाठी	unsäʈʰi
उनानब्बे	unänʌb̚be
उनानसय	unänsʌe
उनान्असी	unänʌsi
उनान्सय	unänsʌe
उनासी	unäsi
उनी	uni
उनीहरू	uniɦʌɾu
उन्चालीस	un̻tsälis
उन्तीस	un̪t̪is
उन्नाइस	unːäi̯s
उन्नाईस	unːäi̯s
उन्सत्तरी	unsʌt̪̚t̪ʌɾi
उपनिषद्	upʌnisʌd̪
उप्टन्	up̚ʈʌn
उफ्रनु	uɸrʌnu
उभिनु	ubinu
उमाल्नु	umälnu
उमेर	umer
उम्रनु	umrʌnu
उम्लनु	umlʌnu
उसको	usko
उसमा	usmä
उसलाई	usläi̯
उसले	usle
उसिन्नु	usinːu
उहाँहरूको	uä̃‿ɦʌɾuko
उहाँहरूको	wä̃ː‿ɦʌɾuko
उहाहरुको	uä̃‿ɦʌɾuko
ऊ	u
ऋ	ɾi
ऋषि	ɾisi
ए	e
एउटा	eu̯ʈä
एउटै	eu̯ʈʌi̯
एक	ek
एकचालीस	ektsälis
एकतीस	ek̚t̪is
एकत्तर	ekʌt̪̚t̪ʌr
एकत्तीस	ekʌt̪̚t̪is
एकदम	ek̚d̪ʌm
एकसट्ठी	eksʌʈ̚ʈʰi
एकसठ्ठी	ekʌsʌʈʰʈʰi
एकहत्तर	ekʌ̤ːt̪̚t̪ʌr
एकाउन्न	ekäu̯nːʌ
एकानब्बे	ekänʌb̚be
एकासी	ekäsi
एक्का	ek̚kä
एक्काइस	ek̚käi̯s
एक्काईस	ek̚käi̯s
एक्काउन्न	ek̚käu̯nːʌ
एक्त्तीस	ek̚t̪t̪is
एगार	eg̞äɾʌ
एघार	eg̞ärʌ
एशिया	esijä
एस	es
एसरी	esʌɾi
एसिया	esijä
एस्तो	est̪o
ऐ	ʌi̯
ऐना	ʌi̯nä
ओ	o
ओइ	oi̯
ओठ	oʈʰ
ओढ्नु	oɽɳu
ओढ्ने	oɽɳe
ओहायो	oɦäjo
औ	ʌu̯
औंठी	ʌ̃ũ̯ʈʰi
औंला	ʌ̃ũ̯lä
औलो	ʌu̯lo
औषधी	ʌu̯sʌd̪i
क	kʌ
कटाउनु	kʌʈäu̯nu
कटि	kʌʈi
कटी	kʌʈi
कट्टी	kʌʈ̚ʈi
कट्नु	kʌʈɳu
कदर्	kʌd̪ʌr
कन्या	kʌnjä
कन्या	kʌnːjä
कपाल	kʌpäl
कपास	kʌpäs
कफी	kʌɸi
कमिज	kʌmidz
कमिला	kʌmilä
कमिलो	kʌmilo
कमीज	kʌmidz
कम्पनी	kʌmpʌni
कम्बल	kʌmbʌl
कम्मर	kʌmːʌr
करङ	kʌɾʌŋ
कराउनु	kʌɾäu̯nu
करोड	kʌɾoɽ
कर्णाली	kʌrɽ̃äli
कलम	kʌlʌm
कलेजो	kʌledzo
कसको	kʌsko
कसमा	kʌsmä
कसरी	kʌhʌɾi
कसरी	kʌsʌɾi
कसरी	kʌxʌɾi
कसलाई	kʌsläi̯
कसले	kɔlle
कसले	kɔsle
कसले	kʌlle
कसले	kʌsle
कसैले	kʌsʌi̯le
कस्को	kʌsko
कस्तो	kʌst̪o
कहाँ	kä̃ː
कहाँ	kä̆hä̃
कहाँ	kä̆ɦä̤̃
कहिले	kʌi̯le
कहिले	kʌ̤i̯le
काँः	kä̤̃ː
काँच	kä̃ts
काँध	kä̃d̪
काँसो	kä̃so
कांच	kä̃ts
काका	käkä
काकी	käki
काख	käk̞ʰ
कागज	käg̞ʌdz
कागत	käg̞ʌdz
कागत	käg̞ʌd̪
कागत	käg̞ʌt̪
कागती	käg̞ʌt̪i
काजी	kädzi
काट्नु	käʈɳu
काठमाडौँ	käʈʰmäɳɖu
काठमाडौँ	käʈʰmäɽʌ̃ũ̯
काठमाडौं	käʈʰmäɳɖu
काठमाडौं	käʈʰmäɽʌ̃ũ̯
काढ्नु	käɽɳu
कात्तिक	kät̪̚t̪ik
कापी	käpi
कापी	kʌpi
काफल	käɸʌl
काम	käm
कामना	kämʌnä
कामी	kämi
काम्लो	kämlo
कार	kär
कार्तिकेय	kärt̪ikejʌ
कार्त्तिक	kärt̪̚t̪ik
कालो	kälo
कालोपाटी	kälopäʈi
किताप	kit̪äp
किताब	kit̪äb
किताबहरू	kit̪äb‿ɦʌɾu
किन	kinʌ
किनकि	kinʌki
किनभने	kinʌbʌne
किन्नु	kinːu
किरा	kiɾä
किराना	kiɾänä
किशोर	kisor
कीरा	kiɾä
कुइरे	kui̯ɾe
कुइरो	kui̯ɾo
कुकुर	kukur
कुकुर	kuk̚kur
कुक्कुर	kuk̚kur
कुखुरा	kuk̞ʰuɾä
कुचो	kutso
कुट्नु	kuʈɳu
कुद्नु	kud̪n̪u
कुन	kun
कुनचाहिँ	kun̻tsäĩ̯
कुनै	kunʌi̯
कुमारी	kumäɾi
कुरा	kuɾä
कुरामा	kuɾämä
कुरी	kuɾi
कुशल	kusʌl
कृपया	kirpʌjä
कृपया	kɾipʌjä
के	ke
केंद्र	ken̪d̪rʌ
केई	kei̯
केको	keko
केटा	keʈä
केटी	keʈi
केमा	kemä
केरा	keɾä
केराउ	keɾäu̯
केलाई	keläi̯
केले	kele
केही	kei̯
केही	keɦi
कैले	kʌi̯le
को	ko
कोई	koi̯
कोठा	koʈʰä
कोतर्नु	kot̪ʌrnu
कोशिश	kosis
कोशी	kosi
कोही	koi̯
क्लास	kläs
क्ष	tsʰe
क्ष	tsʰʌ
क्षत्राणी	tsʰʌt̪räɽ̃i
क्षत्रिय	tsʰʌt̪rie
क्षमता	tsʰemʌt̪ä
क्षमता	tsʰʌmʌt̪ä
क्षयरोग	tsʰʌeɾog̞
क्षेत्र	tsʰet̪rʌ
क्षेत्रिनी	tsʰet̪rini
क्षेत्री	tsʰet̪ri
ख	kʰʌ
खतरनाक	kʰʌt̪ʌrnäk
खत्रिनी	kʰʌt̪rini
खत्री	kʰʌt̪ri
खनाति	kʰʌnät̪i
खनातिनि	kʰʌnät̪ini
खनातिनी	kʰʌnät̪ini
खनाती	kʰʌnät̪i
खन्	kʰʌn
खन्नु	kʰʌnːu
खबर	kʰʌbʌr
खर	kʰʌr
खरब	kʰʌɾʌb
खरानी	kʰʌɾäni
खराब	kʰʌɾäb
खरायो	kʰʌɾäjo
खरी	kʰʌɾi
खरीमट्टी	kʰʌɾimʌʈ̚ʈi
खर्ब	kʰʌrbʌ
खल्ती	kʰʌl̪t̪i
खस	kʰʌs
खस	kʰʌsʌ
खसी	kʰʌsi
खस्नु	kʰʌsnu
खा	kʰä
खाऊ	kʰäu̯
खाजा	kʰädzä
खाडल	kʰäɽʌl
खाता	kʰät̪ä
खाते	kʰät̪e
खाना	kʰänä
खानु	kʰänu
खानेकुरा	kʰänekuɾä
खाल्टो	kʰäɭʈo
खाल्डो	kʰäɭɖo
खाल्डो	kʰäɭʈo
खीर	kʰir
खुकुरी	kʰukuɾi
खुट्टा	kʰuʈ̚ʈä
खुर्सानी	kʰursäni
खुला	kʰulä
खुवाउनु	kʰuwäu̯nu
खुशी	kʰusi
खुसी	kʰusi
खेल	kʰel
खेलकुद	kʰelkud̪
खेल्नु	kʰelnu
खैरो	kʰʌi̯ɾo
खोज्नु	kʰodznu
खोर्सानी	kʰorsäni
खोल	kʰol
खोल	kʰolʌ
खोला	kʰolä
खोल्नु	kʰolnu
ग	gʌ
गँगटा	gʌ̃g̞ʌʈä
गएको	gʌeko
गगन	gʌg̞ʌn
गछ्नु	gʌtsʰnu
गणतन्त्र	gʌɽ̃ʌt̪ʌn̪t̪rʌ
गण्डकी	gʌɳɖʌki
गन्नु	gʌnːu
गमला	gʌmlä
गर	gʌɾʌ
गराउनु	gʌɾäu̯nu
गराउने	gʌɾäu̯ne
गरि	gʌɾi
गरुङ्गो	gʌɾuŋgo
गरे	gʌɾe
गरेको	gʌɾeko
गरेर	gʌɾerʌ
गर्	gʌr
गर्दा	gʌrd̪ä
गर्दै	gʌrd̪ʌi̯
गर्न	gʌrnʌ
गर्नको	gʌrnʌko
गर्नु	gʌrnu
गर्नुहोला	gʌrnuolä
गर्नुहोस्	gʌrnuos
गर्ने	gʌrne
गर्मी	gʌrmi
गल्ती	gʌl̪t̪i
गह्रुँगो	gʌɾuŋgo
गह्रुंगो	gʌɾuŋgo
गह्रुङ्गो	gʌɾuŋgo
गह्रुङ्ङो	gʌɾuŋŋo
गह्रौं	gʌɾuŋgo
गह्रौं	gʌɾʌ̃ũ̯
गा	gä
गाँउ	gä̃ũ̯
गाँठो	gä̃ʈʰo
गाई	gäi̯
गाउँ	gä̃ũ̯
गाउनु	gäu̯nu
गाऊ	gäu̯
गाजर्	gädzʌr
गाडा	gäɽä
गाढा	gäɽä
गाली	gäli
गाविस	gäbisʌ
गाविसहरू	gäbisʌɦʌɾu
गाह्रो	gäɾo
गीत	git̪
गीलो	gilo
गु	gu
गुगल	gug̞ʌl
गुजराती	gudzrät̪i
गुणसूत्र	guɽ̃ʌsut̪rʌ
गुनासो	gunäso
गुफा	guɸä
गुरु	guɾu
गुलाफी	guläɸi
गुलाबी	guläbi
गुलाम	guläm
गुलियो	gulijo
गुहु	gu
गुहु	guː
गुहु	gṳː
गू	gu
गूगल	gug̞ʌl
गैँडा	gʌ̃ĩ̯ɽä
गैंडा	gʌ̃ĩ̯ɽä
गोटी	goʈi
गोडा	goɽä
गोदावरी	god̪äwʌɾi
गोर्खा	gorkʰä
गोलो	golo
गौँत	gʌ̃ũ̯t̪
ग्यार	gjärʌ
ग्रह	grʌ̤ː
ग्रीष्म	grismʌ
घ	gʱʌ̤
घंटा	gʱʌ̤ɳʈä
घडी	gʱʌ̤ɽi
घण्टा	gʱʌ̤ɳʈä
घन्टा	gʱʌ̤ɳʈä
घर	gʱʌ̤r
घर	gʱʌ̤ɾʌ
घाँस	gʱä̤̃s
घाइते	gʱä̤i̯t̪e
घाउ	gʱä̤u̯
घाम	gʱä̤m
घिच्नु	gʱi̤tsnu
घुर्नु	gʱṳrnu
घूस	gʱṳs
घोट्नु	gʱo̤ʈɳu
घोडा	gʱo̤ɽä
घोप्नु	gʱo̤pnu
घोराही	gʱo̤ɾäi̯
घोरिनु	gʱo̤ɾinu
ङ	ŋʌ
च	tsʌ
चउन्न	tsʌu̯nːʌ
चक	tsʌk
चकटी	tsʌkʌʈi
चक्का	tsʌk̚kä
चक्कु	tsʌk̚ku
चढ्नु	tsʌɽɳu
चन्द्र	tsʌn̪d̪rʌ
चन्द्रमा	tsʌn̪d̪rʌmä
चपोरा	tsʌpoɾä
चरप्प	tsʌɾʌp̚pʌ
चरा	tsʌɾä
चराउनु	tsʌɾäu̯nu
चर्	tsʌr
चर्नु	tsʌrnu
चलचित्र	tsʌl̻tsit̪rʌ
चलन	tsʌlʌn
चल्नु	tsʌlnu
चवालीस	tsʌwälis
चश्मा	tsʌsmä
चस्मा	tsʌsmä
चाईं	tsäĩ̯
चाख	tsäk̞ʰ
चाख्नु	tsäk̞ʰnu
चाट	tsäʈ
चार	tsär
चारवटा	tsär‿wʌʈä
चालीस	tsälis
चाहनु	tsä̤ːnu
चाहिँ	tsäĩ̯
चाहिएमा	tsäi̯emä
चाहिनु	tsäi̯nu
चिउरा	tsiu̯ɾä
चिक	tsikʌ
चिक्	tsik
चिक्नु	tsiknu
चिज	tsidz
चिठि	tsiʈʰi
चिठी	tsiʈʰi
चिठी	tsiʈ̚ʈʰi
चिडी	tsiɽi
चिताउनु	tsit̪äu̯nu
चित्त	tsit̪̚t̪ʌ
चित्र	tsit̪rʌ
चिनी	tsini
चिन्नु	tsinːu
चिया	tsijä
चिसो	tsiso
चीज	tsidz
चीन	tsin
चीनियाँ	tsinijä̃
चुरोट	tsuɾoʈ
चुस्नु	tsusnu
चैत	tsʌi̯t̪
चैत्र	tsʌi̯t̪rʌ
चोक	tsok
चोर	tsor
चोर	tsoɾʌ
चोर्नु	tsornu
चौँतीस	tsʌ̃ũ̯t̪is
चौंतीस	tsʌ̃ũ̯t̪is
चौका	tsʌu̯kä
चौतारी	tsʌu̯t̪äɾi
चौध	tsʌu̯d̪ʌ
चौबीस	tsʌu̯bis
चौरत्तर	tsʌu̯ɾʌt̪̚t̪ʌr
चौरानब्बे	tsʌu̯ɾänʌb̚be
चौरासी	tsʌu̯ɾäsi
चौवन्न	tsʌu̯wʌnːʌ
चौसठ्ठी	tsʌu̯sʌʈʰʈʰi
चौहत्तर	tsʌu̯ʌt̪̚t̪ʌr
छ	tsʰʌ
छक्का	tsʰʌk̚kä
छक्क्याउनु	tsʰʌk̚kjäu̯nu
छडी	tsʰʌɽi
