a	ɑː
a-en	ɑːn
a-er	ɑːɛr
aa	ɑː
aa-møte	ɑːˈmøːtə
aa-møter	ɑːmøːtər
aaah	ɑː
aang	ɑŋ
aardvark	ɑːɾːvɑɾk
aaron	ɑːrʊn
aarons	ɑːrɔns
aayan	ɑːjɑːn
ab	ɑːb
abaddon	ɑːbɑːdɔn
abaddonn	ɑːbɑːdɔn
abagnale	ɑːbɑgnɑːlə
aban	ɑːbɑn
abbas	ɑbːɑs
abbed	ɑbːɛd
abbeden	ɑːbːɛdən
abbedissen	ɑbːədɪsn̩
abbey	ɑːbɪ
abbie	ɑbːɪ
abbor	ɑbɔɾ
abbot	ɑbːɔt
abbott	ɑbːɔt
abbottabad	ˈæbətæbæd
abby	ɑːbɪ
abbys	ɑbːʏs
abdi	ɑːbdiː
abdisere	ɑbdɪˈseːɾə
abdul	ɑːbɖʉːl
abdullah	ɑːbduˈlɑː
abe	ɑːb̥ə
abed	ɑːbɛd
abel	ɑːbəl
aber	ɑːbɛr
abercrombie	ɑːbɛɾkrɔmbɪ
abernathy	ɑːbɛɳɑːti
aberville	ɑːbɛɾˈvɪɭə
abi	ɑːbɪ
abigail	ɑːbɪgɑɪl
abigails	ɑːbɪgɑɪls
abilene	ɑːbɪˈleːnə
abin	ɑːbɪn
abir	ɑːbɪr
able	ɑːblə
abner	ɑːbneːɾ
abonnement	ɑːbʊnəment
abonnementet	ɑːbʊnəˈmeːnt
abonnenten	ɑːbʊnˈɛntən
abonnere	ɑbʊˈneːɾə
abonnerer	ɑːbʊˈnɛːɾ
abort	ɑˈbɔʈ
abort	ɑːbɔɾt
aborten	ɑːbɔʈən
abortere	ɑbɔˈʈeːɾə
aborterte	ɑːbɔɾtəɾtə
about	ɑːbʉːt
abra	ɑːbɾɑː
abraham	ɑːˈbrɑːm
abrahams	ɑːbɾɑːms
abrakadabra	ɑːbrɑːkɑːdɑːbrɑː
abramoff	ɑːbrɑːmɔf
abrams	ɑːbɾɑms
absorberende	ɑːbsɔːʂəɾɛndə
abstinenser	ɑːpstɪnɛnsɛr
abstrakt	ɑpˈstɾɑkt
abstrakte	ɑːpstrɑːktə
abu	ɑːbʉː
abuddin	ɑːbʉdin
abuelita	ɑːbʉ̀ɛlɪtɑː
acapulco	ɑkɑpʉlkuː
aces	ɑːs
acheron	ˈɑːçəɾɔn
acke	ɑkːə
acker	ɑkːər
ackerman	ɑkəɾmɑn
acn	ɑːkn̩
acre	ɑːkɾə
acres	ɑːʈʂ
act	ɑːkt
actual	ɑkˈtʉːɑl
ada	ɑːdɑ
adal	ɑːdɑːl
adalind	ɑːdɑːlɪn
adalinds	ɑːdɑːlɪns
adaline	ɑːdɑːlɪnə
adalstein	ɑːdɑːlʃtaɪn
adam	ɑːd̥ɑm
adami	ɑːdɑmɪ
adams	ɑːdɑms
adamson	ɑːdɑmsɔn
adapter	ɑˈdɑptəɾ
addams	ɑːd̥ɑms
adderall	ˈɑːdɚɑːl
addere	ɑˈdeːɾə
addie	ɑːdɪ
addis	ɑdːɪs
addison	ɑːdɪsn̩
addy	ɑːdɪ
ade	ɑːd̥ə
adekvat	ɑdəˈkʋɑːt
adel	ɑːdəl
adela	ɑːdɛlə
adele	ɑːdələ
adelen	ɑːd̥ɛlən
adelig	ɑːdəlɪ
adelige	ɑːdəlɪgə
adelita	ɑːdəlɪtɑː
adelsmann	ɑːdəlsmɑn
adelsmenn	ɑːdəlsmɛn
adelsmennene	ɑːdəlsmɛnːə
adgang	ɑːdˈgɑŋ
adgangskode	ɑːdgɑŋskɔːdə
adgangskort	ɑːdgɑŋskɔʈ
adgangskortet	ˈɑːdgɑŋskɔʈət
adhd	ɑːdhd
adieu	ɑːˈdiːʉ
adiós	ɑːdiɔːs
adjutant	ɑɟʉˈtɑn̪t
adjø	ɑːdʝøː
adjøss	ɑːdjɔʂ
adlyd	ɑːdlyː
adlyde	ˈɑːdlyːdə
adlyder	ɑːɭɪːɖɐ
adlød	ɑːdˈløː
adm	ɑːm
administrasjon	ɑːdmɪnɪstrɑːʃuːn
administrasjonen	ɑːdmɪnɪstrɑːʃuːn
administrative	ɑːdmɪnɪstrɑːtiːvə
administrator	ɑːdmɪnɪstrɑːtɔɾ
administrere	ɑdmɪnɪˈstɾeːɾə
administrere	ɑːdmɪnɪstɾeːɾə
administrerende	ˈædmɪnɪstrəɳə
admiral	ɑːdmiˈɾɑːl
admiralen	ɑːdmiˈɾɑːlən
adolf	ɑːdɔlf
adolfo	ɑːdɔlfʉ
adonis	ɑːdɔnɪs
adopsjon	ɑːdɔpsɪʊn
adopsjonen	ɑːdɔpsjʊnə
adoptere	ɑːdɔpˈtɛːɾə
adoptert	ɑːdɔptɛɾt
adrenalin	ɑːdrɛnɑlɪn
adrenalinet	ɑːdrɛlɑːnɪt
adrenalinkick	ɑːdrɛnːɑlɪŋkɪk
adresse	ɑˈdɾɛsə
adresse	ɑːdrɛsə
adresseboken	ˈɑːdrɛsəbukɛn
adressen	ɑːdrɛʃn̩
adressene	ɑːdrɛsːə
adresser	ɑːdrɛsər
adressere	ɑdɾəˈseːɾə
adressert	ɑːdrɛsɛɾt
adrian	ɑːdɾiɑːn
adriana	ɑːdɾiːɑːnɑː
adrien	ɑːdriːən
adrienne	ɑːdɾîənə
adrup	ɑːdrʉp
adskilt	ɑːdskɪlt
adskilte	ɑːskɪltə
adso	ɑːdsʊ
advar	ɑːdʋɑːr
advare	ɑːdʋɑːɾə
advare	ˈɑːdʋɑːɾə
advarer	ɑːdʋɑːrɛɾ
advares	ɑːdʋɑːɾɛs
advarslene	ɑːvɑɾsleːnə
advarsler	ɑːvɑɾʃlɛɾ
advart	ɑːvɑɾt
advarte	ɑːdʋɑːɾtə
adverb	ˈɑdʋæɾb
advokatbistand	ɑɳvɔkɑtbiˈstɑn
advokaten	ɑːvɔkɑːtən
advokatfirma	ɑːvʊkɑːtfiɾmɑː
advokatfirmaet	ɑɟvoˈkɑːtfɪɾmɑːɛt
advokatkontor	ɑːvɔkɑtkɔntʊr
adylin	ɑːdʏlɪn
aegon	æɪ̯gɔn
aella	æɛlə
aemon	æːmɔn
aere	æːrə
aerodynamisk	æɾɔdʏnɑmɪsk
aerosmith	æɛɾɔsmɪtʰ
aethelwulf	æːtəlʋʉlf
af	ɑːf
affair	ɑːfɛɾ
affekt	ˈɑfɛkt
affleck	ɑːflɛk
affære	ɑˈfæːɾə
affære	ˈɑːfɛːr
affæren	ɑfːæɾən
