abbaa	abːaː
bishaan	biʃaːn
biyya	bijːa
haadha	haːdʰa
harka	harka
hoolaa	hoːlaː
ija	id͡ʒa
ilkaan	ilkaːn
laga	laɡa
mana	mana
muka	muka
nama	nama
namicha	namit͡ʃa
nyataa	ɲataː
qabaa	kʼabaː
qabatee	kʼabateː
qabeenya	kʼabeːɲa
qabsoo	kʼabsoː
qajeelaa	kʼadʒeːlaː
qalbii	kʼalbiː
qalbiin	kʼalbiːn
qalbiisaanii	kʼalbiːsaːniː
qalbiisaanisii	kʼalbiːsaːnisiː
qalbiisaanis	kʼalbiːsaːnis
qalbiisaan	kʼalbiːsaːn
qalbiisa	kʼalbiːsa
qalbi	kʼalbi
qarqara	kʼarkʼara
qeerransa	kʼeːrːansa
qeerroo	kʼeːrːoː
qilleensa	kʼilːeːnsa
qophii	kʼopʰiː
qulqulluu	kʼulkʼulːuː
yeroo	jeroː
