abbaa	abːaː
afaan	afaːn
akaakuu	akaːkuː
alaa	alaː
amantii	amantiː
amma	amːa
anaa	anaː
ani	ani
arji	ardʒi
asii	asiː
ati	ati
bade	bade
bal'ina	balʔina
barana	barana
barbaada	barbaːda
barreessaa	barːeːsːaː
beeka	beːka
bilisummaa	bilisumːaː
bishaan	biʃaːn
biyya	bijːa
boolla	boːlːa
bu'aa	buʔaː
bu'ura	buʔura
buddeena	budːeːna
caccabsaa	tʃʼatʃʼabsaː
cimaa	tʃʼimaː
ciniina	tʃʼiniːna
daa'imman	daːʔimːan
dachee	datʃeː
daddarbaa	dadːarbaː
dandeetta	dandeːtːa
darbee	darbeː
deema	deːma
dhala	dʒala
dhalata	dʒalata
dhiiga	dʒiːga
dhiise	dʒiːse
dhiyoo	dʒijoː
dhufa	dʒufa
dhumarratti	dʒumarːatːi
diddaa	didːaː
digrii	digriː
diima	diːma
du'a	duʔa
dubbi	dubːi
dudhaa	dudʒaː
eega	eːga
eenyu	eːɲu
eessaa	eːsːaː
faaya	faːja
facaasa	fatʃaːsa
fageenya	fageːɲa
fakkata	fakːata
falaasama	falaːsama
farsoo	farsoː
fiigaa	fiːgaː
fiiqee	fiːqeː
fincaan	fintʃaːn
firii	firiː
fudhatta	fudʒatːa
gaafa	gaːfa
gaari	gaːri
gabaabaa	gabaːbaː
gadi	gadi
galaana	galaːna
gamtaa	gamtaː
ganna	ganːa
gara	gara
gargaara	gargaːra
garii	gariː
gogaa	gogaː
gosa	gosa
guddaa	gudːaː
gulufa	gulufa
gurra	gurːa
gurraacha	gurːaːtʃa
haadha	haːdʒa
haadha	haːdʰa
haala	haːla
haaraa	haːraː
haasawa	haːsawa
hafe	hafe
halkan	halkan
hamma	hamːa
hammee	hamːeː
handaakuu	handaːkuː
hanga	haŋga
har'a	harʔa
harka	harka
hawwii	hawːiː
herrega	herːega
hiika	hiːka
hojii	hodʒiː
hoolaa	hoːlaː
hunda	hunda
hunda'uu	hundaʔuː
ibsa	ibsa
idile	idile
