afó	aˈfɔ
algu	ˈalɡu
aña	ˈaɲa
awa	awa
awor	aˈwɔr
ayo	aˈjo
bai	ˈbai
bai?	ˈbai
biaha	ˈbjaa
bo	bo
bon	bɔn
boso	ˈbosɔ
bou	bou
brug	bryɡ
buki	ˈbuki
con	kɔn
danki	ˈdaŋki
den	dɛn
despues	dɛsˈpwɛs
dia	ˈdia
di	di
diferente	difɛˈrɛntɛ
dilanti	diˈlanti
dos	dɔs
dushi	ˈduʃi
e	e
eternidad	ɛtɛrniˈdad
fabor	faˈbor
hende	hende
hopi	ˈhopi
kacho	ˈkatʃo
kas	kas
kende	ˈkɛndɛ
kier	kiˈɛr
ki	ki
kos	kɔs
kua	ˈkua
kuminda	kuminda
lamá	laˈma
leu	leu
mama	mama
mañan	maˈɲan
man	man
masha	ˈmaʃa
maske	ˈmaskɛ
meskos	ˈmɛskɔs
mes	mɛs
mester	ˈmɛstɛr
mihó	miˈhɔ
milenio	milɛˈnio
mi	mi
mucha	ˈmuʃa
nada	ˈnada
nan	nan
ningun	ˈniŋɡun
no	no
nos	nɔs
otro	ˈotro
paden	ˈpadɛn
palu	palu
pa	pa
papa	papa
patras	paˈtras
pè	pɛ
poko	ˈpoko
por	por
promé	proˈmɛ
riba	ˈriba
segur	sɛˈɡur
serka	ˈsɛrka
siglo	ˈsiɡlo
si	si
skol	skɔl
stima	ˈstima
talbes	talˈbɛs
tantu	ˈtantʊ
ta	ta
ta?	ta
tempu	tempu
te	te
tres	trɛs
tur	tur
un	un
wowo	wowo
yabi	ˈjabi
yu	ju
