آ	ɑ
آتل	atəl
آثار	ɑsɑːr
آثارو	ɑsaːro
آدا	ɑda
آدرس	adrəs
آدم	ɑdəm
آذان	ɑzan
آر	ɑr
آرام	ɑram
آرامیو	ɑramijo
آرزو	ɑrzo
آره	ɑra
آرټ	ɑrʈ
آزادي	ɑzaːdi
آس	ɑs
آسان	ɑsan
آسانه	ɑsaːna
آسمان	ɑsman
آسمانی	ɑsmaniː
آسيا	ɑsja
آسیا	ɑsja
آشکې	ɑʃkeː
آلمان	ɑlmɑn
آله	ɑla
آمو	ɑmo
آهسته	ɑhəsta
آو	ɑw
آيا	ɑjɑ
آيات	ɑjɑt
آيرلنډ	ɑjrlənɖ
آټک	ɑʈək
آیا	ɑjɑ
ؤنه	wona
إلا	ilɑ
إله	ilə
ئ	j
ئې	jeː
ا	a
ابا	aba
ابادول	abɑdawəl
ابادۍ	abaːdəy
ابلک	əblk
اترو	atro
اترې	atəreː
اتل	atəl
اتلان	atəlaːn
اتلانو	atəlaːno
اتلس	atələs
اتله	atəla
اتلې	atəleː
اتم	atəm
اتمو	atəmo
اته	atə
اتو	ato
اتوار	itwar
اتيا	atja
اتڼ	ataɳ
اثار	asaːr
اثر	asar
اجر	addʒar
اجل	addʒəl
اجمل	addʒmal
احساس	ihsɑːs
احسان	ihsɑn
احوال	ahwaːl
اخ	ax
اختر	axtar
اختراع	ixtera
اخته	axta
اختيار	ixtjaːr
اخرت	axirat
اخلاص	ixlaːs
اخلاق	ixlaːq
اخلاقو	axlaːqo
اخلم	axləm
اخلي	axli
اخير	axiːr
اخيستل	axistəl
اخيستى	axiste
اخښل	axxəl
اخښی	axxai
اخیستونکو	axiːstonko
ادا	ada
اداره	idara
ادارو	idaro
اداري	idaːriː
ادارې	idaːreː
اداکاره	adakaːra
ادب	adəb
ادبي	adəbiː
ادبياتو	adəbjaːto
ادبیاتو	adəbijaːto
ادرار	adraːr
ادراک	adraːk
ادرس	adrəs
ادم	adəm
ادیب	adiːb
ادینه	adiːna
ادې	adeː
اذان	azan
اذکار	azkaːr
اراده	iraːda
ارام	araːm
ارب	arb
ارزان	arzɑn
ارزانه	arzɑna
ارزي	arzi
ارزښت	arzəxt
ارم	arm
ارمان	armɑn
اروزګان	arozgaːn
اروپا	aropa
اري	ari
اريوب	arjub
اريک	arik
از	az
ازاد	azaːd
ازادي	azaːdi
ازبکو	azbako
ازغی	azɣi
ازمول	azmol
اس	as
اساس	asaːs
اساسات	asaːsaːt
اساساتو	asaːsaːto
اساسي	asaːsi
اسانه	asaːna
اسانۍ	asaːniː
استادانو	ostaːdaːno
استاذ	ostaːz
استاذان	ostaːzaːn
استازو	ostaːzo
استازي	ostaːzi
استازی	ostaːzi
استلزام	astalzaːm
استول	astawəl
اسل	asl
اسلام	ɪslɑm
اسلامي	islaːmi
