aalborg	ɔlbɔr
aalborg	ɔlbɔrk
aalborski	ɔlbɔrski
aalen	alɛn
aalenem	alɛnɛm
aalenie	alɛɲɛ
aalenowi	alɛnɔvi
aalenu	alɛnu
aarhus	ɔrxus
aaron	aarɔn
aaron	arɔn
abace	abatsɛ
abacysta	abatsɨsta
abaja	abaja
abaka	abaka
abaką	abakɔw̃
abak	abak
abakach	abakax
abakami	abakami
abakan	abakan
abakawir	abakavir
abakę	abakɛ
abaki	abaki
abakiem	abakjɛm
abako	abakɔ
abakom	abakɔm
abaków	abakuf
abakowi	abakɔvi
abaku	abaku
abakus	abakus
abakusach	abakusax
abakusami	abakusami
abakusem	abakusɛm
abakusie	abakuɕɛ
abakusom	abakusɔm
abakusów	abakusuf
abakusowi	abakusɔvi
abakusu	abakusu
abakusy	abakusɨ
abalienacja	abaljɛnatsja
abalienacją	abaljɛnatsjɔw̃
abalienacjach	abaljɛnatsjax
abalienacjami	abaljɛnatsjami
abalienacje	abaljɛnatsjɛ
abalienację	abaljɛnatsjɛ
abalienacji	abaljɛnatsji
abalienacjo	abaljɛnatsjɔ
abalienacjom	abaljɛnatsjɔm
abalienowanie	abaljɛnɔvaɲe
abaliowanie	abaljɔvaɲe
abandon	abandɔn
abandonware	abandɔnwɛr
abasen	abasɛn
abaston	abastɔn
abaston	abɒstɔn
abasyn	abasɨn
abatacept	abatatsɛpt
abaton	abatɔn
abatysa	abatɨsa
abatysą	abatɨsɔw̃
abatys	abatɨs
abatysach	abatɨsax
abatysami	abatɨsami
abatysę	abatɨsɛ
abatysie	abatɨɕɛ
abatyso	abatɨsɔ
abatysom	abatɨsɔm
abatysy	abatɨsɨ
abazja	abazja
abazją	abazjɔw̃
abazję	abazjɛ
abazji	abazji
abazjo	abazjɔ
abażura	abaʐura
abażur	abaʐur
abażurach	abaʐurax
abażurami	abaʐurami
abażurek	abaʐurɛk
abażurem	abaʐurɛm
abażurka	abaʐurka
abażurkach	abaʐurkax
abażurkami	abaʐurkami
abażurki	abaʐurki
abażurkiem	abaʐurkjɛm
abażurkom	abaʐurkɔm
abażurków	abaʐurkuf
abażurkowi	abaʐurkɔvi
abażurku	abaʐurku
abażurom	abaʐurɔm
abażurów	abaʐuruf
abażurowi	abaʐurɔvi
abażurowy	abaʐurɔvɨ
abażuru	abaʐuru
abażury	abaʐurɨ
abażurze	abaʐuʐɛ
abazyński	abazɨɲski
abbatyssa	abbatɨssa
abc	abɛtsɛ
abcas	aptsas
abchascy	apxastsɨ
abchaska	apxaska
abchaską	apxaskɔw̃
abchaski	apxaski
abchaskich	apxaskix
abchaskie	apxaskjɛ
abchaskiego	apxaskjɛgɔ
abchaskiej	apxaskjɛj
abchaskiemu	apxaskjɛmu
abchaskim	apxaskim
abchaskimi	apxaskimi
abchasku	apxasku
abchaza	apxaza
abchazach	apxazax
abchazami	apxazami
abchaz	apxas
abchazce	apxastsɛ
abchazek	apxazɛk
abchazem	apxazɛm
abchazi	apxaʑi
abchazie	apxaʑɛ
abchazja	apxazja
abchazją	apxazjɔw̃
abchazję	apxazjɛ
abchazji	apxazji
abchazjo	apxazjɔ
abchazka	apxaska
abchazką	apxaskɔw̃
abchazkach	apxaskax
abchazkami	apxaskami
abchazkę	apxaskɛ
abchazki	apxaski
abchazko	apxaskɔ
abchazkom	apxaskɔm
abchazom	apxazɔm
abchazów	apxazuf
abchazowi	apxazɔvi
abchazowie	apxazɔvjɛ
abcug	aptsuk
