3	tʂɚ
a	a
a	œ̃n
aalborg	ɔlbɔr
aalborg	ɔlbɔrk
aalborski	ɔlbɔrski
aalen	alɛn
aalenem	alɛnɛm
aalenie	alɛɲɛ
aalenowi	alɛnɔvi
aalenu	alɛnu
aarhus	ɔrxus
aaron	aarɔn
aaron	arɔn
abace	abatsɛ
abacysta	abatsɨsta
abadański	abadaiɲski
abadański	abadanski
abaja	abaja
abak	abak
abaka	abaka
abaka	aɓaka
abakach	abakax
abakami	abakami
abakan	abakan
abakanowicz	abakanovitsx
abakawir	abakavir
abakańczyk	abakaɲtʂɨ
abaki	abaki
abakiem	abakjɛm
abako	abakɔ
abakom	abakɔm
abakon	abakon
abakon	abˈakom
abakowi	abakɔvi
abaku	abaku
abakus	abakus
abakusach	abakusax
abakusami	abakusami
abakusem	abakusɛm
abakusie	abakuɕɛ
abakusom	abakusɔm
abakusowi	abakusɔvi
abakusu	abakusu
abakusy	abakusɨ
abakusów	abakusuf
abaków	abakuf
abaką	abakɔw̃
abakę	abakɛ
abalienacja	abaljɛnatsja
abalienacjach	abaljɛnatsjax
abalienacjami	abaljɛnatsjami
abalienacje	abaljɛnatsjɛ
abalienacji	abaljɛnatsji
abalienacjo	abaljɛnatsjɔ
abalienacjom	abaljɛnatsjɔm
abalienacją	abaljɛnatsjɔw̃
abalienację	abaljɛnatsjɛ
abalienowanie	abaljɛnɔvaɲe
abaliowanie	abaljɔvaɲe
abandon	abandon
abandon	abandɔn
abandonware	abandɔnwɛr
abasen	abasɛn
abaston	abastɔn
abaston	abɒstɔn
abasyn	abasɨn
abatacept	abatatsɛpt
abaton	abatɔn
abatys	abatɨs
abatysa	abatɛsa
abatysa	abatɨsa
abatysa	abatɪsa
abatysa	abatˈesˈa
abatysach	abatɨsax
abatysami	abatɨsami
abatysie	abatɨɕɛ
abatyso	abatɨsɔ
abatysom	abatɨsɔm
abatysy	abatɨsɨ
abatysą	abatɨsɔw̃
abatysę	abatɨsɛ
abazja	abazja
abazja	aːbazja
abazja	aːbˈazia
abazji	abazji
abazjo	abazjɔ
abazją	abazjɔw̃
abazję	abazjɛ
abazyński	abazɨɲski
abażur	abazur
abażur	abaʐur
abażura	abaʐura
abażurach	abaʐurax
abażurami	abaʐurami
abażurek	abaʐurɛk
abażurem	abaʐurɛm
abażurka	abaʐurka
abażurkach	abaʐurkax
abażurkami	abaʐurkami
abażurki	abaʐurki
abażurkiem	abaʐurkjɛm
abażurkom	abaʐurkɔm
abażurkowi	abaʐurkɔvi
abażurku	abaʐurku
abażurków	abaʐurkuf
