a	ɐ
a	ɐ
á	ˈa
à	ˌaː
à	ˌaː
aa	ˈaɐ
aaas	ˌɐˈaɐʒ
aabic	ˌɐɐbˈik
aacd	ɐˈakd
aaron	ˌɐɐɾˈoŋ
aasp	ɐˈaʃp
ab	ˈab
aba	ˈabɐ
abac	ɐbˈak
abacate	ˌɐbɐkˈatɨ
abacaxi	ˌɐbɐkɐʃˈi
abacaxis	ˌɐbɐkɐʃˈiʒ
abade	ˌɐbˈadɨ
abadessa	ˌɐbɐdˈɛsɐ
abadia	ˌɐbɐdˈiɐ
abaeté	ˌɐbɐɨtˈɛ
abafa	ˌɐbˈafɐ
abafada	ˌɐbɐfˈadɐ
abafadas	ˌɐbɐfˈadɐʒ
abafado	ˌɐbɐfˈadw
abafamento	ˌɐbɐfɐmˈeɪŋtw
abafando	ˌɐbɐfˈɐ̃ŋdw
abafar	ˌɐbɐfˈaɹ
abafou	ˌɐbɐfˈow
abagge	ˌɐbˈaʒɨ
abaixa	ˌɐbˈaɪʃɐ
abaixando	ˌɐbaɪʃˈɐ̃ŋdw
abaixar	ˌɐbaɪʃˈaɹ
abaixo	ˌɐbˈaɪʃw
abaixou	ˌɐbaɪʃˈow
abajur	ˌɐbɐʒˈuɹ
abal	ɐbˈɑl
abala	ˌɐbˈalɐ
abalada	ˌɐbɐlˈadɐ
abaladas	ˌɐbɐlˈadɐʒ
abalado	ˌɐbɐlˈadw
abalados	ˌɐbɐlˈadʊʒ
abalam	ˌɐbˈalɐ̃ʊ̃
abalando	ˌɐbɐlˈɐ̃ŋdw
abalar	ˌɐbɐlˈaɹ
abalaram	ˌɐbɐlˈaɾɐ̃ʊ̃
abalo	ˌɐbˈalw
abalos	ˌɐbˈalʊʒ
abalou	ˌɐbɐlˈow
abamec	ˌɐbɐ̃mˈek
abanando	ˌɐbɐnˈɐ̃ŋdw
abanar	ˌɐbɐnˈaɹ
abandona	ˌɐbɐ̃ŋdˈonɐ
abandoná	ˌɐbɐ̃ŋdunˈa
abandonada	ˌɐbɐ̃ŋdunˈadɐ
abandonadas	ˌɐbɐ̃ŋdunˈadɐʒ
abandonado	ˌɐbɐ̃ŋdunˈadw
abandonados	ˌɐbɐ̃ŋdunˈadʊʒ
abandonam	ˌɐbɐ̃ŋdˈonɐ̃ʊ̃
abandonamos	ˌɐbɐ̃ŋdunˈɐ̃mʊʒ
