"sé"	sɛ
's	ˈɛs
-logia	lˌuʒˈiɐ
1.epistêmico	epistemiko
a	ɐ
aa	ˈaɐ
aaas	ˌɐˈaɐʒ
aabic	ˌɐɐbˈik
aacd	ɐˈakd
aal	aɣau
aalen	ˈaleɪŋ
aalenianas	alenianas
aalenianos	alˈɛnianos
aaron	aron
aaron	ˌɐɐɾˈoŋ
aaronita	aːrɔnitˈa
aarônico	aaroniko
aarônicos	aaɾɔnjkos
aasp	ɐˈaʃp
aavora	aːvˈɔɾɐ
ab	ˈab
ab-reação	abjʁˌeɐsˈɐ̃ʊ̃
ab-reptício	abʁeptisjʊ
ab-rogador	ˌɐbˈiʁugadˈoɹ
ab-rogante	ˌɐbjʁugˈɐ̃ŋtɨ
ab-rogar	abiɾˈogaɹ
ab-rogável	ˌɐbjʁugˈavˌɛl
aba	aˈbˈa
aba	ˈabɐ
ababa	abˈaːbˌɐ
abababados	abɐbˈaɨbˈaduz
ababacado	ababakado
ababada	aːbabað̞a
ababadado	ababadadˈo
ababadado	ababadˈadʊ
ababadados	ababadadʊs
ababadais	aˈbɐbˌɐdˈaɪʒ
ababadam	ababadɐ̃ʊ̃
ababadamos	ababadɐmˈuz
ababadar	ababadax
ababadar	ababadɑɾ
ababadar	ababadˈaɾ
ababadara	abˌɐbadˈaɾɐ
ababadaram	ababadˈaɾɐ̃ʊ̃
ababadaras	ababadˈaɾas
ababadardes	ababadˈaɾdˈiz
ababadaremos	ɐbˈabˌɐdˈaɾˈiɐmˌuz
ababadares	bˌɐbɐdˈaɾɨʒ
ababadaria	ababadɾia
ababadarias	bˌɐbɐdˈaɾiɐʒ
ababadará	ababadara
ababadarás	ababadɐɾaʃ
ababadastes	ababadastʃɨs
ababadei	ababadəi
ababados	ababadɨʒ
ababadou	ababado
ababadáreis	ɐbˈabˌɐdˈaɾˈeɪŋ
ababadávamos	ɐbˈˌɐbˌɐdˈavˌɐmˌuʒ
ababaia	aːbabajɐ
ababalhado	abːabaʎadˈo
ababalhar	ababalaɾ
ababalhos	ababaʎos
ababalhos	abˈaˈbˈaʎʊʒ
ababangai	aˈbˈabˈaɪŋgˈaɪ
ababe	aːbɐbi
ababelado	abapeladʊ
ababelar	ababila
ababocado	abˈabˌɐukˈadu
ababocado	abˌabukˈadʊ
ababoni	apaboni
ababosado	apˌabuzˈadʊ
ababosar	ababuzˈɑx
ababuí	ababuj
ababá	ababà
abac	ɐbˈak
abacaiado	abˌɐkˌajˈadʊ
abacalhoado	abakˌaʎulˈadw
abacamartado	abakamaɾtˈaðu
abacamartado	abˈakɐmˌɐɾətˈadʊ
abacatada	abakataða
abacatada	aˈbakɐtˈadɐ
abacatada	aːmˈakːɐtːadɐ
abacataia	abatataja
abacatal	abakɐtˈaʊ
abacate	abakˈatʃ
abacate	abakˈaɪtɨ
abacate	aːbakatʃi
abacate	aːbakˈat
abacate	aːbˈakːɐtʃːe
abacate	ˌɐbɐkˈatɨ
abacate-do-mato	ɐbˌɐkˈatɨdʊmˈatʊ
abacate-do-mato	ˌɐbakˈatɨdʊmˈatʊ
abacateira	abˈakɐtˈeɪɾɐ
abacateiral	abˌɐkɐteɪɾˈɑl
abacateiral	abˌɐkɐtˈeɪɾˈɑl
abacateiro	abˌɐkatˈeɪɾʊ
abacateiro	abˌɐkɐsˈeɪɾʊ
abacateiro	abˌɐkɐtˈeɪɾʊ
abacateiro	aːbˌɐkɐtˈeɪɾʊ
abacateiro	ɐbˌɐkɐtˈeɪɾʊ
abacateiro	ˌɐbakɐtˈeɪdu
abacateiros	abakateiɾos
abacateiros	abakatejros
abacates-do-mato	ˌɐbɐkˈatizdʊmˈatʊ
abacatiare	abˈakːˈatʃˈaɾi
abacatiares	abakatʃaɾiʃ
abacatina	ˌɐbɐkˈatˈinɐ
abacatuaia	abakatuaʲa
abacatuia	abakatˈoja
abacaxi	abakaiʃi
abacaxi	abakaki
abacaxi	abakakʃi
abacaxi	abakakˈi
abacaxi	abakazsj
abacaxi	ˌɐbɐkɐʃˈi
abacaxi-silvestre	abˈakaʃisˌilvˈɛʃtɹɨ
abacaxicultor	abakaʃikultuɾe
abacaxicultura	aːbˈakɐʃikˌultˈuɾɐ
abacaxis	ˌɐbakɐʃˈiz
abacaí	ˌɐbakˌɐˈiɐ
abacaíba	abakaʝjba
abacebilidade	ˌɐbɐsˌebiliɪdˈadɨ
abacelamento	ɐbˌɐsˌelɐmˈeɪŋtʊ
abacelar	abasiʎaɾ
abaceto	abasˈetʊ
abacharelado	abˈaʃarˈilˈadˈɔ
abacharelar	abbaʃaɾelar
abacharelar	abɑʃaɾɯlaɾ
abachuchu	ɛbaʃuʃu
abaci	aːbasi
abacia	aːbˌɐsˈiɐ
abacial	abˌasˈial
abaciar	abasˈjaɾ
abaciar	abasˌiɐɾ
abaciara	abasˌɪaɾa
abaciareis	abaziaɾejs
abaciarem	abasjaɾe
abaciares	ˌɐvɐsiˈaɾɨʒ
abaciarias	abakiaɾiez
abaciastes	avasiastes
abaciem	abasie
abacies	abasiz
abacinado	abˌɐ̃sˌinˈadʊ
abacinar	abɐsjnˈaɹ
abaciou	abasio
abacisco	abˈaθisko
abacisco	ˌɐbɐsˈiʃkʊ
abacista	abˌɐsˈiʃtɐ
abaco	abku
abacruzense	apakɾuzˈeɪŋsj
abacteriano	abakhˈtɛɾiˈanɔ
abacteriano	ɐbˈaktˈeɾˈianw
abacto	abaktw
abacur	aːbakuʁ
abacutaia	abakutajɛ
abacá	abak
abacá	aːbaka
abacé	abasɛ
abacômite	abakomiti
abada	abadə
abada	aβadɐ
abadado	abadadw
abadalado	abadˈaladʊ
abadalado	aːbadɐlˈadw
abadalhocar	abadˈaʎukˈaɹ
abadanado	abadanaðo
abadar	abadɑɾ
abadar	abadˌaɾ
abadavina	abadɐvjnˈɐ
abade	abadʒi
abade	aːbˈadʒɨ
abade	aːpɐde
abade	ˌɐbˈadɨ
abadecida	ˌɐbɐdɨsˈidɐ
abadejo	abadezo
abadengos	abadɨŋʒʊʒ
abadernado	abˌɐ̃dˌeʁnˈadʊ
abadernar	abadirnaːr
abadernar	abadɨxˈnax
abadesca	abadɛʃka
abadesco	abadɛskɔ
abadesco	abˌɐ̃dˈeʃkʊ
abadessa	abadɨsɑ
abadessa	abˌɐdˈesɐ
abadessa	ˌɐbɐdˈɛsɐ
abadessado	ˌɐbɐdɨsˈadw
abadessar	abadːesˌaɾ
abadessona	abadɨsˈona
abadessão	abadɨsˈɐ̃ʊ̃
abadia	abadˈiɐ
abadia	aːbˈadɪɐ
abadia	ˌɐbɐdˈiɐ
abadiado	abˌɐdˈiadʊ
abadiado	ˌɐbɐdˌiˈadw
abadim	abadʒiŋ
abadiota	abadʒot̪a
abadiva	aːbˌɐdˈivɐ
abado	abadu
abadágio	abadˈaɣjo
abadão	abadɐʊ
abaetado	abˌɐ̃ɾɨtˈadʊ
abaeteenses	abɐˈetˈɨeɪŋsiz
