!ਨਵੀਂ	nəviː
''ਅਸੀਂ	əsī̃ː
''ਭੈਣ	beːɳ
'ਅ	ə
'ਅਕਸ਼ੈ	əkə́ʃeː
'ਅਜਿਹੀਆਂ	ədʒiːhiːə̃
'ਅਤਵਾਰ	ətʋɑːr
'ਅਨਾਰ	ənɑːr
'ਅਮਾਵਸ'	əmaːʋəs
'ਅਰਜੁਨ	əɾdʒʊn
'ਅਲਸੀ	əlsi
'ਅਲੋਨ'	əloːn
'ਅਸੀਂ	əsī̃ː
'ਅੰਕ'	əŋk
'ਅੰਗਰੇਜ਼ੀ	əŋgɾeːziː
'ਅੱਜ	ədʒ
'ਆਗ'	ɑːg
'ਆਗਰਾ'	ɑːgɾɑː
'ਆਧਾਰ'	ɑːd̪ʱɑːɾ
'ਆਪ	ɑːp
'ਆਪ'	ɑːp
'ਆਪਣਾ	əpəɳə
'ਆਪਣੀ	əpəɳiː
'ਆਰਟੀਕਲ	ɑːɾt̪ɪkəl
'ਆਰਮੀ	ɑːrmiː
'ਆਲ	ɑːl
'ਇਕ	ɪk
'ਇਸਤਰੀ'	ɪst̪ɾiː
'ਇੰਟੈਰੋਗੇਟ'	ɪntɛːroːgeːt
'ਇੰਡੀਆਜ਼	ɪnd̪iːə̯
'ਇੱਕਾ'	ɪkːə
'ਉਜੜਾ	ʊdʒəɽɑː
'ਉਠ	ʊʈʰ
'ਉਦੋਂ	uːɖoːn
'ਉਨ੍ਹਾਂ	ʊnɑ̃ː
'ਉਸ	ʊs
'ਉਸਤਾਦ'	ʊst̪aːd̪
'ਉਹ	uɦ
'ਉੜੀ'	ʊɽiː
'ਉੱਡਤਾ	ʊɖːt̪a
'ਏਕ	ɛk
'ਏਬੀਸੀਡੀ'	ɛːbɪsiːdiː
'ਓ	ɔ
'ਓਡ	ɔːɖ
'ਓਮ	ɔm
'ਓਲੰਪਿਕ	ɔlʌmbiːk
'ਕਬੀਰ	kɪbɪr
'ਕਮਾਂਡੋ'	kəmoːɳɖoː
'ਕਰਤਾਰਪੁਰ	kɑɾtɑːɾpʊɾ
'ਕਰੋ	kɔːro
'ਕਲੰਕ'	kələŋk
'ਕਾਂਗਰਸ	kaːŋgəɾs
'ਕਾਕਾ	kaːkaː
'ਕਾਰਗਿਲ	kɑːɾgɪl
'ਕਾਰੋਬਾਰ'	kaːɾoːbaːɾ
'ਕਿਸ'	kɪs
'ਕਿੱਕ	kɪkː
'ਕਿੱਸਾ'	kiːsɑː
'ਕੀ	kiː
'ਕੁਲੀ	kuliː
'ਕੇਦਾਰਨਾਥ'	kɛːdɑːɾnɑːt̪ʰ
'ਕੇਬੀਸੀ	keːbɪsiː
'ਕੇਸਰੀ'	keːsriː
'ਕੈਟੀਨਾ'	kɛːt̪iːnə
'ਕੈਪਟਨ	kɛːpt̪ən
'ਕੋਈ	kɔːi
'ਕੋਡਥੀ	kɔːɖʈʰi
'ਕੋਪਾ	kɔpɑ
'ਕੌਣ	koːn
'ਕੱਚੇ	kɑːtʃːe
'ਗਦਰ'	gəɖəɾ
'ਗਲੀ	gəliː
'ਗੁਗਲੀ'	gʊgliː
'ਗੁਰੂ'	gʊɾʊ
'ਗੁਲਾਬੋ	gʊlɑːbo
'ਗੁੱਡ	gʊːɖ
'ਗੇਮ	geːm
'ਗੇਲੋ'	geːloː
'ਗੈਸ	geːs
'ਗੋਪੀ	goːpiː
'ਗੋਲਡਨ	goːld̪n
'ਚ	tʃ
'ਚ'	tʃ
'ਚ)	tʃ
'ਚ:	tʃʰ
'ਚਾਣਕਿਆ'	tʃaːɳki̯a
'ਚਾਲਬਾਜ਼'	tʃaːlbaːz
'ਚੁਪਕੇ	tʃʊpke
'ਚੇ	tʃʰe
'ਚੋ	tʃo
'ਚੋਂ	tʃoː
'ਚੋਟੀ'	tʃoːti
'ਚੌਕੀਦਾਰ	tʃɔːkiːd̪aːɾ
'ਚੌਕੀਦਾਰ'	tʃɔːkiːd̪ɑ̀r
'ਚੌਥੇ	tʃoːt̪ʰe
'ਛ	tʃʰ
'ਛਿਛੋਰੇ'	tʃʰɪtʃʰoːreː
'ਛੱਤਰੀ'	tʃʰəʈːɾiː
'ਜ਼ੋਸ਼'	ʐoːʃ
'ਜਾਨ੍ਹਵੀ	dʒɑːnɪʋiː
'ਜਿਓ'	dʒiːo
'ਜਿਨ੍ਹਾਂ	dʒɪn̪ɑ̃ː
'ਜਿਸ	dʒɪs
'ਜਿੰਦਗੀ'	dʒɪndgi
'ਜੁੱਲੀ	dʒʊlːiː
'ਜੇ	ʒeː
'ਜੇਕਰ	ʒɛkər
'ਜੈ	dʒɛː
'ਜੋ	dʒoː
'ਜੋਸ਼	dʒoːʃ
'ਜੱਟ	ɟɑʈː
'ਟਾਈਗਰ	tɑːɪgər
'ਟਾਪ	ʈaːp
'ਟੋਟਲ	ʈoːʈəl
'ਟੱਲੀ	ʈɔːliː
'ਠਾਕਰੇ'	θɑkɾe
'ਠੱਗਜ਼	θagː
'ਡਾਨ	ɖɑːn
'ਡਾਨ'	ɖɑːn
'ਡ੍ਰੀਮ	ɖɾiːm
'ਤਹਾਨ'	t̪əɦɑːn
'ਤਾਰਕ	tɑːɾk
'ਤਿੰਨ	t̪ɪ̃ːn
'ਤੀਸ	t̪iːs
'ਤੀਸਰੇ	t̪iːs̪əɾe
'ਤੁਮ	t̪um
'ਤੁਸੀਂ	tusiːn
'ਤੂੰ	t̪uː
'ਤੇ	te
'ਤੇ।	te
'ਤੇਰੀ	teːriː
'ਤੇਰੇ	teːre
'ਤਖ਼ਤ'	t̪əʈʰ
'ਥਾਲਾਪਥੀ	θɑːlɑːpəʈʰiː
'ਥੱਪੜ'	θɑpːəɽ
'ਦ	d̪ə
'ਦਾ	ɖɑː
'ਦਿ	ɗi
'ਦਿਲ	ɖɪl
'ਦਿਲਵਾਲੇ	ɗɪlʋɑːlɛː
'ਦੀਦੀ	ɖiːɖiː
'ਦੁੱਧ	duːd̪ːʱ
'ਦੋ	do
'ਦੋਸਤਾਨਾ	doːs̪t̪aːn̪aː
'ਦੰਗਲ'	ɖəŋgəl
'ਨਮਸਤੇ	namaste
'ਨਰਸਿਮਹਾ'	nəɾsɪməhɑ
'ਨਹੀਂ	nəɦiː
'ਨਾ	nɑː
'ਨਾਇਕ'	naːɪk
'ਨਾਗਿਨ'	naːgɪn
'ਨਾਢੂ	naːɖuː
'ਨਾਨਕ	nɑːnkʰ
'ਨਾਮ	nɑːm
'ਨਿਆਂ'	nijɑ̃ː
'ਨਿਸ਼ਚਿਤ'	nɪʃtʃɪt̪
'ਨੇ	nɛ
'ਨੋਟਬੁੱਕ'	n̪oːt̪bʊkː
'ਨੱਚ	nɑtʃ
'ਪਤੀ	pʰt̪iː
'ਪਦਮਾਵਤ'	pəɖmɑːʋəʈ
'ਪਰਚਿਆਂ	pɾtʃjɑ̃
'ਪਰਵਰਿਸ਼'	pərʋəɾɪʃ
'ਪਲੇਟਫਾਰਮ'	paːlɛːt̪fɑːɾm
'ਪਾਕਿਸਤਾਨ	paːkɪstaːn
'ਪਾਣੀਪਤ'	pəːɳiːpət
'ਪਾਨੀਪਤ'	pəːnipət
'ਪਿਛਲੇ	pitʃlə
'ਪਿੰਕ	pɪŋk
'ਪਿੰਕ'	pɪŋk
'ਪੀਕੂ'	piːkuː
'ਪੁੱਤ	puːt̪ː
'ਫਰੰਟ	ɸəɾəɳʈ
'ਫਾਰਸੇਟ	fɑːɾsɛt
'ਫਿਰ	ɸɪr
'ਫਿਲਮ	film
'ਬਚਨਾ	ɓətʃnə
'ਬਣਜਾਰਾ	bandʒɑːɾɑː
'ਬਣਜਾਰਾ'	banɖʐaːɾɑː
'ਬਦਲਾ'	bəɖɮɑ
'ਬਧਾਈ	bəd̪ʱaːiː
'ਬਹਾਦਰ	bəɦɑːd̪əɾ
'ਬਹੁਤ	bəɦʊt̪
'ਬਾਲਾ'	baːlɑː
