allin	ˈaʎin
ayllu	ˈajʎu
ch'aki	ˈtʃʼaki
churi	ˈtʃuɾi
hamuy	ˈhamuj
inti	ˈinti
killa	ˈkiʎa
llank'ay	ˈʎaŋkʼaj
llulla	ˈʎuʎa
machu	ˈmatʃu
maki	maki
mama	ˈmama
mama	mama
masi	ˈmasi
mayu	ˈmaju
mikhuna	mikhuna
mikhuy	ˈmikʰuj
munay	ˈmunaj
ñawi	ɲawi
pacha	patʃa
pata	ˈpata
paya	ˈpaja
phuyu	ˈpʰuju
puka	ˈpuka
p'unchay	ˈpʼuntʃaj
puñuy	ˈpuɲuj
puriy	ˈpuɾij
qhapaq	ˈqʰapaq
qhari	ˈqʰaɾi
qhariwarmi	ˈqʰaɾiˈwaɾmi
qhaway	ˈqʰawaj
qhipay	ˈqʰipaj
q'illu	ˈqʼiʎu
qocha	ˈqɔtʃa
q'omer	ˈqʼomɛɾ
qoya	ˈqɔja
rimay	ˈɾimaj
riy	ˈɾij
runa	runa
runa	ˈɾuna
sach'a	satʃʼa
sayay	ˈsajaj
sinchi	ˈsintʃi
tayta	ˈtajta
tayta	tajta
tiyay	ˈtijaj
tuta	ˈtuta
unu	ˈunu
upyay	ˈupjaj
urqu	ˈuɾqu
wakcha	ˈwaktʃa
warmi	ˈwaɾmi
wasi	ˈwasi
wasi	wasi
wata	ˈwata
wawa	ˈwawa
wiraqucha	wiˈɾaqutʃa
yachay	ˈjatʃaj
yaku	ˈjaku
yaku	jaku
yana	ˈjana
yanqa	ˈjaŋqa
