allin	ˈaʎin
ancha	ˈantʃa
apu	ˈapu
ayllu	ˈajʎu
batu	ˈbatu
ch'aki	ˈtʃʼaki
ch'akiy	ˈtʃʼaki
chhulla	ˈtʃʰuʎa
chunka	ˈtʃuŋka
churi	ˈtʃuɾi
dali	ˈdali
fyera	ˈfiɛɹa
gamu	ˈgamu
hamuchinakusqaykichik	hamutʃinakusqajkiˈtʃik
hamuchisqanchik	hamutʃisqanˈtʃik
hamuchisqaykichikmanta	hamutʃisqajkitʃikmanˈta
hamuchisqayki	hamutʃisqaˈjki
hamunakusqayku	hamunakusqaˈjku
hamun	hamuŋ
hamuy	ˈhamuj
hatun	ˈhatun
icha	ˈitʃa
inti	ˈinti
kawsachinakusqaykichik	kawsatʃinakusqajkiˈtʃik
kawsachisqanchik	kawsatʃisqanˈtʃik
kawsachisqaykichikmanta	kawsatʃisqajkitʃikmanˈta
kawsachisqayki	kawsatʃisqaˈjki
kawsanakusqayku	kawsanakusqaˈjku
kawsanakuykichikraq	kawsanakujtʃikˈɾaq
kawsay	ˈkawsaj
khuchi	ˈkʰutʃi
kikin	ˈkikiŋ
killa	ˈkiʎa
k'ita	ˈkʼita
latu	ˈlatʼu
llajcta	ˈʎaχta
llankachinakusqaykichik	ʎaŋkatʃinakusqajkiˈtʃik
llankachinakuykuchu	ʎaŋkatʃinakujkuˈtʃu
llankachinakuy	ʎaŋkatʃinaˈkuj
llankachiqkunapuni	ʎaŋkatʃiqkunaˈpuni
llankachisqaykichik	ʎaŋkatʃisqajkiˈtʃik
llankachisqaykichikmanta	ʎaŋkatʃisqajkitʃikmanˈta
llankachisqayku	ʎaŋkatʃisqaˈjku
llankanakuy	ʎaŋkanaˈkuj
llank'ay	ˈʎaŋkʼaj
llulla	ˈʎuʎa
machu	ˈmatʃu
maki	maki
mama	ˈmama
mama	mama
masi	ˈmasi
mayu	ˈmaju
mikhuchikunata	mixutʃikuˈnata
mikhuchinakusqaykichik	mixutʃinakusqajkiˈtʃik
mikhuchiqkunapas	mixutʃiqkunaˈpas
mikhuchisqanchik	mixutʃisqanˈtʃik
mikhuchisqaykichikmanta	mixutʃisqajkitʃikmanˈta
mikhuchisqayki	mixutʃisqaˈjki
mikhuna	mikhuna
mikhuy	ˈmikʰuj
mikhuy	ˈmixuj
munay	ˈmunaj
muru	ˈmuɾu
nanay	ˈnanai
nawi	ˈɲawi
ñawi	ɲawi
orck'o	ˈolkʼo
pacha	ˈpatʃa
pacha	patʃa
p'acha	ˈpʼatʃa
pampa	̪ˈpampa
pata	ˈpata
paya	ˈpaja
phawaay	ˈpʰawai
phuyu	ˈpʰuju
puka	ˈpuka
punchaw	ˈpuntʃaw
p'unchay	ˈpʼuntʃaj
puñuy	ˈpuɲuj
purichinakuy	puɾitʃinaˈkuj
purichisqaykichik	puɾitʃisqajkiˈtʃik
purichisqayku	puɾitʃisqaˈjku
puriy	ˈpuɾij
q'ala	ˈqʼala
qara	ˈqaɹa
qhapaq	ˈqʰapaq
qhari	̪ˈqʰaɹi
qhari	ˈqʰaɾi
qhari	ˈqhaɾi
qhariwarmi	ˈqʰaɾiˈwaɾmi
qhawachinakusqaykichik	qhawatʃinakusqajkiˈtʃik
qhawachinakuy	qhawatʃinaˈkuj
qhawachisqanchik	qhawatʃisqanˈtʃik
qhawachisqaykichikmanta	qhawatʃisqajkitʃikmanˈta
qhawachisqayki	qhawatʃisqaˈjki
qhaway	ˈqʰawaj
qhipay	ˈqʰipaj
q'illu	ˈqʼiʎu
qocha	ˈqɔtʃa
qolqe	ˈqolqe
q'omer	ˈqʼomɛɾ
qoya	ˈqɔja
rikuchikunata	ɾikutʃikuˈnata
rikuchinakusqaykichik	ɾikutʃinakusqajkiˈtʃik
rikuchinakuykuchu	ɾikutʃinakujkuˈtʃu
rikuchiqkunallam	ɾikutʃiqkunaʎaˈʎam
rikuchiqkuna	ɾikutʃiqˈkuna
rikuchisqanchik	ɾikutʃisqanˈtʃik
rikuchisqaykichikmanta	ɾikutʃisqajkitʃikmanˈta
rikuchisqayki	ɾikutʃisqaˈjki
rikuy	ˈɾikuj
rimanakusqaykichikmanta	ɾimanakusqajkitʃikmanˈta
rimanakusqaykichik	ɾimanakusqajkiˈtʃik
rimanakusqaykuchu	ɾimanakusqajkuˈtʃu
rimanakusqayku	ɾimanakusqaˈjku
rimanakuykichikraq	ɾimanakujtʃikˈɾaq
rimanakuy	ɾimanaˈkuj
rimay	ˈɾimaj
riy	ˈɾij
runakuna	ˈɾunakuna
runa	runa
runa	ˈɾuna
rupa	ˈrʰupa
rurai	ˈřuwai
sach'a	satʃʼa
sayay	ˈsajaj
shua	ˈʃua
sinchi	ˈsintʃi
sumaq	ˈsumaq
supay	ˈsupai
t'anta	̪ˈtʼanta
tapuy	ˈtapui
tayta	ˈtajta
tayta	tajta
thanta	ˈtʰanta
tiyay	ˈtijaj
tukuchinakusqaykichik	tukutʃinakusqajkiˈtʃik
tukuchinakuy	tukutʃinaˈkuj
tukuchisqanchik	tukutʃisqanˈtʃik
tukuchisqaykichikmanta	tukutʃisqajkitʃikmanˈta
tukuchisqayki	tukutʃisqaˈjki
tuta	ˈtuta
uchuy	ˈutʃuj
ucu	ˈuku
unu	ˈunu
upyachikunata	upjatʃikuˈnata
upyachinakusqaykichik	upjatʃinakusqajkiˈtʃik
upyachinakuykuchu	upjatʃinakujkuˈtʃu
upyachisqaykichikmanta	upjatʃisqajkitʃikmanˈta
upyachisqaykichik	upjatʃisqajkiˈtʃik
upyachisqayki	upjatʃisqaˈjki
upyay	ˈupjaj
urqu	ˈuɾqu
wakcha	ˈwaktʃa
wañuchinakusqaykichik	waɲutʃinakusqajkiˈtʃik
wañuchisqanchik	waɲutʃisqanˈtʃik
wañuchisqaykichikmanta	waɲutʃisqajkitʃikmanˈta
wañuchisqayki	waɲutʃisqaˈjki
wañuy	ˈwaɲuj
warmi	waɹmi
warmi	ˈwaɾmi
wasi	ˈwasi
wasi	wasi
wata	ˈwata
wawa	ˈwawa
wiraqucha	wiˈɾaqutʃa
yachachikunata	jatʃatʃikuˈnata
yachachikuy	jatʃatʃiˈkuj
yachachinakusqaykichik	jatʃatʃinakusqajkiˈtʃik
yachachinakuykichikta	jatʃatʃinakujtʃikˈta
yachachiqkuna	jatʃatʃiqˈkuna
yachachiqninchik	jatʃatʃiqninˈtʃik
yachachiqninchikkunapaq	jatʃatʃiqnintʃikkunaˈpaq
yachachisqaykichik	jatʃatʃisqajkiˈtʃik
yachachisqaykichikmanta	jatʃatʃisqajkitʃikmanˈta
yachachisqayki	jatʃatʃisqaˈjki
yachay	ˈjatʃaj
yaku	ˈjaku
yaku	jaku
yana	ˈjana
yanqa	ˈjaŋqa
yuyaychasqanchik	jujajtʃasqanˈtʃik
