amil	amil
atar	atar
nén	neːn
mat	mat
mar	mar
quén	kʷeːn
lúmë	luːme
alda	alda
maqua	makʷa
hen	hen
alda	ˈalda
amba	ˈamba
amil	ˈamil
anar	ˈanar
ando	ˈando
arwen	ˈarwen
atar	ˈatar
calma	ˈkalma
corma	ˈkorma
elen	ˈelen
esse	ˈesse
fëa	ˈfea
harma	ˈharma
hen	hen
ilya	ˈilja
isil	ˈisil
laita	ˈlaita
lómë	ˈloːme
macil	ˈmakil
malta	ˈmalta
mára	ˈmaːra
melda	ˈmelda
minë	ˈmine
nár	naːr
nén	neːn
nórë	ˈnoːre
ondo	ˈondo
parma	ˈparma
quen	kʷen
quendë	ˈkʷende
ranco	ˈranko
rávë	ˈraːve
saila	ˈsaila
sí	siː
súlë	ˈsuːle
tári	ˈtaːri
tengwë	ˈteŋgʷe
tir	tir
ulundë	uˈlunde
úmëa	ˈuːmea
vala	ˈvala
vanya	ˈvaɲa
yávë	ˈjaːve
yén	jeːn
