11-a	ɨˈa
2-lea	le̯a
3-lea	ʃe̯a
4-a	ɑ
4x4	ˈkɾɛtʃ
`mi	mi
a	a
a	ə
a-am	əam
a-ha	ɑhɑ
a-i	aj
a-l	əl
a-mi	əmi
a-nceput	ənˈtʃeput
a-si	əsi
a-ti	ɑti
a-şi	əʃʲ
a-ţi	ətsʲ
a-și	əˈzʲ
a-ți	ətsi
aa	ɑ
aaah	ɑː
aah	ɑ
aalboaiei	aalbŏajej
aalexoaiei	aaleksŏajej
aancuței	aankutsej
aanicăi	aanikəj
aanuței	aanutsej
aaron	ɑːron
aauto	aauto
aaxiniei	aaksinijej
ab	ab
ab	ɑb
aba	aba
ababei	ababej
abac	abak
abacă	abakə
abaddon	ɑbɑˈdon
abager	abadʒer
abagerie	abadʒerije
abagiu	abadʒiw
abajur	abaʒur
abandon	abandon
abandon	əbaˈdon
abandona	abandona
abandona	abanˈdona
abandonare	abandonare
abandonarea	əbandoˈnare̯a
abandonase	abandonase
abandonat	abandonat
abandonat	əbandoˈnat
abandonata	əbandoˈnata
abandonati	əbandoˈnati
abandonată	əbandoˈnətə
abandonaţi	abandonatsi
abandonează	abanˈdone̯aʃe̯
abandonez	abanˈdonez
abandoneze	abandoˈne̯ze̯
abandonezi	abandoˈnezi
abandonăm	əbanˈdonəm
abanos	abanos
abat	ɑbɑt
abataj	abataʒ
abate	abate
abate	ɑbɑte
abatem	ɑbɑˈtem
abatere	abatere
abatere	ɑbɑt̪ere
abatesă	abatesə
abatiză	abatizə
abator	abator
abator	ɑbɑˈtor
abată	ɑˈbɑtə
abazie	abazije
abație	abatsije
abba	ɑbːa
abbas	ɑbbɑs
abbey	ɑbɨj
abbie	abje
abbot	abot
abces	abtʃes
abces	abˈtʃes
abdica	abdika
abdicare	abdikare
abdomen	abdome
abdomen	abdomen
abdomene	abdomene
abdomenul	abdomenul
abdomenului	abdomenuɫuj
abdominal	abdominal
abdominal	abdomiˈnal
abdominale	abdomiˈnale
abdominalgie	abdominaldʒije
abdominală	abdomiˈnalə
abductor	abduktor
abducție	abduktsije
abdul	abˈdul
abdullah	abdulə
abe	abe
abea	abe̯a
abecedar	abetʃedar
abecedarul	abetʃedarul
abed	abeɟ
abel	ˈabel
aberant	aberant
aberativ	aberativ
aberaţie	əβeratsie
aberație	aberatsije
aberdeen	ɑbɛrdeɪn
abernathy	abɛrˈnatʃi
aberoscop	aberoskop
abhay	ɑbhaj
abi	ɑbʲ
abia	abia
abia	abja
abigail	əbiˈgajl
abil	abil
abil	ɑˈbil
abilene	ɑbileˈne
abili	abil
abilita	abilita
abilitare	abilitare
abilitat	abilitat
abilitate	abilitate
abilitate	abiliˈtate
abilitatea	abilite̯atə
abilitati	ɑbiˈlitatʲ
abilitatile	ɑbilit̪aˈtile
abilitați	abilitats
abilitătile	abilitət̪ʲile
abilităţi	ɑbiˈlitetsʲ
abilităţile	ɑbilitəˈtsʲle
abilități	ɑbilitəˈte̯
abilitățile	abilitəˈte̯ale̯
abiogen	abiodʒen
abiogeneză	abiodʒenezə
abiologie	abiolodʒije
abiotic	abiotik
abiotrofie	abiotrofije
abioză	abiozə
abis	abis
abisal	abisal
abisinian	abisinijan
abisul	abisul
abitație	abitatsije
abitir	abitir
abject	abʒekt
abjecție	abʒektsije
abjudeca	abʒudeka
abjudecare	abʒudekare
abjudecat	abʒudekat
abjura	abʒura
abjurare	abʒurare
abjurat	abʒurat
ablactare	ablaktare
ablactație	ablaktatsije
ablativ	ablativ
ablație	ablatsije
ablațiune	ablatsiune
ablefarie	ablefarije
ablepsie	ablepsije
abluțiune	ablutsiune
abnega	abnega
abnegare	abnegare
abnegat	abnegat
abnegație	abnegatsije
abner	abner
abnorm	abnorm
abnormitate	abnormitate
abolire	abolire
abolit	abolit
abolițiune	abolitsiune
abominabil	abominabil
abona	abona
abonament	abonament
abonament	ɑboˈnamɛnt
abonamentul	ɑbo̞namɛntul
abonare	abonare
abonat	abonat
abonat	əboˈnat
aborda	aborda
aborda	abɔrda
abordabil	abordabil
abordaj	abordaʒ
abordare	abordare
abordare	əˈbɔrd̪aɾe
abordarea	əˈbɔrd̪are̯a
abordat	abordat
abordat	abɔrdat
abordate	abordate
abordaţi	abɔrˈdatsʲ
abordează	ɑborde̯asə
abordez	aboˈredz
abordeze	aboɾˈdeze
abordezi	abɔrˈdezi
abordăm	abordəm
abordăm	əˈbɔrdəm
aborigen	aboridʒen
abortiv	abortiv
about	əˈbuːt
abrac	abrak
abracadabra	abrakadabra
abracadabrant	abrakadabrant
abrams	abrams
abrazare	abrazare
abraziune	abraziune
abraziv	abraziv
abrazor	abrazor
abraș	abraʃ
abrevia	abrevija
abreviat	abrevijat
abreviativ	abrevijativ
abreviator	abrevijator
abreviație	abrevijatsije
abreviațiune	abrevijatsiune
abreviere	abrevijere
abroga	abroga
