-аж	ˈɑɹd
-ать	ˈaɪt
-е	jɛ
-ение	jɛnːiːjɛ
-еньк	jˈɛnk
-ереть	jɛrʲetsʲ
-ий	iː
-ин	ɪ̞n
-нуть	nˈut
-о	o
-ой	oj
-ок	ok
-пь	tut
6-ой	ʂɨstoj
oзёра	azʲora
«а»	ˈɑ
«у»	u
ø	ˈøː
ϡ	iː
а	a
а	ɑː
а-их-ма-хма	aˈixmˈɑxmˈɑ
а-конто	akonto
а-ля	aɭˈɑ
а-ля-бальзак	aɭˈɑbaɭzˈɑk
а-ха-ха	axˈɑxˈɑ
а́тласу	atlasu
аа	ˈɑa
аадниель	aadnˈijiɭ
аадниэль	aadnˈiɛɭ
ааз	ˈɑʌs
ааза	aˈɑza
аазом	aˈɑzʌm
аазу	aˈɑzu
аака	aˈɑka
аали	aˈɑɭɪ
аалтонен	aaɭtˈonin
аальмар	aˈɑɭmʌr
аар	ˈɑʌr
аардоникс	ardonʲiks
ааре	aˈɑri
ааренисе	aarˈenisi
аарне	aˈɑrni
аарон	aarˈon
аарон	aron
аарона	aarˈona
аароновца	aɣronovtsa
аароном	aarˈonʌm
аарону	aarˈonu
аарфи	aˈɑrfɪ
аастращена	aastrˈɑɕina
аахен	aˈɑxin
аахена	aˈɑxina
аахене	aˈɑxini
ааэ	aˈɑɛ
аб	ˈɑp
аба	tɐba
аба	ˈɑba
абагейл	abˈɑgijɭ
абадан	abadãn
абаджиим	abadʒˈyim
абадзехская	abadzʲexskaja
абадонна	abˈɑdʌnna
абаев	abajaf
абаж	ˈɑbʌʃ
абажур	abaʒˈur
абажура	abaʒˈura
абажурами	abaʒˈurʌmɪ
абажурах	abaʒˈurʌx
абажуре	abaʒˈuri
абажуров	abaʒˈurʌf
абажуром	abaʒˈurʌm
абажуру	abˈɑʒuru
абажурчик	abaʒˈurtʃik
абажурчики	abaʐurtʃikʲi
абажуры	abaʒˈury
абаза	abza
абаза	abˈɑza
абазакт	abazˈakt
абазии	abaziː
абазин	abɑzil
абазин	abˈɑʑin
абазина	abazʲina
абазинка	abɑzinta
абазинки	abazʲinkʲi
абазинок	abazʲinak
абазинские	abazʲinskʲija
абазинский	abazʲinskʲi
абазинца	abazʲintsɨ
абазинцем	abazʲintsɨm
абазины	abazʲinɨ
абазины	aːbazine
абазия	aːbasiːa
абазы	abˈɑzy
абаим	abaʲim
абай	abˈɑj
абак	abat
абак	abˈɑk
абака	abˈɑka
абакан	abakˈɑn
абакан	aːbaːkɑn
абакана	abˈɑkʌna
абакане	abakˈɑni
абаканец	abakanʲits
абаканцы	abakantsʲ
абакарус	abakˈɑrus
абакир	abˈɑkir
абакот	abakot̪
абаку	abakum
абакумов	abakumaf
абакумов	abakˈumʌf
абакумова	abakˈumʌva
абакумович	abakumavʲitʃ
абакумову	abakˈumʌvu
абакумовым	abakˈumʌvym
абалак	ɑbɑɫɑk
абалаков	abaɭˈɑkʌf
абалакова	abaɭˈɑkʌva
абалкин	abˈɑɭkin
абалкина	abˈɑɭkina
абалкиным	abaɭkˈinym
абандандо	abˈɑndʌndʌ
абандибот	abandˈibʌt
абандон	abandon
абандонация	abandonatsɨja
абапер	abopʲer
абарис	abɑɾiʃ
абарчук	abartʃˈuk
абарян	abarˈɑ
абасов	abasov
абасов	abˈɑsʌf
абасова	abˈɑsʌva
абассидов	abassˈidʌf
абат	abˈɑt
абата	abˈɑta
абатуры	abaturɨ
абафа	abˈɑfa
абашвили	abˈɑʒviɭɪ
абашидзе	abˈɑʃydʑi
абая	abˈɑja
абба	ˈɑbba
аббала	abbˈɑɭa
аббас	ˈɑbbʌs
аббаса	abbˈɑsa
аббасидов	abbasˈidʌf
аббасиды	abbˈɑsidy
аббасом	abbˈɑsʌm
аббасу	abbˈɑsu
аббат	abat
аббат	abbˈɑt
аббат	atbat
аббата	abbˈɑta
аббате	abbˈɑti
аббатиса	abbatˈisa
аббатиса	abˈatiˈsˈa
аббатисе	abbatˈisi
аббатисой	abbatˈisʌj
аббатису	abbatˈisu
аббатисы	abbatˈisy
аббатов	abatʌv
аббатов	abbˈɑtʌf
аббатом	abbˈɑtʌm
аббатств	abbˈɑtstf
аббатства	abbˈɑtstva
аббатства	ambatstva
аббатстве	abbˈɑtstvi
аббатство	abbˈɑtstvʌ
аббатством	abbˈɑtstvʌm
аббатству	abbˈɑtstvu
аббату	abbˈɑtu
аббаты	abbˈɑty
аббации	abbˈɑtsyɪ
аббвиля	abbvˈiɭʌ
аббе	ˈɑbbi
аббенае	abbˈenʌjɪ
абберкам	abbˈerkʌm
аббингтон	abbˈinktʌn
аббон	ˈɑbbʌn
аббот	abbˈot
аббревиатур	abbriviatˈur
аббревиатура	abbriviatˈura
аббревиатура	abreviatura
аббревиатуре	abbriviatˈuri
аббревиатурой	abbriviatˈurʌj
аббревиатуру	abbriviatˈuru
аббревиатуры	abbriviatˈury
аббу	ˈɑbbu
аббы	ˈɑbby
абвер	apvɛr
абвер	apʋɛr
абвер	ˈɑbvir
абвера	abvˈera
абвере	abvˈeri
абвером	abvˈerʌm
абверу	abvˈeru
абд	ˈɑpt
абда	ˈɑbda
абдаево	abdaʲeva
абдалла	abdˈɑɭɭa
абдаллах	abdˈɑɭɭʌx
абдаллаха	abdˈɑɭɭʌxa
абделазиз	abdiɭˈɑʑis
абдель	ˈɑbdiɭ
абделя	abdˈeɭʌ
абдерит	abdɛʲːit
абдеры	abdˈery
абдиас	abdˈiʌs
абдиаса	abdˈiʌsa
абдикация	apdikatsɨja
абдомен	apdˈominn
абдрагана	apdʐagana
абдрахман	abdrˈɑxmʌn
абдрахмана	abdrˈɑxmʌna
абдрахману	abdrˈɑxmʌnu
абду	ˈɑbdu
абдуктор	abduktər
абдул	ˈɑbduɭ
абдула	abdˈuɭa
абдулаев	abduɭˈɑjif
абдулка	abdˈuɭka
абдулла	abduɭɭˈɑ
абдуллаг	abduɭɭˈɑk
абдуллаев	abduɭɭˈɑjif
абдуллаева	abduɭɭˈɑjiva
абдулле	abdˈuɭɭi
абдулло	abdˈuɭɭʌ
абдуллоджон	abduɭɭˈodʒʌn
абдуллоджона	abduɭɭˈodʒʌna
абдуллой	abdˈuɭɭʌj
абдуллу	abdˈuɭɭu
абдуллы	abduɭɭˈy
абдулов	abduɫuf
абдулов	abdˈuɭʌf
абдуловского	abduɭˈofskʌvʌ
абдулом	abdˈuɭʌm
абдулсаттах	abduɭsˈɑttʌx
абдурахман	abduraxmˈɑn
абдурахмана	abdurˈɑxmʌna
абдуррахман	abdurrˈɑxmʌn
абе	aːbˈe
абе	ˈɑbi
абеак	abʲek
абевега	abivjɛga
абевега	abʲivʲeɣa
абегг	abˈekk
абеднего	abˈednivʌ
абеке	abˈeki
абекор	abʲekoɾ
абелардо	abˈeɭʌrdʌ
абелем	abˈeɭim
абелизавр	abʲelʲizavɯ̞r
абелл	ˈɑbiɭɭ
абеллино	abˈeɭɭinʌ
абелона	abˈeɭʌna
абель	ˈɑbiɭ
абелю	ˈɑbiɭuˌ
абеля	ˈɑbiɭʌ
абеляр	abiɭˈɑr
абеляра	abiɭˈɑra
абеляру	abiɭˈɑru
абен	ˈɑbin
абенакиит	abʲinakʲeˈit
абендсен	abˈentsin
абендсена	abˈentsina
абер	ˈɑbir
абердин	abirdˈin
абердина	abirdˈina
абердине	abirdˈini
абердинский	abʲerdʲinskʲi
аберкромб	abirkrˈomp
аберкромби	abˈerkrʌmbɪ
абернати	abˈernʌtɪ
аберративным	abirrˈɑtivnym
аберрацией	abirrˈɑtsyjij
аберрации	abirrˈɑtsyɪ
аберраций	abirrˈɑtsyj
аберрацию	abirrˈɑtsyju
аберрация	abirrˈɑtsyja
абесаломон	abisˈɑɭʌmʌn
абесаломона	abisˈɑɭʌmʌna
абз	ˈɑps
абзац	abzˈɑts
абзаца	abzˈɑtsa
абзацам	apzɑˈtsɑm
абзацами	abzˈɑtsʌmɪ
абзацами	apzatsɛmʲi
абзацах	abzˈɑtsʌx
абзацах	apzʲatsɛx
абзаце	abzˈɑtsy
абзаце	apzatsɛ
абзацев	abzˈɑtsyf
абзацев	apzatsɔv
абзацем	abzˈɑtsym
абзацем	apzaːtsɑm
абзацу	abzˈɑtsu
абзацы	abzˈɑtsy
абзацы	apɨzatsɨ
аби	ˈɑbɪ
аби-ад	ˈɑbɪˈɑt
абигайль	abˈigʌjɭ
абидович	abidˈovitʃ
абидовича	abidˈovitʃʌ
абидос	abɪdɯz
абидос	abˈidʌs
абидоса	abˈidʌsa
абидосе	abˈidʌsi
абиетин	abijetin
абиетина	abjetino
абила	abjil
абилат	abiɭˈɑt
абиное	abʲinoja
абиотическим	ʌbˈiatˈitʃˈeskim
абиру	abˈiru
абисимти	abˈisimtɪ
абиссинец	abissˈinits
абиссинии	abissˈiniɪ
абиссинию	abissˈiniju
абиссиния	abissˈinija
абиссинские	abissˈinskijɪ
абиссинский	abissˈinskij
абиссинскими	abissˈinskimɪ
абиссинских	abissˈinskix
абиссинского	abissˈinskʌvʌ
абиссинское	abissˈinskʌjɪ
абиссинской	abissˈinskʌj
абиссинскому	abissˈinskʌmu
абиссинцев	abissˈintsyf
абиссинцем	abissˈintsym
абиссинцы	abˈissintsy
абитур	abʲitur
абитура	abjetˈura
абитурбал	abitˈurbʌɭ
абитуриент	abiturijˈent
абитуриент	abʲiturʲiʲent
абитуриента	abiturijˈenta
абитуриентик	abʲiturʲijentʲik
абитуриентка	abʲiturʲiʲentka
абитуриентов	abiturijˈentʌf
абитуриенточка	abʲiturʲiʲentatʂka
абитуриентский	ʌbiturʌjɛnskij
абитуриенты	abiturijˈenty
абитуриенты	abʲidurʲiʲentɨ
абитурный	abʲiturnaj
абитурский	abʲiturzkʲaj
абияк	abiˈjak
абкиной	apkˈinʌj
абл	ˈɑbɭ
абл-эддин	ˈɑbɭˈɛddin
аблаев	abɭˈɑjif
аблаева	abɭˈɑjiva
аблакат	abɫakat
аблакат	abɭakˈɑt
аблакату	abɭˈɑkʌtu
аблакаты	abɭˈɑkʌty
абластика	abɫastika
аблеухов	abɭiˈuxʌf
