5	t
cамо	samo
jе	je
jутро	jutro
ko	a
o	o
okućnica	a
pokisla-покисла	pokislo
tup	o
tи	ti
vrh[slash]врх	wrx
z	zə
đак	dʒak
а	a
абажур	abǎʒuːr
абажур	aːbaʒuːr
абаити	abaiti
абак	ǎbak
абакус	abakuz
абакус	ǎbakus
абаја	abǎja
абаја	abǎːja
абаџија	âbadʒija
абдес	ǎbdes
абдест	ǎbdest
абдикант	abdǐkant
абдикациони	abˈdɪkatsiˈoˈni
абдикација	abdikǎːtsija
абдикација	abdɪkˈaːtsiːjˈa
абдицирати	abditsǐːrati
абдомен	abdǒːmen
абдоменски	abdǒːmenskiː
абдоминалан	âbdominaːlan
абел	ǎːbel
абер	abɪr
абер	ǎber
абесинац	abesǐːnats
абесинија	abesǐːnija
абесински	aběsinskiː
абецеда	abetsěːda
абецедар	abetsědaːr
абецедариј	abetsědaːrij
абецедни	âbetseːdniː
абидјан	ǎbidʒan
абидјански	abǐdʒanskiː
абиџан	ǎbidʒan
аблатив	âblatiʋ
аблаут	ǎblaut
аблација	ablǎːtsija
абнормалан	abnormalɛn
абнормалан	âbnormaːlan
абнормално	âbnormaːlno
абнормалност	abnormǎːlnoːst
аболиција	abolǐːtsija
аболицијски	abolǐːtsiːjskiː
абонент	abǒnent
абонирати	abonǐːrati
абонирац	abonǐːrats
абонман	abǒnmaːn
абориџиница	aborǐdʒinitsa
абортирати	abortǐːrati
абразиван	âbraziːʋan
абразија	abrǎːzija
абревијација	abreʋijǎːtsija
абхажанка	abxǎʒaːnka
абхаз	ǎbxaːz
абхазија	ǎbxaːzija
абхаски	ǎbxaːskiː
аваз	ǎʋaːz
авангарда	ǎʋangaːrda
авангардни	ǎʋangaːrdniː
аванзирати	aʋanzǐːrati
аванс	ǎʋans
авантура	avontura
авантура	aʋantǔːra
авантурист	aʋantǔrist
авантуристички	aʋanturǐstitʃki
авантуристички	aʋanturǐstitʃkiː
аварски	ǎʋaːrskiː
аватар	aʋǎtaːr
авај	ǎʋaːj
авганистан	aʋganǐstaːn
авганистански	avganǐstaːnskiː
август	ǎʋgust
авдест	ǎʋdest
авенија	avěːnija
аверзија	aʋěrzija
авестички	aʋěstitʃkiː
авет	abet
авиокомпанија	aʋiokompǎnija
авион	aʋǐoːn
авионе	avion
авионски	aʋǐonski
авионски	aʋǐonskiː
авиопревозник	aʋioprěːʋozniːk
авиопријевозник	aʋioprijěːʋozniːk
авитаминоза	aʋitaminǒːza
авијатичар	abijatitʃaːr
авијатичар	aʋijǎtitʃaːr
авијатичарски	abijatitʃaːrskiː
авијација	aʋijǎːtsija
авлија	ǎʋlija
авокадо	avokado
авокадо	aʋokǎːdo
ага	ǎga
агами	agǎːmi
агент	ǎgent
агенција	agěntsija
агилан	agiʲæ̀ːan
агилан	âgiːlan
агилно	agɛlno
агилно	âgiːlno
агилност	agijɛlnost
агилност	agǐːlnoːst
агитатор	agǐtaːtor
агитација	agitaːtsiːa
агитација	agitǎːtsija
агитирати	agitǐːrati
агломерат	agloměraːt
агломерација	aglomerǎːtsija
аглутинативан	âglutinatiːʋan
аглутинација	aglutinǎːtsija
агностик	agnǒstik
агностичар	agnǒstitʃaːr
агностичарка	agnǒstitʃaːrka
агностички	agnǒstitʃkiː
агогичан	agǒgitʃan
агонија	agǒnija
аграрни	ǎgraːrniː
агрегатни	agrěgaːtniː
агресиван	âgresiːʋan
агресивно	âgresiːʋno
агресија	agrěsija
агресор	agrɛsor
агресор	ǎgresor
агресорски	ǎgresorskiː
агробиологија	agrobiolǒgija
агрологија	agrolǒgija
агроном	agrǒnom
агрономија	agronǒmija
агрономски	agrǒnomski
агрономски	agrǒnomskiː
агростологија	agrostolǒgija
агротехнички	agrotěxnitʃki
агротехнички	agrotěxnitʃkiː
агротуризам	agroturǐzam
ада	ǎda
ада	ǎːda
адам	ǎdam
адаптација	adaptǎːtsija
адаптирати	adaptǐːrati
адвент	ǎdʋent
адвентист	adʋěntist
адвентистички	adʋentǐstitʃki
адвентистички	adʋentǐstitʃkiː
адвентисткиња	adʋěntistkiɲa
адверб	ǎdʋerb
адвербан	ǎdʋerban
адвербијалан	âdʋerbijaːlan
адвокат	adʋǒkaːt
адвокатисати	advokaːtisɛti
адвокатски	adʋǒkaːtski
адекватан	âdekʋaːtan
адекватно	âdekʋaːtno
адекватност	adekʋǎːtnoːst
аден	âːden
аденски	ǎːdenskiː
адет	ǎːdet
адио	adîo
адио	ǎdio
адисабебски	adisǎbebskiː
адиција	adǐːtsija
адијабатски	adijǎbatskiː
административан	âdministratiːʋan
административка	administrǎtiːʋka
администратор	adminǐstraːtor
администрација	administrǎːtsija
адмирал	admǐraːl
адмиралитет	admiralǐteːt
адмитанција	admitǎntsija
аднекс	ǎdneks
адолесцентица	adolěstsentitsa
адолесценција	adolestsěntsija
адонис	âdonis
адоптација	adoptǎːtsija
адоптирати	adoptǐːrati
адопција	adǒptsija
адорати	adǒrati
адоратор	adǒraːtor
адораторица	adǒraːtoritsa
адорација	adorǎːtsija
адорирати	adorǐːrati
адреналин	adrenǎliːn
адреналински	adrenǎliːnskiː
адреса	adrěsa
адресант	adrěsant
адресар	adrěsaːr
адресат	adrěsaːt
адресирати	adresǐːrati
адријана	adriˈana
адсорпција	adsǒrptsija
адсорпцијски	adsǒrptsiːjskiː
адут	ǎduːt
адхерент	adxěrent
адјектив	âdjektiːʋ
адјункт	ǎdjunkt
адјустажа	adjustǎːʒa
адјустирати	adjustǐːrati
аеробан	âeroːban
аеробик	aerǒbik
аеробика	aerǒbika
аеробиологија	aerobiolǒgija
аеробички	aerǒbitʃkiː
аерографија	aerogrǎfija
аеродинамика	aerodinǎmika
аеродинамичан	aerodinǎmitʃan
аеродинамички	aerodinǎmitʃkiː
аеродром	aerǒdrom
аеродромски	aerǒdromskiː
аеролит	aerǒliːt
аерологија	aerolǒgija
аеромеханика	aeromexǎnika
аеромеханичар	aeromexǎnitʃar
аероплански	âeroplaːnski
аероплански	âeroplaːnskiː
аеросол	âerosoːl
аждаха	aʒdǎxa
аждаја	aʒdǎja
ажур	ǎʒuːr
ажуран	âʒuːran
ажурирати	aʒurǐːrati
азана	azanɑ
азбест	ǎzbest
азбука	ǎzbuka
азбучни	ǎzbutʃniː
азербајџан	azerbǎjdʒaːn
азербајџанац	azerbajdʒǎːnats
азерски	ǎzerskiː
азил	ǎziːl
азилант	azǐlant
азилантски	azǐlantski
азилантски	azǐlantskiː
азимут	ǎzimut
азија	âːzija
азијатски	azǐjatski
азијатски	azǐjatskiː
азијац	azǐːjats
азијски	âːziːjskiː
азорски	ǎzorskiː
азот	asˈot
азот	ǎzot
азтек	ǎzteːk
азтечки	ǎztetʃkiː
академик	akaděmik
академичарски	akaděmitʃaːrski
академичарски	akaděmitʃaːrskiː
академија	akaděmija
академијски	akaděmiːjskiː
академски	akǎdemski
академски	akǎdemskiː
акадски	ǎkaːdskiː
акамоли	akâmoli
