a	ɑ
ba	bɑ
bana	bana
bana	bɑnɑ
batho	bɑtʰɔ
bo	bɔ
boikabelo	bɔikʼɑbɛlɔ
boikaganyo	bɔikʼɑɣɑɲɔ
boikanyego	boikxanɛɣo
boikanyego	bɔikʼɑɲɛɣɔ
boikarabelo	boikxarabɛlo
boikemelo	bɔikʼɛmɛlɔ
boikepo	bɔikʼɛpʼɔ
boiketlo	bɔikʼɛtɬɔ
boikgafalo	bɔikχʼɑfɑlɔ
boikgethelo	bɔikχʼɛtʰɛlɔ
boikgogomoso	bɔikχʼɔɣɔmɔsɔ
boikgogomosô	boikxoxomosô
boikhutso	bɔikʰutsʼɔ
boikokobetso	boikxokobɛtso
boikokobetso	bɔikʼɔkʼɔbɛtsʼɔ
boikuelo	bɔikʼuɛlɔ
boikutlo	bɔikʼutɬɔ
boikwadisiso	bɔikʼwɑdisisɔ
boineelo	bɔinɛɛlɔ
boineetso	bɔinɛɛtsʼɔ
boipatonio	bɔipʼɑtʼɔniɔ
boipelaetso	bɔipʼɛlɑɛtsʼɔ
boipelo	bɔipʼɛlɔ
boipolelo	bɔipʼɔlɛlɔ
boipuiso	bɔipʼuisɔ
boipuso	bɔipʼusɔ
boitshepo	boitsʰɛpo
boitshoko	bɔitsʰɔkʼɔ
boitsholo	bɔitsʰɔlɔ
boitshwarelo	boitsʰʷarɛlo
boitshwarelo	bɔitsʰwɑrɛlɔ
boitumelo	boitumelo
boitumelo	bɔitʼumɛlɔ
bojang	bɔʒɑŋ
botshelo	bɔtsʰɛlɔ
dijo	didʒo
dintwa	dintʼwɑ
diphaphatha	dipʰapʰatʰa
diphologolo	dipʰɔlɔɣɔlɔ
ditau	ditʼɑu
e	ɛ
fa	fɑ
gae	ɣɑɛ
go	ɣɔ
ke	kʼɛ
kgele	kχʼɛlɛ
kgomo	kxomo
kgomo	kχɔmɔ
kgoro	kχɔrɔ
kwa	kʼwɑ
la	lɑ
le	lɛ
leihlo	leihlo
lerato	lɛrɑtʼɔ
letsatsi	lɛtsatsi
letsatsi	lɛtsʼɑtsʼi
lo	lɔ
logong	lɔɣɔŋ
ma	mɑ
mariga	mariga
maungo	mɑuŋɔ
me	mɛ
metsi	mɛtsi
metsi	mɛtsʼi
mma	mːɑ
mme	mːɛ
mmino	mːinɔ
mo	mɔ
monate	mɔnɑtʼɛ
monna	mɔnːa
moriti	mɔritʼi
mosadi	mosadi
mosadi	mɔsɑdi
mosimane	mɔsimɑnɛ
motho	motʰo
motse	mɔtsʼɛ
nakò	nakò
nare	nɑrɛ
ne	nɛ
ngaka	ŋaka
ngaka	ŋɑkʼɑ
no	nɔ
noka	nɔkʼɑ
ntlo	ntɬo
o	ɔ
pula	pula
pula	pulɑ
rra	rːɑ
rre	rːɛ
se	sɛ
seatla	sɛatɬa
sefate	sefate
segokgo	sɛɣɔkχʼɔ
setlhogo	sɛtɬʰɔɣɔ
te	tʼɛ
thaba	tʰaba
thabo	tʰɑbɔ
thipa	tʰipʼɑ
thuto	tʰutʼɔ
tsela	tsʼɛlɑ
wa	wɑ
ya	jɑ
