අ	a
අකුර	akura
අගය	agaja
අටුව	aʈuʋa
අඬ	aᶯɖa
අත	atə
අතුරනවා	aturanaʋaː
අනුරාධපුර	anuraːdapura
අප්පා	appa
අඹ	aᵐba
අරනවා	aɾanaʋaː
අර්‍තාපල්	art̪aːpal
අවට	avaʈa
අවුරුද්‍ද	aʋurudda
අහනවා	ahən̪əʋaː
අළු	əɭu
ආ	aː
ආජන්ටිනාව	aːdʒan̪ʈin̪aːwa
ආදෙස	aːdesa
ඇ	æ
ඇදුරු	æduru
ඇඳ	æⁿda
ඈ	æː
ඉ	i
ඉඟුරු	iᵑguru
ඉඩම	iɖəmə
ඉඳිනවා	iⁿdinaʋaː
ඉරනවා	iranaʋaː
ඉස්සර	issara
ඊ	iː
ඊජිප්තුව	iːdʒipət̪uwə
උ	u
උකුණු	ukunu
උගන්නවා	ugannaʋaː
උණු	unu
උතුරනවා	uturanaʋaː
උතුරු	ut̪uru
උදුන	uduna
උඳුන	uⁿduna
උපන්	upan
උපුරනවා	upuranaʋaː
ඌ	uː
ඌව	uːʋa
ඍ	ri
ඍ	ru
ඎ	riː
ඎ	ruː
ඏ	li
ඐ	liː
එ	e
එකතු	ekatu
එක්වෙනවා	ekʋenaʋaː
එකානූව	ekaːnuːʋa
එදිරිය	ed̪irijə
ඒ	eː
ඔද	uda
ඔසවනවා	osaʋanaʋaː
කටුපිල	kaʈupila
කඩනවා	kəɖənəʋaː
කනිනවා	kaninaʋaː
කපනවා	kapanawaː
කපු	kapu
කඹුරා	kaᵐburaː
කරවළ	kərəwəɭə
කහිනවා	kahinaʋaː
කාර	kara
කැනඩාව	kæn̪əɖaːwə
කැඳනවා	kæⁿdanaʋaː
කිරනවා	kiranaʋaː
කුණ්ඩලිය	kunɖalija
කුඹුරුවෙල්	kuᵐbuɾuʋel
කුරුණෑගල	kurunæːgala
කුලි	kuli
කුළු	kuɭu
කෘෂ්ණ	krisɳa
කෙළිනවා	keɭinaʋaː
කොකුම්	kokum
කොටනවා	koʈənəʋaː
කොතඹුරු	kotaᵐburu
කොර	kora
කොළඹ	koɭaᵐba
කෝවිල	koːwilə
ඛ	ka
ග	g
ගඩුව	gaɖuʋa
ගණිනවා	ganinaʋaː
ගන්නවා	gannaniː
ගස	gasa
ගහනවා	gahanaʋaː
ගළපනවා	gaɭapanaʋaː
ග්‍රන්ථ	granta
ගාල්ල	gaːlla
ගිගුරනවා	giguranaʋaː
ගිගුරුම	giguruma
ගිතෙල්	gitel
ගුළිය	guɭija
ගූ	guː
ගූථ	guːt̪a
ගෙනෙනවා	genenaʋaː
ගොතනවා	gotanaʋaː
ගෝණිය	goːn̪ija
ඝ	gʱa
ඟ	ᵑg
ච	tʃa
චීනය	tʃiːn̪əjə
ඡ	tʃa
ජ	dʒa
ඣ	dʒa
ඤ	ɲa
ඥ	dʒɲa
ඦ	ndʒa
ට	ʈa
ටකනවා	ʈakənəwaː
ඨ	ʈa
ඩ	ɖa
ඪ	ɖa
ණ	ɳa
ඬ	ᶯɖa
ත	t̪a
තණ	tana
තඹර	taᵐbara
ත්‍රිකුණාමලය	trikunaːmalaja
තාච්චිය	taːtʃtʃija
තාත්තා	t̪aːt̪ət̪aː
තුර්කිය	t̪urkija
තුවක්කුව	t̪uwəkəkuwə
තුවරා	t̪uwəraː
ථ	t̪a
ද	d̪a
දකුණු	dakunu
දඩය	daɖaja
දඬු	daᶯɖu
දත	data
දමනවා	damanaʋaː
දවනවා	daʋanaʋaː
දවල	daʋələ
දැන්	dæn
දිග	diga
දිය	dijə
දිල්ලිය	dillija
දුනු	dunu
දුරු	diri
