a	a
á	aː
áá	aː
aaaaaaa	aːaːaːaː
aaaaaaaa	aːaːaːaː
aaaaaaaaaa	aːaːaːaːaː
aaaaaaaaaaa	aːaːaːaːaːaː
aaaaaaaaaaaaaaaaaaaaa	aːaːaːaːaːaːaːaːaːaː
aaf	ˈaːf
aah	ˈɑːɦ
aahhhh	ˈaːxː
aan	ˈaːn
aareju	ˈaːrɛju
a	ɑ
aba	ˈaba
ab	ˈab
abarom	ˈabarɔm
abaru	ˈabaru
abba	ˈaba
abbe	ˈabɛ
abbota	ˈabɔta
abbot	ˈabɔt
abbote	ˈabɔcɛ
abbotom	ˈabɔtɔm
abbotove	ˈabɔtɔvɛ
abbotta	ˈabɔta
abbott	ˈabɔt
abbottom	ˈabɔtɔm
abbottu	ˈabɔtu
abbs	ˈabs
abby	ˈabi
abbyin	ˈabin
abbyn	ˈabin
abbyno	ˈabinɔ
abbyta	ˈabita
abbyt	ˈabit
abbytom	ˈabitɔm
abc	ˈabts
abdi	ˈabɟi
abeceda	ˈabɛtsɛda
abed	ˈabɛd
abedom	ˈabɛdɔm
abeho	ˈabɛɦɔ
abend	ˈabɛnd
aberta	ˈabɛrta
abide	ˈabidɛ
abigor	ˈabigɔr
abiju	ˈabiju
aboli	ˈabɔli
abram	ˈabram
abre	ˈabrɛ
abro	ˈabrɔ
abrovec	ˈabrɔvɛts
abs	ˈabs
absencia	absɛntsia
absenciu	ˈabsɛntsiu
absent	ˈabsɛnt
absentovať	absɛntɔvac
abso	ˈabsɔ
absolem	ˈabsɔlɛm
absolut	ˈabsɔlut
absolútna	ˈabsɔluːtna
absolutná	ˈabsɔlutnaː
absolútne	ˈabsɔluːtɲɛ
absolutné	ˈabsɔlutnɛː
absolútno	ˈabsɔluːtnɔ
absolútnom	ˈabsɔluːtnɔm
absolútnu	ˈabsɔluːtnu
absolútny	ˈabsɔluːtni
absolutny	ˈabsɔlutni
absolútnych	ˈabsɔluːtnix
absolútnym	ˈabsɔluːtnim
absolútom	ˈabsɔluːtɔm
absolvent	ˈabsɔlvɛnt
absolventi	ˈabsɔlvɛnci
absolventka	ˈabsɔlvɛntka
absolventky	ˈabsɔlvɛntki
absolventom	ˈabsɔlvɛntɔm
absolventov	ˈabsɔlvɛntɔv
absolvovanie	ˈabsɔlɔvaɲiɛ
absolvovaniu	ˈabsɔlvɔvaɲiu
absolvovať	ˈabsɔlvɔvac
absorbovať	ˈabsɔrbɔvac
abstrakt	ˈabstrakt
abstraktí	ˈabstrakciː
abstraktný	ˈabstraktniː
absurd	ˈabsurd
absurdné	ˈabsurdnɛː
absurdne	ˈabsurdɲɛ
absurdnom	ˈabsurdnɔm
absurdnosti	ˈabsurdnɔsci
absurdnou	ˈabsurdnɔu
absurdný	ˈabsurdniː
absurdných	ˈabsurdniːx
absurdným	ˈabsurdniːm
absurtné	ˈabsurtnɛː
abt	ˈabt
abú	ˈabuː
abuho	ˈabuɦɔ
abuji	ˈabuji
abulom	ˈabulɔm
aby	ˈabi
abych	ˈabix
abychom	ˈabixɔm
abys	ˈabis
abysi	ˈabisi
acar	ˈatsar
ac	ˈats
accent	ˈatsɛnt
accento	ˈatsɛntɔ
accomando	ˈatsɔmandɔ
acerta	ˈatsɛrta
ach	ˈaxh
acheron	ˈaxɛrɔn
achh	ˈaxh
achhh	ˈaxːh
achilov	ˈaxilɔv
achtung	ˈaxtung
acid	ˈatsid
acidom	ˈatsidɔm
acidovej	ˈatsidɔvɛj
ačiek	ˈatʃiɛk
áčka	ˈaːtʃka
ačka	ˈatʃka
ackles	ˈatsklɛs
áčko	ˈaːtʃkɔ
ackou	ˈatskɔu
ačku	ˈatʃku
acm	ˈatsm
áčok	ˈaːtʃɔk
acorda	ˈatsɔrda
acorn	ˈatsɔrn
acornu	ˈatsɔrnu
acov	ˈatsɔv
acres	ˈatsrɛs
acrov	ˈatsrɔv
acta	ˈatsta
act	ˈatst
actor	ˈatstɔr
acts	ˈatst
adajte	ˈadajcɛ
adam	adam
adamom	ˈadamɔm
adap	ˈadap
adaptácia	adaptaːtsia
adar	ˈadar
adarom	ˈadarɔm
adat	ˈadat
addendum	ˈadɛndum
addera	ˈadɛra
adder	ˈadɛr
addis	ˈadis
addison	ˈadisɔn
addisonom	ˈadisɔnɔm
addresa	ˈadrɛsa
address	ˈadrɛs
adds	ˈads
adekvátne	ˈadɛkvaːtnɛ
adekvátne	ˈadɛkvaːtɲɛ
adekvátny	ˈadɛkvaːtni
adena	ˈadɛna
adenozín	ˈadɛnɔziːn
adenský	ˈadɛnskiː
adept	ˈadɛpt
adeptku	ˈadɛptku
adeptom	ˈadɛptɔm
adeptov	ˈadɛptɔv
adg	ˈadg
adiós	ˈadiɔːs
adlerovej	ˈadlɛrɔvɛj
admer	ˈadmɛr
administratíva	ˈadministratiːva
administratívny	ˈadministratiːvni
admir	ˈadmir
admirál	ˈadmiraːɫ
ado	ˈɑdɔ
adopcia	ˈadɔptsia
adopciám	ˈadɔptsiaːm
adopcie	ˈadɔptsiɛ
adopciu	ˈadɔptsiu
adopčnom	ˈadɔptʃnɔm
adoptoval	ˈadɔptɔval
adoptovať	ˈadɔptɔvac
adore	ˈadɔrɛ
adorn	ˈadɔrn
adoro	ˈadɔrɔ
adpotívni	ˈadpɔtiːvni
adresa	ˈadrɛsa
adresách	ˈadrɛsɑːx
adresára	ˈadrɛsɑːra
adresár	ˈadrɛsɑːr
adresát	ˈadrɛsɑːt
adresi	ˈadrɛsi
adresnejšie	ˈadrɛsɲɛjʃiɛ
adresnosť	ˈadrɛsnɔsc
adresou	ˈadrɛsɔu
adresoval	ˈadrɛsɔval
adresovaná	ˈadrɛsɔvanaː
adresovaného	ˈadrɛsɔvanɛːhɔ
adresovanom	ˈadrɛsɔvanɔm
adresovanú	ˈadrɛsɔvanuː
adresovaný	ˈadrɛsɔvaniː
adresovať	ˈadrɛsɔvac
adresu	ˈadrɛsu
adresy	ˈadrɛsi
adria	ˈadria
adrian	ˈadrian
adrianom	ˈadrianɔm
adrianou	ˈadrianɔu
adrien	ˈadriɛn
adrienou	ˈadriɛnɔu
adries	ˈadriɛs
adult	ˈadult
adut	ˈadut
advent	ˈadvɛnt
advokát	ˈadvɔkɑːt
advokátovi	ˈadvɔkɑːtɔvi
ae	ˈɑɛ
aero	ˈaɛrɔ
aerobic	ˈaɛrɔbits
aerobik	ˈaɛrɔbik
aerobikom	ˈaɛrɔbikɔm
aerobiku	ˈaɛrɔbiku
aerolínia	ˈaɛrɔliːnia
aerolinku	ˈaɛrɔlinku
aerolinky	ˈaɛrɔlinki
aeryn	ˈaɛrin
ä	ɛ
afektu	ˈafɛktu
aféra	ˈafɛːra
aférach	ˈafɛːrax
afér	ˈafɛːr
aférkou	ˈafɛːrkɔu
aferu	ˈafɛru
afford	ˈafɔrd
afganistan	ˈafganistan
afis	ˈafis
afom	ˈafɔm
afredo	ˈafrɛdɔ
african	ˈafritsan
afričan	ˈafritʃan
africkej	ˈafritskɛj
africkému	ˈafritskɛːmu
africkí	ˈafritskiː
africkom	ˈafritskɔm
africkou	ˈafritskɔu
africky	ˈafritski
africký	ˈafritskiː
africou	ˈafritsɔu
africu	ˈafritsu
afrika	ˈafrika
afrík	ˈafriːk
afrike	ˈafrikɛ
afrikou	ˈafrikɔu
afro	ˈafrɔ
afrodite	ˈafrɔdicɛ
aftab	ˈaftab
after	ˈaftɛr
aga	ˈaga
agam	ˈagam
agen	ˈagɛn
agency	ˈagɛntsi
agenda	ˈagɛnda
agendou	ˈagɛndɔu
agendy	ˈagɛndi
agenta	ˈagɛnta
agent	ˈagɛnt
agenti	ˈagɛnci
agentka	ˈagɛntka
agentkou	ˈagɛntkɔu
agentoch	ˈagɛntɔx
agentom	ˈagɛntɔm
agentou	ˈagɛntɔu
agentov	ˈagɛntɔv
agents	ˈagɛnts
agentským	ˈagɛntskiːm
agentúra	agɛntuːra
agentura	ˈagɛntura
agentúr	ˈagɛntuːr
agentúro	ˈagɛntuːrɔ
agentúrou	ˈagɛntuːrɔu
agentúry	ˈagɛntuːri
agenty	ˈagɛnti
ages	ˈagɛs
agi	ˈagi
agitovať	ˈagitɔvac
agitujem	ˈagitujɛm
agitujú	ˈagitujuː
aglicka	ˈaglitska
aglická	ˈaglitskaː
aglického	ˈaglitskɛːhɔ
aglickú	ˈaglitskuː
agnos	ˈagnɔs
ago	ˈagɔ
agon	ˈagɔn
agonicky	ˈagɔnitski
agonovi	ˈagɔnɔvi
agora	ˈagɔra
agra	ˈagra
agrárny	ˈagraːrni
agresia	ˈagrɛsia
agresiou	ˈagrɛsiɔu
agresivita	ˈagrɛsivita
agresivní	ˈagrɛsivniː
agresívnu	ˈagrɛsiːvnu
agresívny	ˈagrɛsiːvni
agresivny	ˈagrɛsivni
agresívnych	ˈagrɛsiːvnix
agresívnym	ˈagrɛsiːvnim
agresor	ˈagrɛsɔr
agressívny	ˈagrɛsiːvni
agri	ˈagri
agrin	ˈagrin
agron	ˈagrɔn
ags	ˈags
ahá	ˈaɦaː
aha	ˈɑɦa
ahab	ˈaɦab
ahačkou	ˈaɦatʃkɔu
aham	ˈaɦam
aháš	ˈaɦaːʃ
ah	ˈɑɦ
ahem	ˈaɦɛm
ahh	ˈaɦ
ahhs	ˈaɦs
ahl	ˈaɦɫ
ahm	ˈaɦm
ahmedom	ˈaɦmɛdɔm
ahmedov	ˈaɦmɛdɔv
ahmet	ˈaɦmɛt
ahna	ˈaɦna
ahn	ˈaɦn
ahnem	ˈaɦɲɛm
ahnú	ˈaɦnuː
ahnút	ˈaɦnuːt
aho	ˈaɦɔ
ahój	ˈaɦɔːj
ahoj	ˈaɦɔj
ahojj	ˈaɦɔj
