a	a
a	ɑ
a	ˈa
aaaaaaa	aaaaaaa
aaaaaaaa	aaaaaaaa
aaaaaaaaaa	aaaaaaaaaa
aaaaaaaaaaa	aaaaaaaaaaa
aaaaaaaaaaaaaaaaaaaaa	aaaaaaaaaaaaaaaaaaaaa
aaf	aːf
aah	ɑːɦ
aahhhh	aaxɦɦɦ
aan	aːn
aareju	aːrɛju
ab	ab
aba	aba
abakteriálny	abæktɛljaːlni
abarom	abarɔm
abaru	abaru
abba	aba
abbe	abɛ
abbot	abɔt
abbota	abɔta
abbote	abɔcɛ
abbotom	abɔtɔm
abbotove	abɔtɔvɛ
abbott	abbɔtt
abbotta	abbɔtta
abbottom	abbɔttɔm
abbottu	abbɔttu
abbs	abs
abby	abi
abbyin	abbiin
abbyn	abin
abbyno	abinɔ
abbyt	abit
abbyta	abita
abbytom	abitɔm
abc	abts
abdi	abɟi
abeceda	abatida
abeceda	abɛtsɛda
abecedný	abɛtsɛdni
abed	abɛd
abedom	abɛdɔm
abeho	abɛɦɔ
abend	abɛnd
aberta	abɛrta
abide	abidɛ
abigor	abigɔr
abiju	abiju
abnormalita	abanoɾmalita
aboli	abɔli
abonentský	abonɛntskɛ
aborigéni	abarigeni
abovský	abovski
abram	abram
abre	abrɛ
abreviatúra	abreviatura
abro	abrɔ
abrovec	abrɔvɛts
abs	abs
absencia	absɛntsia
absencia	absɛnɕia
absenciu	absɛntsiu
absent	absɛnt
absentovať	absɛntɔvac
abso	absɔ
absolem	absɔlɛm
absolut	absɔlut
absolutistický	abzolutistitskiː
absolutny	absɔlutni
absolutná	absɔlutnaː
absolutné	absɔlutnɛː
absolvent	absɔlvɛnt
absolvent	apzɔlvɛnt
absolventi	absɔlvɛnci
absolventka	absɔlvɛntka
absolventka	apsɔvɛntka
absolventky	absɔlvɛntki
absolventom	absɔlvɛntɔm
absolventov	absɔlvɛntɔv
absolvoval	absɔlvɔval
absolvovanie	absɔlɔvaɲiɛ
absolvovaniu	absɔlvɔvaɲiu
absolvovať	absɔlvɔvac
absolútna	absɔluːtna
