á	a
á	a
à	a
à	á
à	á
ă	a
ă	a
ȧ	ă
ȁ	á
á	aː
á	áː
á	àː
à	áː
à	àː
ă	aː
ă	aː
ā	áː
ā	àː
ȃ	áː
ä	ɐ
ä	ɐ
abak	áːbak
abstrakcija	apstràːktsija
abstraktno	apstráːktnɔ
absurden	apsúːrdən
absurdnejši	apsúːrdnɛjʃi
aceton	atsɛtóːn
adaptacija	adaptàːtsija
adijo	adíːjɔ
adjektiven	adjɛktíːʋən
adut	adúːt
ä	éː
ä	éː
ä	èː
ä	èː
aerodinamika	áːɛrɔdinàːmika
aerodinamika	aɛ́ːrɔdinàːmika
aerolit	aɛrɔlíːt
ä	ɛ́ː
ä	ɛ́ː
ä	ɛ̀ː
ä	ɛ̀ː
ă	ɤ
ă	ɤ
afganistan	aʋɡáːnistan
afna	àːfna
afrika	áːfrika
aglomeracija	aɡlɔmɛràːtsija
agrumi	aɡrúːmi
ahil	axíːl
ahoj	axóːj
ajd	àːjt
ajd	ájt
ajnštajnij	áːjnʃtajnij
aksiom	aksijóːm
aktinij	aktìːnij
aktualizacija	aktualizàːtsija
aktualizirati	aktualizíːrati
akuzativ	áːkuzatiʋ
akvarij	akʋàːrij
albanec	albáːnəts
albanija	albàːnija
albanka	albáːnka
albanščina	albáːnʃtʃina
albanski	albáːnski
albansko	albáːnskɔ
aleksander	alɛksàːndər
ali	áːli
ali	ali
ali	áli
aligator	aliɡáːtɔr
aljaska	aljáːska
alkohol	alkɔxóːl
alpaka	alpáːka
aluminij	alumìːnij
alžirija	alʒíːrija
aman	áːman
amarant	amaráːnt
amarant	amaràːnt
ambasador	ambasáːdɔr
ambrozija	ambròːzija
americij	amɛrìːtsij
amerika	amɛ́ːrika
ameriški	amɛ́ːriʃki
amfiteater	amfitɛàːtər
ampak	ámpak
amper	ampɛ́ːr
amputirati	amputíːrati
amulet	amuléːt
ana	àːna
anakonda	anakóːnda
analen	anáːlən
analogija	analɔɡíːja
ananas	áːnanas
anarhist	anarxíːst
anarhizem	anarxìːzəm
anatomija	anatɔmíːja
andaluzija	andalùːzija
andora	andóːra
andreaš	andrɛàːʃ
andrej	andrɛ̀ːj
angel	àːnɡɛl
angleščina	anɡléːʃtʃina
angleški	anɡléːʃki
angleško	anɡléːʃkɔ
anglež	anɡléːʃ
angležinja	anɡléːʒinja
anglija	áːnɡlija
anomalija	anɔmalíːja
antarktika	antàːrktika
antilopa	antilóːpa
antimon	antimóːn
anton	antóːn
antonim	antɔníːm
apartma	apartmáː
apnenec	apnéːnəts
apnenec	apnèːnəts
apokalipsa	apɔkalíːpsa
apostrof	apɔstróːf
april	apríːl
arabski	aráːpski
aragonit	araɡɔníːt
arašid	araʃíːt
argon	áːrɡɔn
argon	arɡóːn
arh	áːrx
arhangel	arxàːnɡɛl
arhitektura	arxitɛktúːra
arhivar	arxiʋàːr
aristokracija	aristɔkratsíːja
aristotel	aristóːtɛl
armada	armáːda
armenija	armèːnija
artefakt	artɛfáːkt
