'z	z
abak	a˥˩ːbak
abramovič	abraˈomɔvitʃ
absolutist	apsolutˈist
absolvent	apsɔlvˈɛnt
abstinenca	abstinintsa
abstrakcija	apstra˩˥ːktsija
abstrakten	abstrˈaktən
absurden	abzurdɛn
absurden	apsu˥˩ːrdən
aceton	atsɛto˥˩ːn
adaptacija	adapta˩˥ːtsija
adijo	adi˥˩ːjɔ
adiža	atjˈʒa
adjektiven	adjɛkti˥˩ːʋən
admiral	admiraɫ
adresirati	adresiɾati
adrian	adriːan
adut	adu˥˩ːt
aerodinamika	aɛ́ːrɔdina˩˥ːmika
aerolit	aɛrɔli˥˩ːt
afektirano	afɛkˈtɪrˈanɔ
afganistan	aʋga˥˩ːnistan
afirmacija	afirmatsia
afna	a˩˥ːfna
afrika	a˥˩ːfrika
afriki	ɑfriki
agencija	agɛntsja
aglomeracija	aglɔmɛra˩˥ːtsija
agraren	agraran
agrumi	agru˥˩ːmi
ahil	axi˥˩ːl
ahoj	axo˥˩ːj
ajd	a˥˩jt
ajnštajnij	a˥˩ːjnʃtajnij
akademija	akademia
akademik	akademik
akcija	aktsia
akord	akɔrt
akreditiv	akreditiʊ
aksiom	aksijo˥˩ːm
aktinij	akti˩˥ːnij
aktualizacija	aktualiza˩˥ːtsija
aktualizirati	aktualizi˥˩ːrati
akustičen	ɑkustitʃɛn
akuten	akutan
akuzativ	a˥˩ːkuzatiʋ
akvarij	akʋa˩˥ːrij
alah	alaj
alarm	alaːrm
albanec	alba˥˩ːnəts
albanija	alba˩˥ːnija
albanka	alba˥˩ːnka
albanski	alba˥˩ːnski
albansko	alba˥˩ːnskɔ
albanščina	alba˥˩ːnʃtʃina
alegorija	alɛgɔria
aleja	alea
aleksander	alɛksa˩˥ːndər
ali	ale
ali	ali
ali	a˥˩li
ali	a˥˩ːli
aliansa	aljˈanˈsˈa
aligator	aliga˥˩ːtɔr
alimenti	alimente
aljaska	alja˥˩ːska
aljaska	alʲjaska
alkohol	alkɔxo˥˩ːl
alpaka	alpa˥˩ːka
alpe	ɑːlpe
alpski	albzki
alpínec	alpinɛts
altruizem	altruism
aluminij	alumini
aluminij	alumi˩˥ːnij
alžirija	alʒi˥˩ːrija
aman	a˥˩ːman
amarant	amara˩˥ːnt
ambasador	ambasa˥˩ːdɔr
ambrozija	ambro˩˥ːzija
ameba	ameba
americij	ameritsi
americij	amɛri˩˥ːtsij
amerika	amerika
amerika	amɛ́ːrika
ameriko	ameriko
američani	ameritʃaɲi
američanka	ameriˈtʃanˈkɑ
ameriške	amɛriʃka
ameriški	amɛ́ːriʃki
ameriško	amɛriʃkɔ
ametist	ametist
amfiteater	amfitɛa˩˥ːtər
ampak	a˥˩mpak
amper	ampɛ́ːr
amputirati	amputi˥˩ːrati
amulet	amule˥˩ːt
ana	a˩˥ːna
anakonda	anako˥˩ːnda
analen	ana˥˩ːlən
analogija	analɔgi˥˩ːja
ananas	a˥˩ːnanas
anarhist	anarxi˥˩ːst
anarhizem	anarxi˩˥ːzəm
anatomija	anatɔmi˥˩ːja
andaluzija	andalu˩˥ːzija
andezit	andezit
andora	ando˥˩ːra
andreaš	andrɛa˩˥ːʃ
andrej	andrɛ̀ːj
andrej	ændrej
aneja	aneje
angleški	angle˥˩ːʃki
angleško	angle˥˩ːʃkɔ
angleščina	angle˥˩ːʃtʃina
anglež	angle˥˩ːʃ
anglež	anglʲeʃ
angležinja	angle˥˩ːʒinja
anglija	a˥˩ːnglija
animírati	animirati
anion	anion
anita	anitˈa
anja	ania
anomalija	anɔmali˥˩ːja
antarktika	anta˩˥ːrktika
antibiotik	antibiootik
antilopa	antilopˈa
antilopa	antilo˥˩ːpa
antimaterija	antimateria
antimon	antimon
antimon	antimo˥˩ːn
anton	anto˥˩ːn
antonim	antɔni˥˩ːm
apartma	apartma˥˩ː
apartmaji	apartmaj
aplavz	aplau̯s
apnenec	apne˥˩ːnəts
apnenec	apne˩˥ːnəts
