a	a
aaron	aˈaɾon
aarónica	ˌaaɾˈonika
aarónicas	aaɾnjkas
aarónicas	ˌaaɾˈonikas
aarónico	aɾoniko
aarónico	ˌaaɾˈoniko
aarónicos	aaɾoŋjkʊs
aarónicos	ˌaaɾˈonikos
ab	ˈaβ
aba	ˈaβa
ababa	aβˈaβa
ababais	aβˈaβaɪs
ababan	aβˈaβan
ababas	aβˈaβas
ababilla	ˌaβaβˈiʎa
ababillaba	ˌaβaβiʎˈaβa
ababillabais	ˌaβaβiʎˈaβaɪs
ababillaban	ˌaβaβiʎˈaβan
ababillabas	ˌaβaβiʎˈaβas
ababillad	ˌaβaβiʎˈað
ababillada	ˌaβaβiʎˈaða
ababilladas	ˌaβaβiʎˈaðas
ababillado	ˌaβaβiʎˈaðo
ababillados	ˌaβaβiʎˈaðos
ababillamos	ˌaβaβiʎˈamos
ababillan	ˌaβaβˈiʎan
ababillando	ˌaβaβiʎˈando
ababillar	ˌaβaβiʎˈaɾ
ababillara	ˌaβaβiʎˈaɾa
ababillarais	ˌaβaβiʎˈaɾaɪs
ababillaran	ˌaβaβiʎˈaɾan
ababillaras	ˌaβaβiʎˈaɾas
ababillare	ˌaβaβiʎˈaɾe
ababillareis	ˌaβaβiʎˈaɾeɪs
ababillaremos	ˌaβaβˌiʎaɾˈemos
ababillaren	ˌaβaβiʎˈaɾen
ababillares	ˌaβaβiʎˈaɾes
ababillarme	ˌaβaβiʎˈaɾme
ababillarnos	ˌaβaβiʎˈaɾnos
ababillaron	ˌaβaβiʎˈaɾon
ababillaros	ˌaβaβiʎˈaɾos
ababillarse	ˌaβaβiʎˈaɾse
ababillarte	ˌaβaβiʎˈaɾte
ababillará	ˌaβaβˌiʎaɾˈa
ababillarán	ˌaβaβˌiʎaɾˈan
ababillarás	ˌaβaβˌiʎaɾˈas
ababillaré	ˌaβaβˌiʎaɾˈe
ababillaréis	ˌaβaβˌiʎaɾˈeis
ababillaría	ˌaβaβˌiʎaɾˈia
ababillaríais	ˌaβaβˌiʎaɾˈiaɪs
ababillaríamos	ˌaβaβˌiʎaɾˈiamos
ababillarían	ˌaβaβˌiʎaɾˈian
ababillarías	ˌaβaβˌiʎaɾˈias
ababillas	ˌaβaβˈiʎas
ababillase	ˌaβaβiʎˈase
ababillaseis	ˌaβaβiʎˈaseɪs
ababillasen	ˌaβaβiʎˈasen
ababillases	ˌaβaβiʎˈases
