-åringar	oːrɪŋaːr
7	ð̞e
9	neio
a	ˈɑː
a-kassa	ˈɑːkˈasa
a-laget	ˈɑːlˈɑːgət
ab	ɑːb
ab	ˈoəbˈi
abbedissa	ˈabədˌɪsa
abc-stridsmedel	ˈabkstrˈɪdsmeːdˌɛl
abderitisk	abdˈɛrɪtisk
abdikera	ˈabdiːkərˌa
abdikerar	apd̥iːkərar
abdikerar	ˈabdiːkərˌar
abdomen	abduːmn
aber	ˈɑːbər
abf	ˈabf
abild	ˈɔbˈɪld
abiturienter	abjtˈʉriːˈɛntər
ablativform	aːmˈlˈatiːvfˈɔrm
abnorm	abnɔrm
abnorm	abnˈɔrm
abnormitet	abnˈɔrmətˈeːt
abonnera	ˈabʊnˌeːra
abonnerar	ˈabʊnˌeːrar
abort	abˈoːrt
abort	ˈabɔt
aborter	abˈorˈtər
abortklinik	abˈuːrtklˈiːniːk
abortlagstiftningen	avˈɔrtˈlˈagˈstˈɪfˈtnˌɪŋən
aborträtten	abˈɔrtrˈɛtən
abortrådgivning	ˌabɔtrˈoːdjɪvnˌɪŋ
abradera	abradɪra
abraham	abraːhˈam
abrahams	abraːhans
abrahamsson	abraːhˈamsˈɔn
abrakadabra	ˈabrakˌadabrˌa
abrupt	abrʉpt
abrupt	ˈabrɵpt
abs-broms	abˀsbˈrɔms
absalom	aːbˈsəlɔm
absalon	abˈsaluˌn
absid	abˈsidˈ
absint	absiːn
absolut	ˈabsuːlˌʉt
absolutist	ˈabsuːlˌʉtɪst
absolutiv	abˈsɔltˈiːv
absolutvikt	ˈɑːbsɔlˌʉtvˈɪkt
absorbera	absˈɔrbərˌa
absorberar	absˈɔrbərˌar
abstinens	abstˈiːnəns
abstrahera	ˈabstrahərˌa
abstraherar	ˈabstrahərˌar
abstrakt	ˈabstrakt
abstrakt	ˈabstrˌakt
abstrakta	abstrˈakta
abstraktion	ˌabstraksxˈuːn
absurd	ˈabsɵrd
absurditet	abˈsɔrˈdɪtˈeːt
accelererar	ˈaksələrˌeːrar
accent	ˈaksənt
acceptabel	ˈaksəptˌabəl
acceptera	ˈaksəptˌeːra
accepterande	ˈaksəptˌeːrandə
accepterar	ˈaksəptˌeːrar
aciditet	asˈiːdˈiːtˈət
ack	akː
ack	ˈak
ackja	akja
ackompanjera	ˈakːɔmpˌanjərˌa
ackompanjerar	ˈakːɔmpˌanjərˌar
ackreditera	ˈakrədˌiːteːrˌa
ackrediterar	ˈakrədˌiːteːrˌar
ackumulerar	ˈakːʉmˌʉleːrˌar
ackumulerat	akːɵmɵlˈeːrat
ackurat	akːʏrˈat
ackuratess	ˈakːʉrˌɑːtəs
ad	ˈɑːd
ada	aːda
adam	ɒodam
adams-ray	ˈɑːdamsrˈɑːyː
adamsdräkt	adˈamstrəkt
adamsäpple	ˈɑːdamsˌɛplə
adaptera	adaptiːera
adapterade	adˌɛptəradə
adapterat	ˈɑdɑːptˌeːrat
adaptern	adaptən
adb	ˈadb
adderar	ˈadeːrˌar
adderat	adːeːrˈat
adekvat	adˈeːtkvˈɑːt
adekvat	ˈadəkvˌat
adel	adʒoːl
adel	ˈadəl
adelgunde	aːdɛlgˈɵndə
adelsdam	adəlˈstˈam
adelsfru	ˈɔdəlsfrˈʉ
adelskap	ˈɑdəlːskˈɑːp
adelsnäs	ˈɔdəlsnˈɛs
adelssläkt	ˈɔdəlsslˈɛkt
adept	ˈadəpt
aderton	ˈadətˌuːn
adjektiv	ˈadjəktˌiːv
adjungera	ajˈɵŋeːrˌa
adjunkt	ajˈʉŋkt
adjuvant	adjʊvˈant
adjö	ˈadjøː
adla	ˈadla
adlar	ˈadlar
adlig	ɑːdˈlɛg
admete	atˈmətˈɛ
administration	ˌadmiːnˌɪstrasxˈuːn
administrativ	ˈadmiːnˌɪstratˌiːv
administrerar	admˌɪnistrˈeːrar
adoptera	ˈɑːdɔptˌeːra
adopterar	ˈɑːdɔptˌeːrar
adopterat	adɔpˈteːrat
adoption	ˌɑːdɔpsxˈuːn
adoptivbarn	adˌɔptˈiːvbˈɑːrn
adoptivbarn	ˈɑːdɔptˌɪvbɑːrn
adoptivförälder	ˈɑːdɔptˌɪvføːrˌɛldər
adrenalin	ˈadrənˌalɪn
adrenalinframkallande	adrˌɛnˈalˈɪnfrˈamkˌɑːlanˌdə
adrenalinproduktion	ˌadrənˌalɪnprɔdɵksxˈuːn
adress	ˈadrəs
adressanmälan	adːrˈɛsˈanmˈɛlˈan
adressat	adrəsat
adressat	ˈadrəsˌat
adressaten	ˈadrəsˌatən
adressatens	ˈadrəsˌatəns
adressbok	adrˈɛsbˈuːk
adressen	ˈadrəsən
adresser	abrˈɛsər
adressera	ˈadrəsˌeːra
adresserade	adrˈɛsseːrˌadˈe
adresserade	ˈadrəsˌeːradə
adresserar	adrəsərar
adresserar	ˈadrəsˌeːrar
adresserat	adrˈɛsˈeːrat
adresskort	ˈadrəskˌɔt
adresskortet	ˈadrəskˌɔtət
adresslapp	adrˈɛsslapp
adressort	ˌadrəsˈɔt
adressorten	ˌadrəsˈɔtən
adressortens	ˌadrəsˈɔtəns
adressorter	ˌadrəsˈɔtər
adresspostanstalt	ˈadrəspˌɔstanstˌɑːlt
adrian	aadriːan
advent	advent
advent	ˈadvənt
adventist	advˈɛntɪst
adventskrans	advˈɛntskrˈans
adventstid	ad˩vˈɛntstˈiːd
adverb	ˈadvərb
adverbial	ˈadvərbˌiːal
advokat	ˈadvuːkˌat
advokatarvode	advˈɔkɑːtarvˈuːdə
advokatbyrå	ˈadvuːkˌatbyːrˌoː
aero-	ˈɑːərˌuː
aerodynamisk	ˈɑːərˌuːdyːnˌamɪsk
aerogram	ˈɑːərˌɔgram
af	ˈɑːf
afasi	ˈɑːfasˌiː
affekt	ˈafəkt
affekterad	ˈafəktˌeːrad
affektionsvärde	ˌafəksxˈʊnsvɛːrdə
affisch	ˈafɪʃ
affischera	ˈafɪʃərˌa
affischerar	ˈafɪʃərˌar
affär	affær
affär	afˈɛːr
affärer	afˈɛːrər
affärsföretag	afˈfərsfˈøːrətˌɑːg
affärskommunikation	affɛrsxˈuːmˈʉnˈiːkasxˈuːn
affärsman	afˈɛːʂman
affärsmässig	afˈfərsməsˌɪg
afp	ˈɔfp
afrika	afriːka
afrika	ˈafriːka
afrikan	ˈafriːkˌan
afrikanisera	afriːkanɪsərˈa
afrikansk	ˌafriːkˈɑːnsk
afrikanska	afriːkˈɑːnskˈɑ
afrikanska	ˌafriːkˈɑːnska
afrikanskt	afriːkˌɑːnskt
afrofrisyr	ˈafrɔfrˌiːsyːr
afton	afˈtɔn
afton	ˈaftuːn
aftonbladet	ˈaftɔnblˌɑːdət
aftondräkt	afˈtˈɔndˈiːrəkt
aftonklänning	aftɔnklˈəmniːŋ
aftonrodnad	aftɔnrɔdnaˈd
