'day	daɪ̯
'di	diʔ
'di	dɛʔ
'eka	ʔɛxaʔ
'eka	ʔɛxɐʔ
'ika	ʔixɐʔ
'ika	ʔɪxaʔ
'ka	kaʔ
'ng	ŋ
'no	no
't	t
'tsaka	tsɐxaʔ
'y	ɪ̯
'yan	jan
'yo	jo
abad	ʔɐbad
abadiano	ʔɐbɐdʒano
abadilla	ʔɐbɐdiljɐ
abalos	ʔabɐlos
abarca	ʔɐbaɾkɐ
abaya	ʔɐbajɐ
abby	ʔabɪ
abdurahman	ʔɐbdʊɾɐman
abe	ʔabɛ
abejuela	ʔɐbɛhwɛlɐ
abelgas	ʔɐbɛlɡas
abella	ʔɐbɛljɐ
abellano	ʔɐbɛljano
abellera	ʔɐbɛljɛɾɐ
abenojar	ʔɐbɛnohaɾ
abesamis	ʔɐbɛsamɪs
abigail	ʔabɪɣɛɪ̯l
abing	ʔabɪŋ
abisinya	ʔɐbɪsiɲɐ
abisinyo	ʔɐbɪsiɲo
ablog	ʔɐbloɡ
abra	ʔabɾɐ
abrazado	ʔɐbɾɐsado
abrazado	ʔɐbɾɐzado
abrenica	ʔɐbɾɛnɪxɐ
abril	ʔɐbɾil
abucay	ʔɐbuxaɪ̯
abueg	ʔɐbwɛɡ
abuel	ʔɐbwɛl
abulencia	ʔɐbʊlɛnʃɐ
academia	ʔɐxɐdɛmjɐ
acierto	ʔɐʃɛɾto
aclan	ʔɐklan
acopiado	ʔɐxopjado
acorda	ʔɐxoɾdɐ
acosta	ʔɐxostɐ
acuzar	ʔɐxʊsaɾ
acuzar	ʔɐxʊzaɾ
acuña	ʔɐxuɲɐ
adajar	ʔɐdɐhaɾ
adan	ʔɐdan
adbentista	ʔɐdbɛntistɐ
adbiyento	ʔɐdbjɛnto
adlawan	ʔɐdlawɐn
adornado	ʔɐdoɾnado
adrias	ʔɐdɾiɐs
advincula	ʔɐdbiŋkʊlɐ
advincula	ʔɐdviŋkʊlɐ
agapay	ʔɐɣapaɪ̯
agaton	ʔɐɣɐton
agbayani	ʔɐɡbɐjanɪ
agbon	ʔɐɡbon
agbuya	ʔɐɡbujɐ
agcaoili	ʔɐɡkɐwilɪ
agdangan	ʔɐɡdaŋɐn
aglipay	ʔɐɡlipaɪ̯
agnes	ʔaɡnɛs
agojo	ʔɐɣohoʔ
agosto	ʔɐɣosto
agpangan	ʔɐɡpaŋɐn
agregado	ʔɐɡɾɛɣado
agta	ʔɐɡta
aguado	ʔɐɡwado
aguas	ʔaɡwɐs
aguda	ʔɐɣudɐ
aguho	ʔɐɣuhoʔ
aguila	ʔaɣɪlɐ
aguilar	ʔɐɣɪlaɾ
aguilera	ʔɐɣɪlɛɾɐ
aguinaldo	ʔɐɣɪnaldo
aguirre	ʔɐɣiɾɛ
agujo	ʔɐɣuhoʔ
agusan	ʔɐɣusɐn
agustin	ʔɐɣʊstin
agustino	ʔɐɣʊstino
ahiya	ʔahɪɐ
akiko	ʔɐxixo
aklan	ʔɐklan
akwaryo	ʔɐkwaɾjo
ala	ʔɐla
ala	ʔəla
alabama	ʔɐlɐbamɐ
alabang	ʔɐlɐbaŋ
alabat	ʔɐlɐbat
alakdan	ʔɐlɐkdan
alaminos	ʔɐlɐminos
alangilan	ʔɐlɐŋilɐn
alarcon	ʔɐlɐɾkon
alaska	ʔɐlaskɐ
alba	ʔalbɐ
albano	ʔɐlbano
albanya	ʔɐlbaɲɐ
albay	ʔɐlbaɪ̯
alberto	ʔɐlbɛɾto
alcaide	ʔɐlkaɪ̯dɛ
alcala	ʔɐlkɐla
alcantara	ʔɐlkantɐɾɐ
aldana	ʔɐldanɐ
aldover	ʔɐldobɛɾ
aldover	ʔɐldovɛɾ
aldovino	ʔɐldobino
aldovino	ʔɐldovino
alegado	ʔɐlɛɣado
alegre	ʔɐlɛɡɾɛ
alejandrino	ʔɐlɛhɐndɾino
alejandro	ʔɐlɛhandɾo
aleman	ʔɐlɛman
alemanya	ʔɐlɛmaɲɐ
alfaro	ʔɐlfaɾo
alfaro	ʔɐlpaɾo
alfeche	ʔɐlfɛtʃɛ
alfeche	ʔɐlpɛtʃɛ
aliaga	ʔɐljaɣɐ
alicante	ʔɐlɪxantɛ
alice	ʔalɪs
aliga	ʔɐliɣɐ
alimango	ʔɐlɪmaŋo
aling	ʔalɪŋ
alingaro	ʔɐlɪŋaɾo
allan	ʔalɐn
allison	ʔalɪson
alma	ʔalmɐ
almaden	ʔɐlmɐdɛn
almarez	ʔɐlmɐɾɛs
almario	ʔɐlmaɾjo
almazan	ʔɐlmɐsan
almazan	ʔɐlmɐzan
almeda	ʔɐlmɛdɐ
almendrala	ʔɐlmɛndɾalɐ
alolod	ʔɐlolod
alonte	ʔɐlontɛ
alonto	ʔɐlonto
alvarado	ʔɐlbɐɾado
alvarado	ʔɐlvɐɾado
alvarez	ʔalbɐɾɛs
alvarez	ʔalvɐɾɛs
alvaro	ʔalbɐɾo
alvaro	ʔalvɐɾo
alviar	ʔɐlbjaɾ
alviar	ʔɐlvjaɾ
alzaga	ʔɐlsaɣɐ
amanda	ʔɐmandɐ
amanisaya	ʔɐmɐnɪsajɐʔ
amansinaya	ʔɐmansɪnajɐ
amansinaya	ʔɐmansɪnajɐʔ
amante	ʔɐmantɛ
amber	ʔambɛɾ
amelia	ʔɐmiljɐ
amerika	ʔɐmɛɾɪxɐ
amerikana	ʔɐmɛɾɪxanɐ
amerikano	ʔɐmɛɾɪxano
