ஃ	ʔ
ஃஜிந்தகி	zɪn̪d̪ɐgi
ஃபகத்	ɸɐkɐt̪
ஃபகார்	ɸɐkɑːr
ஃபயர்	ɸaɪəɾ
ஃபரோக்	ɸɐɾoːk
ஃபர்ஸ்ட்	ɸɑɾsʈɯ
ஃபர்ஸ்ட்லுக்	ɸɑɾsʈɯɭuk
ஃபர்ஹான்	ɸɐɾˈhɑːn
ஃபஸ்ட்	ɸɑs̪t̪
ஃபஹீம்	ɸɐhiːm
ஃபா	ɸɑ
ஃபாக்னர்	paːgner
ஃபாக்ஸ்	paːkʂ
ஃபாசில்	ɸaːsil
ஃபாத்திமா	ɸɑːt̪ːiːmɑː
ஃபாபியோ	ɸaːbi̤joː
ஃபாரீன்	ɸaːɾiːn
ஃபார்மில்	paːɾmiɭ
ஃபார்மில்லாமல்	ɸaːɾmɪlːaːməl
ஃபார்முக்கு	ɸɑːɾmukːu
ஃபார்முலா	ɸɑːɾmʊlɑː
ஃபார்மை	ɸɑːɾmɑɪ̯
ஃபார்ம்	ɸaːɾm
ஃபாலோ	foːloː
ஃபாஸ்ட்	ɸɑːst̪
ஃபிஃபா	ɸiɸɑ
ஃபிகர்	ɸɪkɐr
ஃபிக்ஸிங்	ɸikːiɳ
ஃபிஞ்ச்	ɸintɕ
ஃபிடே	ɸiɾɛː
ஃபிட்டஸ்ட்	ɸɪt̪ːɑs̪ːt̪
ஃபிட்டாக	ɸɪt̪ːaːg̊
ஃபிட்டான	ɸiʈːaːn̪
ஃபினிஷராக	ɸiniɕəɾaːg
ஃபினிஷர்	ɸiniɕər
ஃபின்	ɸin
ஃபின்ச்	ɸintɕ
ஃபின்ச்சின்	ɸintɕin
ஃபின்ச்சுக்கு	ɸintɕukːu
ஃபின்ச்சுடன்	ɸintɕʈʰʌn
ஃபின்ச்சும்	ɸintɕuʋ
ஃபின்ச்சை	ɸintɕai
ஃபின்லாந்தின்	ɸinl̪ɐn̪d̪in
ஃபிபா	ɸiba
ஃபிராண்டியர்	ɸɾaːɳɖiɾ
ஃபிலிம்	ɸilim
ஃபிலிம்ஸ்	ɸilims
ஃபிளெட்சர்	ɸɪɭɖɕɾ
ஃபீலிங்	feːliŋ
ஃபீல்	feːl
ஃபீல்டரான	ɸiːɭd̪əɾaːn̪
ஃபீல்டரை	ɸiːɭd̪əɾaɪ̯
ஃபீல்டர்	ɸiːɭɖəɾ
ஃபீல்டர்களை	ɸiːɭɖɐɾɐj
ஃபீல்டர்கள்	ɸiːɭɖəɾgə
ஃபீல்டிங்	ɸiːɭɖiŋ
ஃபீல்டிங்கிலும்	ɸiːɭɖiŋgil
ஃபீல்டிங்கில்	ɸiːɭɖiŋgil
ஃபீல்டிங்கை	ɸiːɭɖiŋgai
ஃபீல்டில்	ɸiːɭɖɪl
ஃபீல்டு	feːɭuː
ஃபீல்டுக்கு	ɸiːɭɖuː
ஃபுட்பால்	ɸuɖ̪baːl̪
ஃபுல்	ɸul
ஃபூட்	ɸuːɖ
ஃபெட	feɖ
ஃபெடரரின்	feːd̪əɾəɾin
ஃபெடரருக்கு	ɸɛd̪əɾəɾukːu
ஃபெடரரும்	ɸɛd̪əɾɾum
ஃபெடரரை	feːd̪əɾəɾaɪ̯
ஃபெடரர்	feːd̪eːrɐr
ஃபெடரேஷன்	feːd̪əɾeːʃ̪on̪
ஃபெட்	ɸɛɖː
ஃபெப்சி	feːbɕiː
ஃபெரர்	ɸeɾəɾ
ஃபெரோஷ்	feɾoʃ
ஃபெர்குசன்	feɾguʂan
ஃபெர்னான்டோ	feːɾn̪aːɳɖoː
ஃபேன்	ɸæːn
ஃபேபியன்	feːbi̤an
ஃபேமஸ்	feːməs
ஃபேமிலி	feːmiliː
ஃபேர்	ɸɛːr
ஃபேவரட்	feːvəɾɑːt̪
ஃபேஸ்	feːs
ஃபேஸ்புக்	feːsɛpɯk
ஃபேஸ்புக்கில்	ɸeːs̪bukːil
ஃபைனலில்	ʔpai̯n̪en̪eɭ
ஃபைனல்	ɸaɪnəl
ஃபைனல்ஸ்	ɸaɪnɐls
ஃபைனான்சியர்	ɸaɪnɑːɳɕiːr
ஃபைன்	ɸaɪ̯n
ஃபைல்	ɸaɪl
ஃபோர்ப்ஸ்	foːɾbːʌs
ஃப்ரண்ட்	ɸɾɐn̪ɖ̪
ஃப்ரீ	ɸɾiː
ஃப்ரீஸ்டைலில்	ɸɾiːs̪t̪aɪ̯l̪
ஃப்ரீஸ்டைல்	ɸɾiːst̪aɪl̪
ஃப்ரெண்ட்ஸ்	ɸɾen̪d̪ːs̺
ஃப்ரேம்	ɸɾeːm
ஃப்ளாப்	ɸlɑːp̚
ஃப்ளாஷ்பேக்	ɸlɑʂbɛk
ஃப்ளைவெயிட்	ɸliːʋɛɪ̯t̪
அ	ə
அஃது	ɐɦd̪ɯ
அஃப்ரிடி	əɸɾiɾi
அஃப்ரிடியின்	əɸɾiːɖiː
அஃப்ரிடியும்	əɸɾiɖijum
அஃப்ரிடியை	əɸɾiɾiɾɐj
அஇஅதிமுக	əɪɾəɾɨmʊk
அகட்	əgɐɖ
அகதி	ɐgɐd̪i
அகத்துக்காரி	ɐgɐt̪ːʊkːaːɾi
