306	a
392	a
50	ɫ
az	z
cынауларны	sɯ̞nɑuɫɑrnɯ̞
diñgez	d
dä	d
el	l
elling	l
erü	r
hәр	hær
i	iː
isereklek	a
qaş	z
tir	ɾ
u	u
ullıq	ɫ
uq	q
xis	a
yola	a
yoğu	a
yök	k
ä	æ
äz	z
çepya	ɣ
ö	ɛ
ön	n
özek	k
ürä	a
üz	z
ı	ɛ
əдип	ɛːˈdiːp
əни	eni
абага	ɑbɑxɑ
абага	ɑbɑɣa
абагага	ɑbɑɣɑðɑ
абагада	ɑbɑqɑdɑ
абагадай	ɑbaɢɑdɑj
абагалар	ɑbɑʁɑɫɑr
абагалардан	ɑbɑʁɑɫɑrdɑn
абагалыкта	ɑbɑʁɑlɯ̞qtɑ
абагасыз	ɑbaɣasɯz
абагасын	ɑbɑʁɑsɯn
абад	abod
абадан	abadɑm
абажур	abaʒur
абажурлык	ɑbɑʒurɫɯ̞q
абажурсыз	ɑbɑʒursɯz
абазача	ɑbɑzɑːʃɑ
абазин	abaziŋ
абазиннар	ʔɑbɑzʁiːnnɑr
абазинча	abazintʃa
абазия	ɑbɑːziːr
абай	fabaj
абай	ɑːbɑj
абайла	abajla
абайлабрак	ɑbɑjɫɑbrɑq
абайлавыбыздан	abɑjlovɯbɯzdan
абайлавында	abajlaɣɯnda
абайлавының	abajɫovɯ̞nɯ̞ŋ
абайлаган	ɑbɑjlɑʁɑn
абайлагандай	ɑbɑjlɑʁɑndɑj
абайлагансыз	ʔɑbɑjlɑʁɑnsɯz
абайлагансың	ɑbɑjlɑʁɑnsɯ̞ŋ
абайлаганым	ɑbɑjlɑʁɑnɯ̞m
абайлаганың	ɑbɑjlɑʁɑnɯ̞ŋ
абайлады	abajɫadʊ̞
абайладыгыз	ɑbɑjlɑdɯ̞ʁɯ̞z
абайладык	ɑbɑjɫɑdɯ̞q
абайладылар	ɑbɑjɫɑðɯ̞ɫɑr
абайладымы	abajlɑdɯmɑ
абайладың	abɑjlɑɾdɯ̞ŋ
абайлама	abɑjˈlɑma
абайламабыз	abajlɑmɑbɯˈz
абайламаган	ɑbɑjlɑmɑʁɑn
абайламаганбыз	ɑbɑjlɑmɑʁɑnbɯz
абайламаганда	ɑbɑjlɑmɑʁɑndɑ
абайламаганлык	ɑbɑjlɑmɑʁɑnɫɯ̞q
абайламаганнар	ɑbɑjlɑmɑʁɑnnɑr
абайламагыз	ɑpɑjɫɑmɑˈgɯz
абайламадыгыз	ɑˈbɑjlɑmɑdɯˈgɯz
абайламадык	ɑbɑjɫɑmɑdʊ̞k
абайламадылар	ɑbɑjlɑmɑdɯ̞ɫɑr
абайламадың	ɑbɑjɫɑmɑdʊ̞ŋ
абайламак	ɑbɑjzɫɑmɑq
абайламаса	abajɫamasa
абайламасак	ɑbɑjlɑmɑsɑq
