0k8	ʊkːɑː
0kay-	okɛ
0l	ɒl
10-బ్లాక్	ɭoːbɭak
11-బెడ్	ɓeːɖ
1-a	ə
1o	ɒː
2-a	ʈeː
2o	ɔː
2x4	ɾuːɣʌː
3o	ʈoː
3-చీలికల	tʃiːlikɐl
4-చక్రముల	tɕakramuɭ
5star	ʃɪstɑːr
5-ఆస్కార్	əːskaːr
6hrs	gɑːɾuː
6month	gʌːmʌːθ
7-a	ɭi
80-శైలి	ʃeːli
8o	ɔː
900d	ɳɔːɳɖu
90mg	naːɳʈuː
a14	ə
a1	ə
aboon	əˈbuːn
abracabadbra	əbrɑtsɑbɑdrɑbɾɑ
abra	əbrɑ
ada	ɐɖɐ
adam	ɐd̪am
adio	adiɔ
a	ə
afterhours	ɑːfɛɾɦuːɾs
agh	əgʱ
agonies	əgoːniːs
agrigento	əgɾigento
ah	ə
ahh	ə
ahold	əɦoːɭd̪
ah-ఆహ్	əː
ai	ai
aig	əɪg
aka	əka
alabama	ɑlɑbɑmɑ
alakazam	ələkɐz̪am
alien	ælɪn
all	ɑːlː
alway	ɑːlʋaj
am	ə̃
am	ə̃ːm
amobarbital	əmoːbɑːrɪt̪əl̪
angola	əŋgoːlɐ
answer	ənˈsɜːr
ant	ənt̪
anton	ɒːn̪t̪oːn̪
anulet	əˈnʊlet
anywhere	əɳjɐɾe
anywho	əɳjʋo
apartment	əpəːment
applauding	əpːlɔːdɪŋ
arashikage	əɾaʂigeːge
ar	ɑɾ
arkansas	ɑːɾkɑːnsɑː
artarketyper	ɑːɾtɑːɾkɛtypeɾ
asap	əsaːp
as	əʃ
assbags	ɑsːbɑgs
assecoarbolaget	ɑːʃːoːɾboːlægeːt
asses	ɑːsɛː
assholes	əʃoːlɛs
at	əʈ
atoned	ətoːnɛːd̪ʌ
au	au
audience	au̯d̪iːns̪e
awaitin	əwaːt̪iːn̪
aware	əwaːɾe
awayif	əwaɪɪf
a-బాబా-బీప్-boop	əbɑːbɑːbiːp̚boːp̚
b12	ɓiː
b-1	ɓɪ
baaa-stard	baːst̪aɾd̪
ba	ba
babbles	baʋːʋeːl̪eː
babygap	baːbʌgʌp̚
back	baːk
bad	baɖ
bagaribossen	bagaɾibosːe
bag	bag
bagheera	bagʰiːra
bailing	baɪlɪŋ
baloo	baːluː
bama	baːma
ban	bɑːn
banging	baŋiŋ
banning	banɳiŋ
baseheads	beːsɛʈʰeːds
bath	baʈʰ
baxford	baɣfoːɾɖu
b	baː
b	ɓʌ
beatin	beːt̪in̪
beatrice	beːtʃiːrɛːsiː
beckster	beːkʈʌːst̪eːr
beech	biːtʃː
beefcakes	biːfkeɪks
beeps	beːps
beh-డో-beh	beɖo
bell	beʎː
bellboys	beʎːoː
belle	beːle
bentoutofshape	beːn̪t̪oːuːt̪oːʃeː
besmirching	beʃmiɾtʃiŋ
bet	beʈ
bicep	biːtʃeːp
biding	biɖiŋ
bieber	biːbɛr
bird	biːɾʈ
bit	bit̪
bitches	biːtʃeːs
bitey	biːteː
blares	bl̪aːɾes̪
bleating	bleːtiŋ
bleats	bleːʈʈu
blimey	blɪmeɪ
blinkin	blɪŋkɪn
bloomin	bluːmɪn
blue	bluː
bluff	blʌf
bmw	beːmoː
bofing	boːfiŋ
bollocks	boːlːʌkːʌ
boneyard	boːn̪jɑːɾd̪
bongiorno	boːŋgiːɾnoː
bonjour	boːɲʈʊɾʌ
bonomo	boːn̪oːmoː
boobies	buːbɪj
boom	boːm
boop-ee-doop	boːpʰiːdoːpʰ
boop-డీ-dweet	boːpɖiːdwiːt
booties	buːt̪iːs̺
bossen	boʃːen
bossyndromet	boːsɪndɾoːmɛt
botherin	boːt̪eɾiːn̪
bound	boʊnd̪u
bourbon	boːɾbʌn
bowser	boːʋsɛɾ
boy	boːj
bozo	boːzo
braggin	brɑːgiːn
brainiacs	braːjɑːtʃɑːs
break	brɛk
brewski	brɛwski
britania	brɪtɑːniə
bro	brɒ
brogden	ɓɾogɖen
brown	braun
brozi	brɔːzi
brrr	brɾɾɾ
brunson	brʊn̪s̪oːn̪
bruv	brʊv
bubbleship	buːbːɛliʃip
bu	buː
budweiser	buɖʋeːsɛr
bulges	buɭgeː
bulgy	bulgi
bummed	bumːd̪e
bumming	bumːŋ
bumping	bumpɪŋ
bumptv	bumpt̪uʋ
bumpty	bumpʈʰi
bunions	buːnɪoːn̪s̪
burns	buːrn̪s̪
burp	ɓʊɾp̚
burps	burps
burpsmart	burpʃmart
burpsnart	buɾpʂn̪aɾt̪
burpsnarted	buɾpʃnɑɾteːd
burpsnorp	burpsnɔːrp
business	biːnɪs
buzzin	buːzɪn
bygones	bigoːn̪eː
c-130	ʈeːleːkuː
c-4	tʃɛː
caddies	ʈɑɖiː
camera	kæmɐɾɐ
cameron	kəmɛron
cam	ʈam
canaveral	t̪ʌn̪aːvɛɾɐl̪
can	t̪an̪
cant	ʈaːɳʈʌ
cappuccino	ʈʌpʊtʃiːnoː
carey	kɑːɾeː
carjust	tʃaɾdʒʌst̪
car	kɑːr
carleonesi	kɐɾleːn̪eːsi
carnegies	kɐɾn̪eːgiːs̺
carolina	kɐɾulɪnɐ
