-อืม--	ʔɯ̌ːm
00น	˥˧n
0topeve0	˥to˧pe˩ve˧
14k	˥˩k
1ชั่วโมง	ʈʰɯ̀ːmɔ̀ːŋ
1ใน	˥nɑi
24ชม	˥˩ʃɔːm
2คน	˥kɔn˩
2ชั่วโมง	˨ʃɔ̌ː˥moːŋ
2ปี	˥˩piː
2วัน	˥ʔʋaːn˩
3-d	˥d
3m	˥m
3ปี	˥piː˧
3วัน	˥ʔan˩
5had03	˥ha˧˥da˧˥
5ทุ่ม	ʈûm
5ฟุต	ʔɔː˥fʰut˥
5วัน	˥wan
7b	ʈʰɯː˨
7ปี	˥˨˩
a	a˥
a00152a	a˥o˩o˧a˥
aang	˥aːŋ
abbey	a˥b˧
abe	a˥bɛ˧
abrasax	a˥bɾa˧sɑ˥
access	aʔtɕeʔ
accor	a˥kʰɔː˧
ace	aʔ
ad	a˥d˩
adam	a˥da˧ma˥
adrenaline	ʔa˥draː˧li˥ni˧
adrian	a˥dri˨a˧n˥
adult	a˥dɯː˧lʊː˥t˥
adumbasax	a˥du˩ma˧ba˥sa˥
adventure	ʔàːttɛːn
adzminz	a˥dʑmi˧n˥
aeysub	aɛ̀sùb
afford	ʔɑ̀ːfɔ̀ːt
afraid	ʔa˥fɹaɪ˧
ag	a˥g˩
agador	a˥ga˧do˨r˩
age	˥geː
agency	a˥geː˧nsi˥
agnes	a˥gɛ˧nɛ˥
ago	a˥go˩
agra	ʔa˥gɑ˧rɑ˥
agron	a˥gɔn˧
ah	a˥
ah-ah	a˥a˩
ahh	a˥
ahhh	ʔa˥
ahoxan	a˥ho˩xa˧n˥
ai	ai˧
aida	aɪ˥da˩
aigoo	aɪ˧guː˥
aii	ai˥i˩
aikon	aɪ˧kɔn˥
ain	˥aɪn
air	ʔaj˥
aishi	aɪ˨ʃi˧
aishiteru	aɪ˨ʃi˧te˦ɾu
aiyabeer	ai˥ya˧beː˥
ajang	a˥ʔa˧ŋ
ajaw	a˥ʔa˧w
ajà	a˥ʔa˩
akaru	a˥kʰa˧ru˥
ake111	a˥kɛ˧
akira	ʔàkìrá
akirachan	a˥kʰi˧ra˧tɕʰa˥n
akkiesora	a˥k˧ki˧s˦o˧r˥a
ako	a˥ko˩
alan	a˥lɑːn˧
alarm	ʔa˥lɑːm
albert	ʔal˥bɛːt˩
alcalshel	a˥l˧k˨a˩s˧h˥e˧l˥
alex	ʔa˥leʔ˧
alfred	ʔæl˥fɯːt
alice	ʔa˥li˧sɛ˥
alien	˥li˧en
alinusk	ʔaliːn˥suk
alison	a˥lɪ˧sɔn˥
allen	ʔa˥lɛn˩
along	a˥lɔːŋ˧
am	a˥m˩
am	˨
ama	a˥ma˥
amanda	a˥mʌ˨n˧dʌ˥
ambigrama	ʔam˥bi˩gra˧ma˥
ame	a˥mɛ˩
american	ʔa˥meː˧rɪ˥kʰaːn˥
amirui	a˨mɪ˧ru˥i˩
amkung	a˥m˩kʰuŋ˧
ammi	ʔam˥mi˩
amor	a˥mo˧r˥
amore	a˥mo˩re˧
an	an˧
anana	a˥na˧na˥
and	ʔan˥
and-a	aːn˥daː˧
andrew	ʔɑːn˥dɹɛːw˧
andrews	ʔɑːn˥dɹuː˧s
anfernee	an˧fe˩ne˧
angel13	aŋɛːŋ
angela	angelaʔaŋ˧kɛː˥laː˧
angelo	˥ŋe˧lo˥
anglenowing	anglenowing
angry	ʔaŋ˥
anita	˥na˧ti˧a˥
anjell	a˥n˩jɛl˧
ann045	˥˧˩
anna	anna˥˧
annchong	˩˧˥
annchum	ʔan˥tɕʰum˧
anni	˨˧ni
annielove	ʔa˥nɪ˧lɔː˥wɛː˥
anniey	a˥nɪ˧jɛ˩
anniversary	ʔan˥ni˩sɛ˧ri˧
annoying	ʔan˥nɔj˧
anony	ʔa˥nɔ˧nɨ˥
antimateria	ʔan˥ti˩mi˧tʰe˥ri˧ʔa
antwan	ʔan˥twaːn˧
anymore	˥nɛ˧mɔː˥
aom452000	aʊm˨˦
aommie	aʊ̌mmiə̀
aorta	aɔ̀ːt
aot	aot˥
ap	a˥p˩
apache	a˥pa˩tʃʰe˥
apb	ʔap
app	ʔap
applause	ʔɑːpʰlɑːw
apple	ʔɑːp
apply	ʔɑːpʰlai
aqua	aʔkʰwɑː˥
arcs	ʔɑːk
area	ʔɛː˧raː˥
aren	˥rɛn
arena	ʔɛː˥nɛː˥
arigatou	ʔarigatɔː
ark	ʔɑk˥
arlin	ʔaːlin
arm	ʔam˥
arms	ʔaːm
arnold	ʔɑːn˥lɔːw˧
arrange	ʔaːn˥raːŋ˧
arsaphes	ʔa˥ra˩sa˧pʰe˥sʰa˧
art	ʔɑːt˥
artemesia	˥ɑːt˧˥meːsi˧˥ə
artery	ʔaʔ˧teː˥
artrock	ʔaːt˥rɔːk˥
arts	ʔaːt
aru	a˥ru˩
arutszy	a˥rʊt˨sɯ˧
arya	a˥rʲa˧
asaor	a˥sɔː˧
asarabiya	a˥sa˥ra˧bi˧a˥
aseries	a˥sɛ˧rɪ˩
ashita	aʃi˧ta˥
ashur	aʃuʔ
asia	ʔāːsiː
asigoki	a˥si˧ko˩ki˧
asking	ʔaʔʃiŋ
asleep	ʔaː˥sɛː˧
ass	a˥s˩
asshole	ʔat˥sɔː˧lɛː˩
asu	˥su
asuko	a˥sʊ˨kʰo˥
at	a˥t˩
at	ʔat˥
atcu	a˥tɕu˨
ate	˥ta˨
atf	ʔat˥
atlantic	ʔàːtlɛ̀ːntɪk
atm	ʔatm
ato	a˥to˩
attaboy	ʔa˥t̪a˩bɔɪ˥
attacker	ʔaːk˥ʔkɛː˧
attending	ʔaʔtʰɛ̄ːŋ
au	au˨
auguri	au˨gu˩ri˦
aunhavc	aʊ̀nhɑ̀w
austin	aʊs˨tɪn˧
aut410	aʊ̀t
auto	ɔː˨
automated	ʔɑw˥tɔː˧mɛː˧t̪ɛː˥
autotrophs	ʔaʊ̯˨tʰoʊ̯˧sɔʊ̯˥
auwimol	au˨wi˧mol˥
av	aʋ
avigal	a˥vi˧ga˥la˥
avrill15	aʋrɪl˥˩
aw	aʊ˥
award	aʊ̀
ay	aɪ˧
aye	aɪ˧
ayres	aj˧
azukete	a˥zu˨ke˧te˥
ba	ba˥
baandagrea	baːn˧daː˥krɛː˧
babe	ba˥be˩
babuyab	ba˥bu˧ya˥
baby	ba˥ba˨
babylon	ba˥ba˧ly˧on
baccanale	ba˥tɕʰa˧na˥lɛ˥
back	baːk˥
bait	baɪt˥
baitoey	baɪ˥˩teɪ˧
balem	ba˥le˩m˨
ball	baːl
balls	baːl
bam	ba˥m
bamba	ba˥ma˥ba˥
banana	ba˥na˩na˥
band	baːn˥
bang	baŋ˥
banging	baːŋ˥
banjun	ban˥dʑun˩
bank	baːŋ
banks	baːŋk
bap	baʔ
bar	baː
baransu	ba˥raː˧nuː˥
barely	baːleː
bargain	baːk˥gaːn˧
bartowski	baː˥tɔː˧wɔː˥kɪ˥
barzini	baː˥ʐi˧ni˥
basketball	baːk˥sɛːt˧boːl˩
bastard	ba˥sta˧tɑːd
bat	bat˥
batiatus	batiatuː
batman	bat˥man˩
batmanlove	batmanlʌːv
batroc	ba˥tʰrɔːk
bay	baɪ˥
be	˥be
be-beau	beʔbeː
beam	beːm
bear	beː
bears	beːs
beast	beː˧ʔ
beat	beːt˥
beatles	beːt̩lɛːt̩
beaver	beː˥wɛː˧
bebeena	be˥be˩˧e˧˥na˥
beccah	beʔtɕʰaː
becomes	beːm˥
bed	beːt˥
bedroom	beːt˥ruːm˧
bee	biː
beep	beːp
beeping	beːpʰiŋ
beeps	beːp
beetle	˥beː˧˥tɛː˩
beg	˥bɛk
began	beːŋan
beginning	˥bɛŋ˧gɪŋ
beijing	˥beɪ˧˥tɕɪŋ
being	˥ɓɛŋ
beings	beːŋ
bekeryboy	bekɛː˥riː˧boy˧
bel	˥ɓɛl
bell	beː
belle	beː˥
bells	beːl
belong	˥lɛːŋ
ben	˥bɛn
benham	˥bɛn˧haːm
benny	˥bɛn˧˩
berets	beː˥leː˩
best	˥bɛt
bet	˥˧t
beta	˥˧ta
betrayed	beːtʰɑːj˥
between	˥bɛː˧˥tɛːn
bewty	beʔtʰiː
beyeroflmao	bej˥rɔː˧fɔː˥lɔː˧maː˥
bgirl0016	baː˥gɤː˩lɤː˥
bhumichan	˥ɓu˥mi˧tɕʰan
bi	˥bi
bid	˥bid
bien	˥i˩en
bigelow	˥bi˧gi˩lo˧
bigpao	bi˥kʰaːw˧
bill	bi˥
billy	bi˥li˩
bin	˥bɪn
bingu	˥biŋ˧˥u
biscuitbus	biːttɕʰuːt̚
blackbriar	blɛkʰbiːa̰
blackpearl	blɛːkpʰɛː
blade	blɛːt˥
blair	blɑːj
blame	blæːm
blanc	blan˥
blat	blàːt
bless	blɛː˧
blew	blɯː˧
block	blɔk
bloom	˥loːm
blow	blɔː˥
blue	˥luː
bluedonut	blɯː˥dɔː˧nʊː˥
blues	˥lɯː˧
bo	bo˥
bo7y	bo˥y˩
board	boː˥aː˧d
boat	boːt˥
bob	boʔ
bobby	boʔʔi
bobosung	bo˨bo˨sʊŋ˥
body	boː˥diː˩
bok	˥ɔːk
bokgu	boʔku
bomb	boːm
bomba	boːm˥baː˥
bomber	boːm˥meː˩
bon	˥ɓɔn
bon	˥ɔːn
bone	boʔn
bones	boːn˥
bonnie	˥ɔn˨˩ni
boo	boo˨
book	boːk˥
boom	boːm
booyah	˥ɓɔː˧˥jaː
bop	˥bɔp
bored	˥ɔː˧˥
bottle	boʔt
bout	baʊt˥
bowl	boː
bowling1	˥ɓɔː˧˥lɪŋ
boy	boy:bɔːj˥
boyfriend	˥ɔːj˨˩fɛɛn˥
boys	˥ɔːj
braddon	brat̚t̚t̚
brady	brɑːdɪ
brainny	braːn˥ni˥
brains	brɑːj˥n
brand	brɑːn
brand-new	braːn˥nuː˧
brandy	brɛːndiː
brave	brɛːw
bravo	braʊ̯
breadstix	prɛːtʃʰɛːtʃʰɛː
break	braːk
brett	brɛt
brex	brexbɛ̀k
brian	bian
brick	brɪk
bring	˥ɓɪŋ
bringing	brɪŋ
brings	brɪŋ
bro	brɔː
brodo	brɔː˥dɔː˥
brody	brɔːdɨ̄
broke	prɔk
brooke	brɔːk
bros	brɔːs
brown	baːn˥
brั	br̀ɑː
bu	bu˨
bucket	buːk˥tɛː˧
budahas	˥ɓu˧daː˧sɑː
buddy	˥bʊt˨
buffy	˥ɓʰʰiː˨
bull	buːl
bullet	bu˥let˩
bullets	bu˥le˩tɛː˧
bullshit	buːlʔsiːt
bump	˥bʊm˧
bunny	bu˥ni˩
burke	buːk
burn	˥ʔun
burt	buʔt
burton	buːn˥
bus	buːs
busan	˥bu˨sa˧n
bust	˥bʊʔ
busted	buʔtʰeʔ
busy	˥bɯː˧
but	buʔ
butt	buʔ
buzzer	˥bu˨˩ze˧
by	˥bi
byung	˥ɓɯŋ
bะฐั	ba˥da˥
bะต	ba˥t˩
bะตั	ba˥ta˩
c4	cɔ˥
c6	cɔ̀
ca	ca˥
cacao	kaː˥kaː˧
caii	caːj˥
calarts	kʰa˥la˩tʰaːs
calaveras	kalaveraː
caldwell	kʰal˥tɛw˧
cale	k̄lɛ̄˥
called	kʰɑ̀ːl
calm	calm˥
cam	caːm˥
cambridge	kaːm˥bɹɪtʃ˧
came	kaːm˥
camelot	kʰa˥mɛ˧lɔː˥t
camp	caːm
canowwies	kʰanɔːwɪ̀ːs
capable	kaː˥pʰaː˨bɛː˧
cape	kʰaːp
capo	kaʔ˧
capture	kʰap˨ʔtʰuː˥
car	kaː
cardinalii	kʰaːttʰiːliː
cares	kaː˥rɛː˧
cariin	kaːriːn
carina	kʰarina
carl	kʰaːl˧
carlin	kaːlɪn˥
carmen	kʰaːm˧
carole	kʰaː˨lɔː˧
caroline	kʰaː˥laː˧rɔː˥liː˧
carotid	kʰaː˥rɔː˧tʰɪt˥
carp	kaːp
carrier	kaː˥liː˩
carrotiiz	kʰaː˥rɔː˧tiː˥
cars	kaːs
casa	ka˥sa˥
case	kʰaː˧
casey	kʰɛː˧
cash	kʰaː˥
cassia	kʰásʰiː
cassiopia	kaːsiː˥ɔː˧piː˨
castle	kʰɑːtʃeː˥
cat	kaːt˥
catch	kaːtʰ
cattycat	kʰat˥kʰat˩
caught	kʰɔ̀ːt
cause	kʰɑw˥
cbi	cɪ˧
ce	ce˧
cear	ʈʰɛ̄ː
celien	sɛːliːn˨
cellphone	˥tɕʰɛː˥˥lɔː˧˩
ceo	ʃeːoː
ceo	ʈʰɤː˧
chachacha	ʈʂaʈʂaʈʂa
chad	ʈʰat˥
chae	˥ʨʰɛː˩
chaegyung	ʈʰæːgɯŋ
chains	ʈʃʰaɪn
chair	ʈʰaj
challenge	ʈʰaːŋ˥laːŋ˧
cham	ʈʂam˥
chan	ʈʰan˥
chanapa	ʈʰa˥na˧pa˥
chang	˥ʈaŋ
changes	˥ʈʰaŋ˧
changing	ʈʃʰaːŋ˥
chani	ʨʰa˥ni˥
chappie	ʈʃʰap˥piː˩
charles	ʃaːl˥leː˧
charm	ʈʃʰɑːm˥
chase	ʈʃʰaː˥
chasing	ʃaːj
chat	ʈʰat˥
chatterlng	ʈʰat̚˥lɪŋ˩
cheap	ʨʰɛ̄ːp
cheating	ʈʰeːtʰiːn˥
cheerlng	ʈʰiː˥lɪŋ˩
cheese	ʨʰeː˥s
cheesypie	ʨʰeː˥sɯː˧pʰiː˥
cheong	˥ʈʰɤŋ
chevy	˥tɕʰeː˧˥wɛː˥
chi	chi˧
chiba	ʨʰi˥ba˥
chick	ʈʰɪk˥
chicken	ʈʰɪk̚˥
chickliss	ʨʰɪk˥lɪs˩
chief	ʨʰiːf
chikara	ʨʰi˥ka˧ra˥
chill	ʈʰɪl˥
chimes	ʈʰiːm˥
china	ʈʰíːn
chinchin138	ʨʰɪn˨ʨʰɪn˥
ching	˥iŋ
chips	ʨʰɪp
chitty	ʨʰít
chloe	ʈʰlɔ̄ː
cho	˥cho
chocopie	ʈʰɔ̀kɔ̀piː
chose	˥ʈʰɔː˧
chotto	ʈʰɔ̀t̪tʰó
chow	ʈʰɔː˥
christian	krɪstian
chuck	ʈʰɯk˥
chuckle	ʈʰɯk˥
chuckling	ʈʰɯk˥lɪŋ˩
chucky	ʈʰúʔ
chul	ʈuːl˥
chun	ʈʃun˥
chung	˥˨
church	ʈʂɯːk
ci	ci˧
cia	ci˧a˥
ciao	ci˧au˥
cid	cid˧
cinema	ʃi˥ne˩ma˥
cip	cip˧
clacking	kʰlɛk˧
clalre	klɑːlɛ̄
clamp	klʌm
clan	klan˥
clark	kʰlɑːk
clarke	klɛːk˧
classic	kl̄ʔsɪk
claude	klɑːw˥dɛː˧
claus	klɑw˨
clean	klɛ̀ːn
cleaning	klɛːŋ˥
clear	klɛ̀ː
clearly	klɛː˥liː˧
clerk	klɛːk˥
click	klɪk˧
clicking	klɪk
clicks	klɪk˥
clock	klɔk
closer	klɔːsɛ̀
club	klɯp
clucking	klɯk˧
co	ko˨
coat	kɔ̀ːt
code	koʔdeʔ
coffee	kʰɔ̀ːfɛ̄ː
coin	ʃɔɪn˥
cole	kɔ̀l
college	kɔ̄ːlɛːŋ
com	kom
come	kʰɔ̄ːm
comes	koːm
comic	kɔ̀mɪk
comin	kom˨˩in˥
common	˥˧mɔːn
competition	kʰɔ̄mpʰɛːttʰiːn
complex	kɔ̄ːmplɛ̀ks
con	kɔn˧
conanpp	kɔn˨naːp̚˥
concern	kʰɔ̄ːn
condition	kʰɔ̄ːn˥dɪ̄˧ʔ
confidence	kʰɔ̄ːnfɪ̄ndʰeː
confusion	kʰɔ̄ːn˥fuː˧n˥
conlon	kɔ̄ːn
connect	kɔ̀nɛ́k
connection	kʰɔ̄ːn˥nɛː˧ʔ
connie	kɔ̄ːn
continues	kʰɔ̄ːntʰiːn
continuing	kʰɔ̄ːntʰɨ̄ːŋ
continuum	kʰɔ̄ːntiːnuːm
control	kʰɔ̄ːntrɔ̄ːl
conungnan	˩˨˥˨˧
cook	koːk˥
cool	koːl
cop	ʔɔ̀p
cops	ʈɔːp
corn	kɔ̄ːn
corner	kʰɔ̄ːn
correct	kʰɔ̀ːk
corvus	kɔː˥ruː˧
cos	kɔː˧
costel8276	kɔ̀ːt̂sɛ̀ːt
costume	kʰɔ̀ːtʰum
cougar	kʰuː˥gaː˧
coughing	ʔɔː˥
council	ʃɔːntɕʰɑːl
country	˥kɔ̀ːn˨˨tʰáː˥
course	kʰɔːs
court	kʰɔ̀ːt
covantear	kɔʋan˥tʰɛː˧
cover	kɔ̀w
cowboy	koː˥boː˩
cpu	ʈʰuː˥
crack	kʰrák
crap	kráp
crash	krʰɑːt
crassus	krɑ̀s
crazyah	ʃraːjaː
cream	krɛːm
credit	krɛʔ˧ʔ
creek	krɛ̀ːk
criminal	krɪmʰɛːn
cross	krɔːs
crows	krɔːs
crsky	kr̥s̄k
cruel	krɯːl
crunch	krɯ̆ŋ
cs	ʈʰaj
culprit	kuːl˥prɪt˥
culture	kʰʊːtʰuː˥
cunt	kuːn˥
cupcake	kʰùpʰɛ̀ːkèː
cutter	kʰɯ̆t̪
cä	ca˥
d	dʌ˧
d	ɗ
d-fansubs	ɗaːn˥sʊp˥
da	˥da
da-da	d̪a˥d̪a˥
da-da-da	d̪a˩d̪a˨d̪a˧
dad	˥da˩
dadadan	da˥da˧da˥
daddy	da˥de˩
daddyart	daː˨daː˨ʔaːt˥
dae	˥dae
dae-soo	dɑ̀ːsūː
daegu	dɑː˥gɯ˧
daejeon	dae˥dʑɤn˧
daese	dae˧se˥
dah	daː˧
dah-dah	da˥da˥
dai	daɪ˧
daily	daːj˥liː˧
daisuke	daːj˨suː˨keː˥
daisy	dɛː˥sɛː˧
dakanda	dakaːndaː
dakotafans	dakotafans
damage	daː˨maː˧
damn	daːm
damned	daːm˥
dan	˥dan
dance	dɑːn˧
dancestar24	daːn˥tʃɛː˧saː˥tɑː˥
danger	daːŋ
dango	d̪aŋ˧˨
daniel	d̥a˥ni˧ʔe˧l̥
daniels	daːniːɛːl
danny	daːn˥niː˩
darcy	daːk̚˨
dare	daː˨
darius	daːriːw
dark	daːk
darken	dɑːk̀
darkness	daːk˨nɛːk˥
darlin	dɑːlɪn˨
darling	daːlɪŋ˥
darpa	d̪ăp̚
dasu	d̪asuː
data	dɑːt˥
date	daːt˥
day-walker	dajwɛːkɛː
days	dɑːj˧
dc	d̪ɛ̀
ddoh	d̪ōː
de	˥de
dea	˥dea
dead	˥dɛːt
dean	˥deːn˩
dee	dee˥
deep	tiːp
defcon	˥de˧f˨kɔn
dei	˥dei˧
dekinai	˥dek˩˥nai˧˥
del	dɛ˧lɛ˥
deliver	ɗeː˨lɪ˧w
della	dɛ˧˥lɛ˧˥
delta	dɛ̀lta
demon	daːm
dendi	dɛ̀ndi
denny	˥˧˩
deon	˥deɔn
deong	˥de˧oŋ˩
derek	dɛ˧rɛk˥
des	˥dɛs
designed	desiːŋ
desk	dek
dew	dɯ˥
dex	dek
dexter	dek˨tɛː˧
dez	˥dɛː˧
dhs	ɗʰs˥
di	dɪ˨
di	ɗi˥
dial	ɗiː˧
dialing	dʰi˧laː˥iŋ˧
dialogue	dɪ˨ɑː˥lɔː˧g˨
diana	di˥a˧na˥
diary	ɗiː˥aː˧ɗiː˥
dias	dʰi˧ʔa˥
diaz	dʰi˧aʔ
dick	ɗik˥
didn	˥dɪt
died	tiː˥
difference	tiː˨sɪ˩ŋ˨kʰɑː˥
ding	˥diŋ
dings	tiŋ
dino	ɗi˥nɔ˥
dinoco	ɗi˥nɔ˧tɕo˥
direction	tiː˧kɔː˥nɛː˧
dirty	ti˥li˩
dis	ɗìs
diva	ɗiʋa
dj	dʑ
dk	ɗɛk
doby	dɔ̀ɓì
doc	˥ɔːk
docmitasha	dɔkmittʰaːsaː
does	dɔ̀
dogdoy	˥do˨˩˨do˨
doin	dɔ̄ɪn
doing	doʊŋ˥
dojokill	dɔ̀jɔ̀kɪl
dok	doʔ
dom	doʊm˨
dominus	dominus
don	˥don
donal	do˥naːl˩
donald	dɔn˨˦lɛː˧
done	dɔ̀n
dong	˥doŋ
donggy	dɔŋɟi
donnie	doʔniː
dont	dɔ̀n
doo	doʊ˧
doo-doo-doo	doo˨doo˧doo˥
doom	doʊm˧
doramon00	doʔraːmoːn
dos	˥do˧
dota	dɔ̀t
dotar	˥do˨ta˧r˥
double	˥˧doʊ˧˩
doug	duːk
dougie	ɗûːkɛː
douglas	dɔ̀ʊkɑːs
dougy	dɔ̀ʔ
down	dɔːn˥
doyle	dɔːj˥
draconis	dra˥ko˧nis˨
drag	daːk
dragisha	daː˧raː˥ɕaː
dragon	daː˥gɔː˩
drama	draː˥maː˧
dramafever	dramafeːw
drank	dɑːŋ˥
draw	daː˥
drawer	ɗrɛː
drc	dɔk˨
dream	daːm˥
dreams	ɗrɛːm
dress	ɗrɛː˧
drinking	ɗrɪŋ˥
drinks	ɗrɪŋ˧
driving	daːriːŋ
drjones	drɔːnʉːn
droid	dɾɔːj˥
drool	ɗɯ̀ːl
drop	ɗɔp
