ཀ་ཁ་ག་གྷ་ང་།ཙ་ཚ་ཛ་ཛྷ་ཉ།ཊ་ཋ་ཌ་ཌྷ་ཎ།ཏ་ཐ་ད་དྷ་ན།པ་ཕ་བ་བྷ་མ།ཡ་ར་ལ་ཝ།ཤ་ཥ་ས་ཧ་ཀྵཿ	ka kha ga gha nga | cha chha ja jha nya | ta tha da dha na | ta tha da dha na | pa pha ba bha ma | ya ra la wa sha sha sa ha ksha
ཀྱེ་བཙུན་པ་བཅོམ་ལྡན་འདས་ཁྱེད་ནི་ཐམས་ཅད་མཁྱེན་པའི་གཙོ་བོ།ལྷ་མ་ཡིན་གྱིས་བདག་གི་ལུས་ངག་ཡིད་གསུམ་བཅིངས་པ་ལས་དགྲོལ་དུ་གསོལ	kyé tsünpa chomdendé khyé ni tamché khyenpé tsowo lha mayin gyi dak gi lü ngak yi sum chingpa lé drol du sol
ཀླུའི་རྒྱལ་པོ་མཐའ་ཡས་དང༌།ཀླུའི་རྒྱལ་པོ་དུང་སྐྱོང་དང༌།ཀླུའི་རྒྱལ་པོ་ནག་པོ་ཆེན་པོ་རྣམས་ཀྱིས་དུས་དུས་སུ་ཆར་འབེབས་སོ།དུས་དུས་སུ་སྤྲིན་སྡུད་དོ།དུས་དུས་སུ་འབྲུག་གི་སྒྲ་སྒྲོགས་པར་འགྱུར་རོ	lü gyalpo tayé dang lü gyalpo dungkyong dang lü gyalpo nakpo chenpo nam kyi dü dü su charbeb so dü dü su trin dü do dü dü su druk gi dra drokpar gyur ro
ཀློག་པ་ན་ས་གླེགས་བམ་ལ་བྲིས་ཏེ།ཁྱིམ་ན་འཆང་གི་བར་དུ་བྱེད་དམ	lokpa na sa lekbam la dri té khyim na chang gi bardu jé dam
ཀཱ་ཡ་སིདྡྷི་ༀ།ཝཱཀྐ་སིདྡྷི་ཨཱཿཙིཏྟ་སིདྡྷི་ཧཱུྃ།སརྦ་སིདྡྷི་ཧྲཱིཿསརྦ་པཉྩ་བྷ་ལིང་ཏ་	kaya siddhi om | waka siddhi ah | tsitta siddhi hung | sarva siddhi hrih |sarva pentsa balingta rakta mahasukha dharmadhatu ah hung
ཀུན་ཀྱང་རང་རང་རྒྱན་དང་ཆ་ལུགས་རྫོགས།སོགས་གཞུང་ལྟར་རོ	kün kyang rang rang gyen dang chaluk dzok
ཀུན་ཏུ་རྒྱུས་བྱས་པའི་རིགས་སྔགས་གཅད་དོ།ཕུར་བུས་གདབ་བོ	küntugyü jepé rik ngak ché do purbü dabwo
ཀུན་དགའ་བོ།ཁྱོད་སོང་ལ་ཁྱིམ་བདག་ཟླ་བ་བཟང་པོའི་ཁྱིམ་ནོར་དང༌།འབྲུས་ཡོངས་སུ་གང་བ་ཕུན་སུམ་ཚོགས་པ་དང༌།མཛོད་ཆེན་པོ་དང༌།བང་མཛོད་ཡོངས་སུ་གང་བ་རྣམས་ལ་ལྟོས	küngawo | khyö song la khyimdak dawa zangpö khyim nor dang drü yongsu gangwa pünsum tsokpa dang dzö chenpo dang bangdzö yongsu gangwa nam la tö
ཀུན་དགའ་བོ།དེའི་ཕྱིར་ཁྱོད་ཀྱིས་ཀྱང་ནོར་གྱི་རྒྱུན་གྱི་གཟུང་འདི་ལོངས་ཤིག།ཆོངས་ཤིག།ལྷོགས་ཤིག།སྟོན་ཅིག།ཟུངས་ཤིག།ཀུན་ཆུབ་པར་གྱིས་ཤིག།གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་ཅིག་དང༌།དེ་ནི་སྐྱེ་བོ་མང་པོ་ལ་ཕན་པ་དང༌།སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང༌།འཇིག་རྟེན་ལ་སྙིང་བརྩེ་བ་དང༌།སྐྱེ་བོ་ཕལ་པོ་ཆེ་དང༌།ལྷ་དང༌།མི་རྣམས་ཀྱི་དོན་དང༌།ཕན་པ་དང༌།བདེ་བར་འགྱུར་རོ	küngawo | dé chir khyö kyi kyang nor gyi gyün gyi zung di long shik chong shik lhok shik tön chik zung shik kün chubpar gyi shik zhendak la yang gyacher yangdakpar rabtu tön chik dang dé ni kyewo mangpo la penpa dang kyewo mangpo la dewa dang jikten la nying tsewa dang kyewo palpo ché dang lha dang mi nam kyi dön dang penpa dang dewar gyur ro
ཀུན་དགའ་བོ།འདི་དག་ནི་སེམས་ཅན་དགེ་བའི་རྩ་བ་ཟད་པ་རྣམས་ཀྱི་རྣ་ལམ་དུ་གྲགས་པར་མི་འགྱུར་ན།གླེགས་བམ་ལ་ཡི་གེར་འབྲི་བ་དང༌།ཡིད་ལ་གཟུང་བ་ལྟ་ཅི་སྨོས	küngawo | didak ni semchen gewé tsawa zepa nam kyi nalam du drakpar mingyur na lekbam la yiger driwa dang yi la zungwa tachi mö
ཀུན་དགའ་བོ།འདི་ནི་ཁྱིམ་བདག་ཟླ་བ་བཟང་པོས་ཞུས་པ་ཞེས་བྱ་བར་ཟུངས་ཤིག།ནོར་དང༌།འབྲུ་དང༌།རིན་པོ་ཆེ་ཐམས་ཅད་ཀྱི་གཏེར་ཞེས་བྱ་བར་ཡང་ཟུངས་ཤིག།དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་བསྔགས་པ་ནོར་གྱི་རྒྱུན་གྱི་གཟུངས་ཞེས་བྱ་བར་ཡང་ཟུངས་ཤིག	küngawo | di ni khyimdak dawa zangpö zhüpa zhejawar zung shik nor dang dru dang rinpoche tamché kyi ter zhejawar yang zung shik dezhin shekpa tamché kyi ngakpa nor gyi gyün gyi zung zhejawar yang zung shik
ཀུན་དགའ་བོ།རིགས་ཀྱི་བུ་ཁྱིམ་བདག་ཟླ་བ་བཟང་པོ་དད་ཅིང་མཆོག་ཏུ་དད་ཅིང་དགེ་བའི་བསམ་པ་ཅན་དེས་ནོར་གྱི་རྒྱུན་གྱི་གཟུངས་འདི་བཟུང་ཞིང་རབ་ཏུ་བཏོན་ཏེ།བླངས་ཤིང།བཀླགས།ཀུན་ཆུབ་པར་བྱས།རྗེས་སུ་ཡི་རང་བར་བྱས་ཤིང༌།གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་བསྟན་པའི་ཕྱིར་རོ	küngawo | rik kyi bu khyimdak dawa zangpo dé ching chok tu dé ching gewé sampachen dé nor gyi gyün gyi zung di zung zhing rabtu tön té lang shing lak kün chubpar jé jesu yirangwar jé shing zhendak la yang gyacher yangdakpar rabtu tenpé chir ro
ཀུན་དགའ་བོ།སུ་ཞིག་རིག་སྔགས་འདི་ལས་གཞན་དུ་སྨྲ་བ་ནི།ལྷ་དང་བཅས་པ་དང༌།བདུད་དང་བཅས་པ་དང༌།ཚངས་པ་དང་བཅས་པ་དང༌།དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པ་དང༌།ལྷ་དང།མི་དང།ལྷ་མ་ཡིན་དུ་བཅས་པའི་འཇིག་རྟེན་ན་ངས་མ་མཐོང་ངོ༌།ལན་གཉིས་སུ་བཏོན་ཏམ།ལན་གསུམ་དུ་བཏོན་ཀྱང་འགལ་བར་བྱེད་པ་དེ་ནི།གནས་མེད་དོ	küngawo | su zhik rik ngak di lé zhendu mawa ni lha dang chepa dang dü dang chepa dang tsangpa dang chepa dang gejong dang dramzer chepa dang lha dang mi dang lha mayin du chepé jikten na ngé ma tong ngo len nyi su tön tam len sum du tön kyang galwar jepa dé ni nemé do
ཁྱད་པར་དུ་ཡང་བདག་ཅག་དཔོན་སློབ་བསྲུང་བྱ་མི་ནོར་འཁོར་དང་བཅས་པའི་ནད་གདོན།འགལ་རྐྱེན།བར་ཆད།ཆག་ཆེ།ཉམ་ང་།ལོ་སྐེགཟླ་གཤེད་ལ་སོགས་པ་མི་འདོད་པའི་ཉེ་བར་འཚེ་བ་མི་མཐུན་པའི་ཕྱོགས་ངན་པ་ཐམས་ཅད་ཞི་ཞིང་བཟློག་པའི་ཕྲིན་ལས་མཛད་དུ་གསོལ	khyepardu yang dakchak pönlob sungja mi nor khor dang chepé nedön | galkyen | barché | chak ché | nyam nga | lo kek | da shé lasokpa mindöpé nyewar tsewa mitünpé chok ngenpa tamché zhi zhing dokpé trinlé dzé du sol
ཁྱིམ་བདགཁྱོད་ཅི་དང་ཅི་འདོད་པ་དྲིས་ཤིག་དང༌།ཁྱོད་ཀྱིས་ཇི་ལྟར་དྲིས་པའི་དྲི་བ་ལུང་བསྟན་པས་ངས་ཁྱོད་ཀྱི་སེམས་རངས་པར་བྱའོ	khyimdak khyö chi dang chi döpa dri shik dang khyö kyi jitar dripé driwa lungtenpé ngé khyö kyi sem rangpar ja o
ཁྱིམ་བདགཁྱོད་ཅིའི་ཕྱིར་དབུལ་པོའི་དོན་དུ་འདྲི།དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང༌	khyimdak khyö chi chir ulpö döndu dri deké ché katsal pa dang
ཁྱིམ་བདག་ཟླ་བ་བཟང་པོས་བཅོམ་ལྡན་འདས་ལས་ནོར་གྱི་རྒྱུན་གྱི་གཟུངས་འདི་ཐོས་ནས་ཚིམ་ཞིང་དགའ་ལ་མགུ་ཞིང་ཡིད་རངས་ཏེ།རབ་ཏུ་དགའ་ནས་དགའ་བ་དང༌།ཡིད་བདེ་བ་སྐྱེས་ཏེ།བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ	khyimdak dawa zangpö chomdendé lé nor gyi gyün gyi zung di tö né tsim zhing ga la gu zhing yi rang té rabtu ga né gawa dang yi dewa kyé té chomdendé kyi zhab lago bö chaktsal né chomdendé la diké ché sol to
