ༀ	om 
ༀ་གུ་རུ་མ་ནི་རཱ་ཛ་སིདྡྷི་ཧཱུྃ	om guru mani radza siddhi hung
ༀ་གུ་རུ་མཧཱ་སུ་ཁ་སིདྡྷི་ཧཱུྂ༔	guru mahasukha siddhi hung
ༀ་གུ་རུ་མཧཱ་སུ་ཁ་སིདྡྷི་ཧཱུྂ༔	om guru maha sukha siddhi hung
ༀ་གུ་རུ་སརྦ་ཏ་ཐཱ་ག་ཏ་ས་པ་རི་ཝཱ་ར་བཛྲ་ཨརྒྷཾ་པཱ་དྱཾ་པུཥྤེ་དྷཱུ་པེ་ཨཱ་ལོ་ཀེ་གནྡྷེ་ནཻ་ཝི་དྱཱ་ཤབྡ་རཱུ་པ་ཤཔྡ་གནྡྷེ་རཱ་ས་སྤརྴེ་མ་ཧཱ་སརྦ་པཉྩ་ཨ་མྲྀ་ཏ་ར་ས་ཡ་ན་རཀྟ་བ་ལིཾ་ཏ་ཏ་ན་གྷ་ཎ་དྷརྨ་དྷ་ཏུ་པཱུ་ཛ་ཧོཿ	om guru sarva tathagata sapariwara benza argham padyam pupé dhupé aloké gendhé naiwidye shabda rupa shapda gendhé rasa parshé maha sarva pentsa amrita rasayana rakta balingta tana ghana dharma dhatu pudza ho
ༀ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་མཱ་མཱ་ཨཱ་ཡུར་པུཎྱེ་ཛྙཱ་ན་པུཥྚིཾ་ཀུ་རུ་སྭཱ་ཧཱ	taré tuttaré turé mama ayur punyé jnana pushting kuru soha
ༀ་དྷྲྀ་ཏ་རཱཥྚ་ཡ་སྭ་ཧཱ༔ༀ་བི་རཱུ་ཌྷ་ཀཱ་ཡ་སྭ་ཧཱ༔ༀ་བི་རུ་པཱ་ཀྵ་ཡ་སྭ་ཧཱ༔ༀ་བཻ་ཤྲ་བ་ཎཱ་ཡ་སྭཱ་ཧཱ༔ས་པཱ་རི་ཝཱ་ར་ཨི་དཾ་བ་ལིཾ་ཏ་ཁ་ཁ་ཁཱ་ཧི་ཁཱ་ཧི༔	om dhrishtarashtaya soha om birudhakaya soha om birupakshaya soha om baishravanayé soha saparivara idam balingta khakha khahi khahi
ༀ་ནི་གཏིང་གསལ་གཞོན་ནུ་བུམ་པའི་དབྱིངས	om ni tingsal zhönnu bumpé ying
ༀ་ནི་དང་པོའི་སངས་རྒྱས་ཀུན་ཏུ་འཆང	om ni dangpö sangye küntu chang
ༀ་བཛྲ་ཀཱི་ལི་ཀཱི་ལ་ཡ་ཀཱ་ཡ་ཝཀྐཱ་ཙིཏྟཱ་སརྦ་ཨ་བྷི་ཥཉྩ་ཧཱུྃ	om benza kili kilaya kaya wakka tsitta sarva a bhi kentsa hung
ༀ་བཛྲ་ཀཱི་ལི་ཀཱི་ལ་ཡ་ཧཱུྃ་ཕཊ༔	om benza kili kilaya hung pé
ༀ་བཛྲ་སྥ་ར་ཎ་ཁཾ	om benza sapa rana kham
ༀ་བཛྲ་ཨརྒྷཾ་པཱ་ཌྱཾ་པུཥྤེ་དྷཱུ་པེ་ཨཱ་ལོ་ཀེ་གནྡྷེ་ནཻ་ཝིཌྱ་ཤཔྡ་ཨཱ་ཧཱུྃ	om benza argham padyam pushpé dhupé aloké ghendhé naividya shapta ah hung
