-aç	ɑtʃ
-ci	dʒe
-cu	dʒuɾ
-cuk	dʒuk
-de	d
-eç	etʃ
-gil	il
-idim	iːdim
-ki	ki
-miydim	midim
-sal	sau
-si	se
-tu	tˈu
-uk	ok
-ulu	ɔˈluː
-un	un
-çaktan	tʃaktan
1	tɾuː
a	o
a	ɑ
a	ˈa
a,a	a
aa	ɑː
aaa	ɑː
aaah	ɑː
aah	ɑh
aang	ɑːŋ
aaron	ɑːˈɾon
ab	op
ab	ɑb
ab-u-hava	ɑɣbuhava
abacı	pabǎjtɕi
abad	ɑbɑt
abadi	abdˈi
abadî	ɑbɑdɯ
abajurcu	abɑʒuɾˈdʒu
abajurculuk	ɑbɑʒuɾtʃuɫuq
abajurlu	abɑʒuɾlu
abajursuz	abɑdʒuzsuz
abaka	ɑːbɑˈkɑ
abakay	aːbakaj
abaküs	abɑkjuz
abalı	ɑbɑɫɯ̞
abandone	abɑndɔnɛ
abani	abni
abanma	ɑβɑnla
abanozgiller	ɑbɑnɯzgijleɾ
abanozlaşma	ɑbɑnɔzɫɑʃman
abanozlaşmak	ɑbɑnɯzɫɑʃmak
abanozlaştırabilme	ɑbɑnɯzlɑʃtɯɾabilme
abanozlaştırabilmek	ɑbanozlaʃtɯɾɑbilmæk
abanozlaştırmak	ɑbɑnɔzlaʃtiɾmak
abanozlaştırıverme	abanozlaˈʃtɯɾɯveɾme
abanozlaşıverme	ɑbɑnɯzɫɯʃɯveɾmɛ
abanî	abani
abanıverme	ɑβɑnɯværme
abanıvermek	ɑbɑnɯværmæk
abanış	abaniʃ
abara	abara
abartma	ɑbɑɾtˈmɑ
abartmacılık	ɑbaɾtˈmɑdʒɯɫɯk
abartmadan	aːbaɾtmadab
abartmak	ɑbɑɾtˈmɑk
abartmalı	ɑbɑɾtɯmabɯ
abartması	apaɾtmɑsɯ
abartmayalım	abɑɾtɯmajɯɫɯm
abartmayın	abatmajɯn
abarttı	abˈaktə
abarttım	ɑbɑɾtɯm
abarttın	aːbɑrtʃɯn
abarttın	ɑbɑɾtɯn
abartı	ɑbɑɾˈtɯ
abartıcılık	abɑɾtɯdʒɯɫɯk
abartık	abartik
abartılabilme	ɑbɑrtɯlɑbilmæ
abartılabilmek	ɑbɑɾtɯlɑbilmæk
abartılacak	ɑbɑɾtɯɫɑcɑk
abartılma	abɑɾtɯlˈmɑ
abartılmak	abaɾtɯlˈmɑk
abartılmış	ɑbɑɾtɯmɯʃ
abartılı	ɑbɑɾtɯˈɫɯ
abartılıyor	ɑbɑɾtɯɫɯˈjɯɾ
abartılış	ɑbɑɾtɯˈɫɯʃ
abartısızlık	ɑbɑɾtɯˈsɯzlyk
abartıyor	ɑbɑɾtɯjoɾ
abartıyorsun	abaɾtjɯɯɾˈsun
abartıyorsun	ɑbɑɾtɯjoɾsʊn
abası	ɑbɑsɯn
abat	ɑːbɑt
abaza	aβaza
abazan	ɑbˈzɑn
abazanlaşma	ɑbɑzɑnlaːʃma
abazanlık	ɑbazɑnˈɫɯk
abbas	ɑbˈbɑs
abbey	ɑbːe
abbie	ɑbːi
abbott	ɑbːɯt
abbs	ɑbːs
