ä	æ
ä	æː
agaç	aɡatʃ
aglamak	aːɡlamak
agşam	aɡʃam
agyr	aɣɯr
agyz	aɡɯð
ak	aːk
akademiýa	akademija
akyl	akɯl
altmyş	altmɯʃ
arpa	aɾpʰa
arpa	aɾɸa
arzuw	arðuβ
at	ɑːt
at	ɑt
atuw	atuβ
aý	aːj
aýa	ɑːjɑ
balykçy	baːlɯktʃɯ
baş	baːʃ
baş	baʃ
b	b
bir	bɪɾ
bit	bit̪
bolmak	boɫmɑk
böri	bøːri
böwürslen	bøβyrθløn
boýun	bojʊn
ç	tʃ
dalak	dɑːlɑk
datmak	dɑːtmɑk
d	d
deňiz	deŋið
diş	diːʃ
doňuz	doŋuð
dor	doːr
dünýä	d̪ynjæ
dünýäni	d̪ynjæni
duşenbe	d̪uːʃenbe
düýn	d̪yːn
duz	duːð
dyz	d̪ɯːð
fabrik	ɸabrik
fewral	ɸeβral
f	ɸ
gaba	ɡɑːbɑ
gan	ɡaːn
garynja	ɡaɾɯndʒa
garynja	ʁaɾɯndʒa
g	ɡ~ʁ
giň	ɡɪːŋ
göz	ɡœð
guduz	ɢʊːdʊð
gulak	ɡʰulak
gulak	ʁʰulak
gün	ɡyn
gün	ʁyn
gyz	ɢɨːð
gyz	ɢɯð
harplar	hɑrplɑr
harpy	hɑrpɯ
hasap	hasaːp
haty	hɑtɯ
h	h~x
iki	ɪkɪ
iň	ɪŋ
iş	iːʃ
islandiýaly	islandijalɯ
jady	dʑaːdɪ
jadygöý	dʑaːdɪɡøj
j	dʒ
je	dʒe
jogap	dʒoɡaːp
kitap	kitaːp
korol	qʰoɾol
körük	kœɾyk
küýsemek	kʏjsɛmɛk
lampa	lampa
l	l
m	m
monjuk	moːndʒʊk
münmek	mʏnmɛk
müň	myŋ
muzeý	muðej
myhman	mɯxmɑːn
narynç	naːrɯntʃ
n	n
ň	ŋ
nol	nol
öldürmek	ølːʏɾmøk
ö	ø
ö	øː
ot	ɔːt
ot	ɔt
p	p
reňk	reŋk
sekiz	θekið
s	s
ş	ʃ
suw	θuβ
s	θ
tat	tʰat
töre	tʰøɾø
t	t
ü	y
ü	yː
watançylyk	βatantʃɯlɯk
watan	βatan
w	β
ýagşy	yɑɡʃɯ
ýa	ja
ýaş	jaːʃ
ýaşyl	jɑːɕɨl
ýat	jɑːt̚
ýe	je
ýel	jɛl
ý	j
ýok	joːk
yşyk	ɯʃɯk
ýüz	jyð
ýüzüň	jyðyŋ
ÿüzüñ	jyðyŋ
ýylan	jɯlaːn
ýyldyz	jɯldɯð
z	ð
žiraf	ʒiraɸ
žurnal	ʒurnal
z	z
ž	ʒ
