agaç	agatʃ
aglamak	aːglamak
agyr	aɣɯr
agyz	agɯð
agşam	agʃam
ak	aːk
akademiýa	akademija
akyl	akɯl
altmyş	altmɯʃ
anna	vˈɑnˈnˈɑ
apelsin	apelsine
aprel	apɾel
armyt	ɑrmɯ̞t
arpa	aɾpʰa
arpa	aɾɸa
arslan	ɑrsɫɑn
arzuw	arðuβ
asudalyk	aːsʊdɑˈlɯk
at	ɑt
at	ɑːt
atuw	atuβ
awgust	aːvgʊst
aý	aːj
aýa	ɑːjɑ
aýal	aial
b	b
balykçy	baːlɯktʃɯ
baş	baʃ
baş	baːʃ
bir	bɪɾ
bit	bit̪
bolmak	boɫmɑk
boýun	bojʊn
böri	bøːri
böwürslen	bøβyrθløn
bürünç	bʏɾʏntʃ
d	d
dalak	dɑːlɑk
datmak	dɑːtmɑk
dekabr	dkabr
derýa	dˈeɾiˌɑ
deňiz	deŋið
diş	diːʃ
dor	doːr
doňuz	doŋuð
duz	duːð
duşenbe	duʃembe
duşenbe	d̪uːʃenbe
dyz	d̪ɯːð
dünýä	d̪ynjæ
dünýäni	d̪ynjæni
düýn	d̪yːn
eje	dʒe
el	ɛl
f	ɸ
fabrik	ɸabrik
fewral	ɸeβral
g	g~ʁ
gaba	gɑːbɑ
gan	gaːn
gapla	gapɫa
garynja	gaɾɯndʒa
garynja	ʁaɾɯndʒa
giň	gɪːŋ
guduz	ɢʊːdʊð
gulak	gʰulak
gulak	ʁʰulak
gyz	ɢɨːð
gyz	ɢɯð
göz	gœð
göz	gˈøz
gün	gyn
gün	ʁyn
günä	gynˈɛ
h	h~x
hanym	xɑːnɯm
harplar	hɑrplɑr
harpy	hɑrpɯ
hasap	hasaːp
haty	hɑtɯ
iki	ɪkɪ
islandiýaly	islandijalɯ
it	ɪ̞t
iň	ɪŋ
iş	iːʃ
j	dʒ
jady	dʑaːdɪ
jadygöý	dʑaːdɪgøj
je	dʒe
jogap	dʒogaːp
kitap	kitaːp
korol	qʰoɾol
körük	kœɾyk
küýsemek	kʏjsɛmɛk
küşt	kyst
l	l
lampa	lampa
limon	lɪmon
lýul	ijuɫ
m	m
matematika	matemɑtika
meniň	menŋ
monjuk	moːndʒʊk
muzeý	muðej
myhman	mɯxmɑːn
münmek	mʏnmɛk
müň	myŋ
n	n
narynç	naːrɯntʃ
nol	nol
oktýabr	oktjɑbɪ̞r
ot	ɔt
ot	ɔːt
p	p
reňk	reŋk
s	s
s	θ
sekiz	θekið
suw	θuβ
syýasat	søjˈɑsˈɑt
t	t
tat	tʰat
teňňe	teŋˈɛ
töre	tʰøɾø
türkmen	tˈʏɾkmən
w	β
watan	βatan
watançylyk	βatantʃɯlɯk
yşyk	ɯʃɯk
z	z
z	ð
ä	æ
ä	æː
ç	tʃ
çarşenbe	tʃarʃɛnbe
ö	ø
ö	øː
öldürmek	ølːʏɾmøk
ü	y
ü	yː
ý	j
ýa	ja
ýagşy	yɑgʃɯ
ýanwar	jɑnmaɾ
ýat	jɑːt̚
ýaş	jaːʃ
ýaşyl	jɑːɕɨl
ýe	je
ýel	jɛl
ýok	joːk
ýylan	jɯlaːn
ýyldyrym	jɯɫdɯɾɯm
ýyldyz	jɯldɯð
ýüz	jyð
ýüzüň	jyðyŋ
ÿüzüñ	jyðyŋ
ň	ŋ
ş	ʃ
ž	ʒ
žiraf	ʒiraɸ
žurnal	ʒurnal
