є	jɛ
єва	jɛʋɐ
євангеліє	jeʋanɦelʲije
євген	jeu̯ɦɛn
євгененко	jeu̯ɦenɛnkɔ
євгенович	jeu̯ɦɛnɔʋetʃ
євгеній	jeu̯ɦɛnʲii̯
євгенія	jeu̯ɦɛnʲijɐ
євдокія	jeu̯dokʲijɐ
євпаторія	jeu̯pɐtɔrʲijɐ
євразія	jeu̯razʲijɐ
євробачення	jeu̯rɔbatʃenʲːɐ
євромайдан	jeu̯rɔmɐi̯dan
європа	jeu̯rɔpɐ
європи	jeu̯rɔpe
європо	jeu̯rɔpɔ
європою	jeu̯rɔpɔjʊ
європу	jeu̯rɔpʊ
європі	jeu̯rɔpʲi
євросоюз	jeu̯rɔsɔjuz
єгипет	jeɦɪpet
єгор	jeɦɔr
єгорович	jeɦɔrɔʋetʃ
єгорів	jeɦɔrʲiu̯
єзуч	jɛzʊtʃ
єлизавета	jeɫezɐʋɛtɐ
єлисаветград	jeɫesɐʋedɦrad
єлисей	jeɫesɛi̯
єллоунайф	jeɫːɔʊnai̯f
єльський	jɛlʲsʲkei̯
ємен	jɛmen
єнакієве	jenakʲijeʋe
єреван	jereʋan
єременко	jerɛmenkɔ
єрмак	jermak
єрусалим	jerʊsɐɫɪm
єфименко	jefɪmenkɔ
єґипет	jegɪpet
іпсо	ipsɔ
іпсо	ipsɔ
іван	iʋan
іваненко	iʋɐnɛnkɔ
іванко	iʋankɔ
іванків	iʋanʲkʲiu̯
іванна	iʋanːɐ
іванов	iʋɐnɔu̯
іванова	iʋɐnɔʋɐ
іванови	iʋɐnɔʋe
іванович	iʋanɔʋetʃ
іванів	iʋanʲiu̯
іванівна	iʋanʲiu̯nɐ
івасик	iʋasek
івасюк	iʋɐsʲuk
ігор	iɦɔr
ігоревич	iɦɔreʋetʃ
ігоренко	iɦɔrɛnkɔ
ігорьович	iɦɔrʲɔʋetʃ
ізмаїл	izmɐjiɫ
ізмаїлщина	izmɐjiɫʃtʃenɐ
ізмір	izʲmʲir
ізраїль	izrajilʲ
ізюм	izʲum
ізяслав	izʲasɫɐu̯
ікалуїт	ikɐɫujit
іларіон	iɫɐrʲiɔn
ілля	ilʲːa
ілліной	ilʲːinɔi̯
іллінойс	ilʲːinɔi̯s
іллінці	ilʲːinʲtsʲi
іллірія	ilʲːirʲijɐ
ілліч	ilʲːitʃ
іловайськ	iɫɔʋai̯sʲk
ілона	iɫɔnɐ
ілонин	iɫɔnen
ілько	ilʲkɔ
індонезія	indɔnɛzʲijɐ
індіана	inʲdʲianɐ
індія	inʲdʲijɐ
інкерман	inkerman
інна	inːɐ
інні	inʲːi
інстаграм	instɐɦram
інтернет	internɛt
ірак	irak
іран	iran
ірин	iren
ірин	irɪn
ірина	irɪnɐ
іринин	irɪnen
ірландія	irɫanʲdʲijɐ
ірміно	irmʲinɔ
ірод	irɔd
ірпінь	irpʲinʲ
іршава	irʃaʋɐ
ісламабад	isɫɐmɐbad
ісландія	isɫanʲdʲijɐ
іспанію	ispanʲijʊ
іспанія	ispanʲijɐ
іспаніє	ispanʲije
іспанією	ispanʲijejʊ
іспанії	ispanʲiji
ісус	isus
італія	italʲijɐ
італії	italʲiji
ічкерія	itʃkɛrʲijɐ
ічня	itʃnʲɐ
іщенко	iʃtʃenkɔ
їглава	jiɦɫɐʋɐ
їжакевич	jiʒɐkɛʋetʃ
а	a
аес	ɐɛs
ато	ɐtɔ
ааре	aɐre
аарон	ɐarɔn
аарґау	aɐrgɐʊ
аахен	ɐaxen
аба	ɐba
абадан	ɐbɐdan
абакан	ɐbɐkan
абаїанг	ɐbɐjianɦ
абрам	ɐbram
абруццо	ɐbrutsːɔ
абуджа	ɐbudʒɐ
абхазія	ɐbxazʲijɐ
августа	ɐu̯ɦustɐ
августів	ɐu̯ɦusʲtʲiu̯
авдіївка	ɐu̯dʲijiu̯kɐ
аврам	ɐu̯ram
авраменко	ɐu̯ramenkɔ
аврорин	ɐu̯rɔren
австралія	ɐu̯stralʲijɐ
австрія	au̯stʲrʲijɐ
агафія	ɐɦafʲijɐ
агеєнко	ɐɦɛjenkɔ
агнеса	ɐɦnɛsɐ
агри	ɐɦrɪ
адам	ɐdam
адаменко	ɐdamenkɔ
адамович	ɐdamɔʋetʃ
адана	ɐdɐna
аджарія	ɐdʒarʲijɐ
адияман	ɐdejɐman
адріан	ɐdʲrʲian
адріанович	ɐdʲrʲianɔʋetʃ
аерофлот	ɐerɔfɫɔt
азербайджан	ɐzerbɐi̯dʒan
азов	ɐzɔu̯
азію	azʲijʊ
азія	azʲijɐ
азіє	azʲije
азією	azʲijejʊ
азії	azʲiji
айдаго	ai̯dɐɦɔ
айдахо	ai̯dɐxɔ
айова	ajɔʋɐ
аккра	akːrɐ
алабама	ɐɫɐbamɐ
албанія	ɐɫbanʲijɐ
александрія	ɐɫeksɐndʲrʲijɐ
алжир	ɐɫʒɪr
алла	aɫːɐ
