10منٹ	ɒnməɳʈ
۱۲۰۰سال	ɪɾɑːsɑːl
1آ	ɑː
2آ	ɑː
2سپاہی	ʃɑpʰɑhiː
۵۲بیس	beːs
5-اور-0	ʔuːr
5منٹ	pʰəˈnʌt
6فٹ	ʃɪft
8میٹراونچی	ʔeːmɪt̪ɾɔ̃ːtʃiː
an-ایک	ənɪk
âµéہا	ɑːmɑːr
âµµاك	ɑːk
àء	ɑː
âءِ	ə
âءْہج	ɑːhɑːdʒ
âآë	ɑːr
âإéہج	æɪdʒ
âاد	ɑːd̪
àادءِ	ɑːd̪eː
âادہـ	ɑːd̪ɑː
àارإ	ɑːrɪ
àاط	ɑːʈ
âب	ɑːb
a-دس	əd̪əs
âہ	ɑː
àہا	ɑːhɑː
âہج	əɦdʒ
âہخءِ	ɑːx
âہد	əɦd̪
àہع	əɪ
âہه	əɦe
âہهہ	ɑːhɑː
âہهہش	ɑːɦɑːʃ
çµéہج	ʃɪkɑːr
çءِ	ə
çءِہا	ɪha
çؤ	ʃɔː
çإآ	ʃɑː
çاد	ʃɑːd
çادءِ	ʃɑːdɪ
çار	ʃɑr
çارءِ	ʃɑːrɪ
çاز	ʃɑz
çاط	ʈʌ
çاك	ʃɑk
çب	ʃɑb
çہ	ʃɑː
çہûہخ	ʃɑɪ
çہج	ʃɑdʒ
çہجءِ	ʃɑdʒ
çہش	ʃɑʃ
çہع	ʃɑɾ
çہه	ɪ
ëµا	ɑː
êµاءِ	æ
èء	æ
ëء	æ
ëءِ	ə
ëءِءّµµ	əɪ
ëأâµئ	ɪɾʈɑːɪ
ëأâµئہ	ɑːɽɑː
ëأâµا	ɪkˈsɑːr
èإد	ɛːd
èئ	ɛː
ëئْ	ɛː
ëا	ɑː
ëاا	əː
éاد	æd
ëاد	ɑːd
ëاذ	ɑːð
ëار	ɑr
ëاز	ɑz
ëاش	ɑːʃ
ëاص	ɑːs
éاط	əɪt̪
ëاط	əˈt̪ɑːt̪
èاط	əʈ
