1آ	ɑː
2آ	ɑː
2سپاہی	ʃɑpʰɑhiː
8میٹراونچی	ʔeːmɪt̪ɾɔ̃ːtʃiː
a-دس	əd̪əs
an-ایک	ənɪk
g-چیٹ	gɪtʃʰeːt̪
h-ہولڈ	ɦoːlɗ
ha-ha-ha-ہا	hahaːhaː
one-اٹھانوے	əʈʰənoe
s-اس	əs
µàہ	ɑː
µéہا	ɑː
µا	ɑː
µاµµ	ɑːɾʌ
µاص	ʔɑs
µب	ɑːb
µر	əɾ
µرہ	ɾə
àء	ɑː
àارإ	ɑːrɪ
àہا	ɑːhɑː
âµµاك	ɑːk
âءْہج	ɑːhɑːdʒ
âاد	ɑːd̪
âادہـ	ɑːd̪ɑː
âب	ɑːb
âہ	ɑː
âہج	əɦdʒ
âہخءِ	ɑːx
âہد	əɦd̪
âہه	əɦe
âہهہ	ɑːhɑː
çؤ	ʃɔː
çادءِ	ʃɑːdɪ
çاز	ʃɑz
çاك	ʃɑk
çب	ʃɑb
èء	æ
èإد	ɛːd
èاط	əʈ
èب	ɛb
èہا	əɪ
éاد	æd
éب	ɛb
éہ	ə
êµاءِ	æ
êہج	əɪdʒ
ëµا	ɑː
ëأâµئ	ɪɾʈɑːɪ
ëئْ	ɛː
ëا	ɑː
ëاا	əː
ëاد	ɑːd
ëاذ	ɑːð
ëار	ɑr
ëاش	ɑːʃ
ëاص	ɑːs
ëاطءل	ʔɑːt̪ɑːl
ëہدءِµµ	ɛːɦd̪eː
ëہه	əhe
îµً	ɪmɾ
îµّءِ	ɪmˈɾi
îءل	ɪl
îءِ	ɪ
îءّ	ɪtː
îآ	ɑː
îآî	ɪɑː
îاد	iːɑːd
îار	ɑr
îاك	ɪk
ïاد	ɛːd
ôاد	ɔːd
ôادµç	ɔːd̪uː
ôار	ɔːr
ùہا	ʊɦɑ
ûآïار	ɑːɪr
ûآïاط	ɑːɪt̪
ûاكءِ	ɑːkɪ
ûہج	əʊɦdʒ
üءكµéہج	ʊkægʲeː
،	ʔ
؛	ʃ
ء	ʔ
ءµر	əɾ
ءء	ʔ
ءءءْ	ʔaː
ءءل	əɭ
ءءلءِ	əːlɪ
ءءہ	əː
ءأؤ	ɑːu
ءاك	əˈk
ءث	əθ
ءز	əˈz
ءض	əɖ
ءضء	ʔɑdʒ
ءضءِ	ʔɑdʒi
ءضااإح	əzaːɪh
ءضااإحہا	əzaːɪhɑː
ءضہخ	əɖʌx
ءط	ʔəʈ
ءك	ək
ءكار	əˈkɑr
ءكاك	əˈkɑk
ءٌ	ʔ
ءُ	ʔuː
ءِ	ʔ
ءِؤر	əɾ
ءِؤرءض	əɾɽəɖ
ءِا	ə
ءِاد	ɑːd
ءّ	ʔ
ءْ	ʔ
ءْہج	əɦdʒ
ءہضءِ	əɦd̪ə
آ	ɑː
آµ	ɑː
آµé	ɑːmɑːr
آë	ɑː
آî	ɑːi
آïءْ	ɑːɪ
آû	ɑːu
آü	ɑːu
آءِ	ɑː
آءِµµ	ɑːiː
آءّ	ɑː
آؤ	ɑu
آؤنگا	ɔːŋgə
آؤٹ	ɔːʈ
آؤٹر	ɔːʈəɾ
آؤں	ɔ̃
آئرس	ɑːɪrs
آئرش	ɑːɪrʃ
آئرن	ɑːɪrn
آئس	ɑɪs
آئلے	ɑːleː
آئندہ	ɑːɪnd̪ə
آئی	əɪ
آئیلینڈ	ɑɪlɑːnd
آئین	ɑːɪ̃ːn
آئیندہ	ɑːɪndə
آئینی	ɑːiːniː
آئیڈیا	ɑːɪdɪjɑː
آئیں	ɑ̃ẽ
آئیے	aije
آئے	ɑːjeː
آاط	ɑːt̪
آاکنوں	ɑːkənõː
آب	ɑːb
آباد	ɑːbɑːd
آبادکاروں	ɑːbɑːd̪kɑːroːŋ
آبادی	ɑːbɑːd̪iː
آبشار	ɑːbʃɑːr
آبشاروں	ɑːbʃɑːrʊ̃
آت	ɑːt̪
آتا	ɑːt̪ɑː
آتش	ɑːt̪ʃ
آتشیں	ɑːt̪ʃeːn
آتہ	ɑːt̪ə
آتی	ɑːt̪iː
آتے	ɑːteː
آثار	ɑːt̪ɑːr
آج	əg
آجا	ɑːdʒɑː
آجاؤ	əˈdʒɔː
آجائیں	ədʒɑːɪ̃
آجاتا	əˈdʒət̪ə
آخرکار	ɑːkɛrkɑːr
آداب	ɑːdɑːb
آداب	ɑːd̪ɑːb
آدم	ɑːd̪əm
آدمی	ɑːd̪miː
آدمیوں	ɑːd̪mijõː
آدھ	ɑːd̪ʱ
آدھی	əːd̪ʱiː
آدھے	ɑːd̪ʱeː
آذربائیجان	ɑːzɛɾbɑːɪjɑːn
آر	ɑːr
آرا	ɑːrɑː
آرائش	ɑːɾɑːɪʃ
آرام	ɑːrɑːm
آرسیی	ɑːɾsiː
آرلینڈو	ɑːrlɛnɖoː
آرمن	ɑːrmeːn
آرٹ	ɑːɾt̪
آرٹ	ɑːɾʈ
آرٹلری	ɑːɾt̪ɪlɾiː
آرٹی	ɑːrt̪iː
آرڈر	ɑːɾd̪əɾ
آرڈمر	ɑːɾd̪mər
آرکائیو	ɑːɾkɑːɪuː
آرگنائزیشن	ɑːrgɪnaɪˈʒiːʃən
آرہا	ɑːɾʰɑː
آرہی	ɑːɾʰiː
آرہے	ɑːrɑːe
آریئر	ɑːriːjəɾ
آریائی	ɑːɾiːɑː
آزاد	ɑːzɑːd
آزادانہ	ɑːzɑːd̪ɑːnə
آزادی	ɑːzɑːdɪ
آزادی	ɑːzɑːd̪iː
آزادیوں	ɑːzɑːd̪ijõː
آزما	ɑːzmɑː
آزمائش	ɑːzmɑːiːʃ
آس	ɑːs
آسان	ɑːsɑːn
آسانی	ɑːsɑːni
