2	ɛkːɛ
adabiyotlarga	adɒbiˈjɒtˈlɒɾˈgɒˈ
adabiyotlarimizni	ɒdɒbiˈjɒtlɒɾˈimizni
adabiyotlaringizga	ɒdɒvijɒtlɒɾiˈngizgɒˈ
adolatimiz	adɒlɒtˈimniˈz
adolatingizda	ɒdɒlˈt̪iˈnˈgizdɒ
adolatlardan	adolatlaːrdan
adolatlarga	ɒdɒlɒtˈlɒɾˈgɒ
adolatlari	ɒdɒɒtˈlɒɾi
adolatlarimizda	ɒdɒlɒtlɒɾˈiˈizdɒˈ
adolatlaringizda	adɒˈlætˈlɒriˈngizdɒ
adolatlaringizdan	adɒːlætælɒriːngizdɒːn
aeroplan	ajɾoplan
aeroport	ɒeɾɒˈpɒɾt
afrika	afriːkə
ahl	ɑːhl
aka	akˈa
akalar	agɒlɒɾˈ
akula	akulə
akuladan	akuladæn
akulalarda	akulɑlaɾda
akulalarimizga	akulɒlɾˈimiˈzgɒ
akulalaringizni	akulɒlaˈɾingizni
akulamdan	akulhəmdaːn
akulamni	akulɒˈmna
akulasida	akulasədˈa
albomlar	ælbɒmlæɾ
alifbo	aˈlafbɒ
alpaka	alpakˈa
amerika	ameriːkæ
ammo	amma
amr	ɑmɑr
anakonda	anakɔnda
anatoliya	anatˈlija
angren	angɾan
anion	anjɒn
anionlar	ɒɾiˈonlɒɾ
anvar	ɑnvaɾ
anʼana	ɒnɵˈnɒ
aprel	apɾɛl
aprelda	apɾel̪d̪a
apreli	apɾelə
aprelim	apɾelam
aprelingizga	aprˈelˈiŋˈgizgɒ
aql	ɑqəl
arafa	araħla
argentina	arɣentina
arilar	ɒɾɒlɒɾ
arra	ara
arslon	aɾsloŋ
asal	asalɛ
asal	ɒˈsɒl
asalari	asalaɾa
asli	qɒsli
aslida	aːslida
aso	asɔ
aspanova	qɒspɒnɒvɒ
aspirantura	aspirontura
asralmoq	asˈralmˈok
asrdosh	asˈrdˈos
asta	astɛ
asta-asta	astaasta
astar	astɑr
astma	astmɛ
