a	a˧˥
á	a˩˧
à	a˦˨
ả	a˧˩˨
ạ	a˨ˀ˩ʔ
ác	ak˦˥
ắc	ăk˦˥
ặc	ăk˨ˀ˩ʔ
ác-bít	ak˦˥-bit˦˥
ắc-coóc	ăk˦˥-kɔkp˦˥
ách	ak˦˥
ạch	ak˨ˀ˩ʔ
ác-ten	ak˦˥-tɛŋ˧˥
a-di-đà	a˧˥-ji˧˥-da˦˨
â,	ɤ̆˧˥
ai	aj˧˥
ái	aj˩˧
ải	aj˧˩˨
a-lê	a˧˥-le˧˥
am	am˧˥
ám	am˩˧
ăm	ăm˧˥
ẵm	ăm˧˩˨
ảm	am˧˩˨
âm	ɤ̆m˧˥
ấm	ɤ̆m˩˧
ấm,	ɤ̆m˩˧
ầm	ɤ̆m˦˨
ẫm	ɤ̆m˧˩˨
ẩm	ɤ̆m˧˩˨
ậm	ɤ̆m˨ˀ˩ʔ
a-mi-nô	a˧˥-mi˧˥-no˧˥
am-pe	am˧˥-pɛ˧˥
an	aŋ˧˥
án	aŋ˩˧
ăn	ăŋ˧˥
ăn,	ăŋ˧˥
ăn;	ăŋ˧˥
ân	ɤ̆ŋ˧˥
ấn	ɤ̆ŋ˩˧
ẩn	ɤ̆ŋ˧˩˨
ang	aŋ˧˥
áng	aŋ˩˧
ăng	ăŋ˧˥
ắng	ăŋ˩˧
ằng	ăŋ˦˨
ẳng	ăŋ˧˩˨
(anh)	an˧˥
anh	an˧˥
anh,	an˧˥
ánh	an˩˧
ành	an˦˨
ảnh	an˧˩˨
ao	aw˧˥
ao,	aw˧˥
áo	aw˩˧
Áo	aw˩˧
áo	aw˩˧
áo,	aw˩˧
ào	aw˦˨
ảo	aw˧˩˨
ạo	aw˨ˀ˩ʔ
áp	ap˦˥
ấp	ɤ̆p˦˥
ập	ɤ̆p˨ˀ˩ʔ
a-rập	a˧˥-ʐɤ̆p˨ˀ˩ʔ
át	ak˦˥
ắt	ăk˦˥
ất	ɤ̆k˦˥
au	ăw˧˥
âu	ɤ̆w˧˥
Âu	ɤ̆w˧˥
âu	ɤ̆w˧˥
Âu	ɤ̆w˧˥
âu	ɤ̆w˧˥
Âu	ɤ̆w˧˥
âu	ɤ̆w˧˥
ấu	ɤ̆w˩˧
ầu	ɤ̆w˦˨
ẩu	ɤ̆w˧˩˨
a-xê-ti-len	a˧˥-se˧˥-ti˧˥-lɛŋ˧˥
a-xít	a˧˥-sit˦˥
ay	ăj˧˥
áy	ăj˩˧
ấy	ɤ̆j˩˧
ba	ba˧˥
ba,	ba˧˥
bá	ba˩˧
bà	ba˦˨
bã	ba˧˩˨
bả	ba˧˩˨
bạ	ba˨ˀ˩ʔ
bác	bak˦˥
bác,	bak˦˥
bắc	băk˦˥
bạc	bak˨ˀ˩ʔ
bặc	băk˨ˀ˩ʔ
bấc	bɤ̆k˦˥
bậc	bɤ̆k˨ˀ˩ʔ
bách	bak˦˥
bạch	bak˨ˀ˩ʔ
bai	baj˧˥
bái	baj˩˧
bài	baj˦˨
bài,	baj˦˨
bãi	baj˧˩˨
bải	baj˧˩˨
bại	baj˨ˀ˩ʔ
bam	bam˧˥
bám	bam˩˧
bàm	bam˦˨
băm	băm˧˥
bặm	băm˨ˀ˩ʔ
bấm	bɤ̆m˩˧
bầm	bɤ̆m˦˨
bẫm	bɤ̆m˧˩˨
bẩm	bɤ̆m˧˩˨
bậm	bɤ̆m˨ˀ˩ʔ
ban	baŋ˧˥
bán	baŋ˩˧
bán,	baŋ˩˧
bàn	baŋ˦˨
băn	băŋ˧˥
bắn	băŋ˩˧
bằn	băŋ˦˨
bẳn	băŋ˧˩˨
bản	baŋ˧˩˨
bạn	baŋ˨ˀ˩ʔ
bạn,	baŋ˨ˀ˩ʔ
bân	bɤ̆ŋ˧˥
bấn	bɤ̆ŋ˩˧
bần	bɤ̆ŋ˦˨
bẩn	bɤ̆ŋ˧˩˨
bận	bɤ̆ŋ˨ˀ˩ʔ
bang	baŋ˧˥
báng	baŋ˩˧
bàng	baŋ˦˨
băng	băŋ˧˥
bắng	băŋ˩˧
bằng	băŋ˦˨
bẵng	băŋ˧˩˨
bảng	baŋ˧˩˨
bạng	baŋ˨ˀ˩ʔ
bặng	băŋ˨ˀ˩ʔ
bâng	bɤ̆ŋ˧˥
bầng	bɤ̆ŋ˦˨
băng-giô	băŋ˧˥-jo˧˥
bánh	ban˩˧
bành	ban˦˨
bành,	ban˦˨
bảnh	ban˧˩˨
bạnh	ban˨ˀ˩ʔ
bao	baw˧˥
báo	baw˩˧
bào	baw˦˨
bão	baw˧˩˨
bảo	baw˧˩˨
bạo	baw˨ˀ˩ʔ
bắp	băp˦˥
bấp	bɤ̆p˦˥
bập	bɤ̆p˨ˀ˩ʔ
bát	bak˦˥
bát,	bak˦˥
bắt	băk˦˥
bạt	bak˨ˀ˩ʔ
bặt	băk˨ˀ˩ʔ
bất	bɤ̆k˦˥
bật	bɤ̆k˨ˀ˩ʔ
ba-trui,	ba˧˥-ʈuj˧˥
bát-tràng,	bak˦˥-ʈaŋ˦˨
báu	băw˩˧
bàu	băw˦˨
bảu	băw˧˩˨
bạu	băw˨ˀ˩ʔ
bâu	bɤ̆w˧˥
bấu	bɤ̆w˩˧
bầu	bɤ̆w˦˨
bậu	bɤ̆w˨ˀ˩ʔ
ba-xí	ba˧˥-si˩˧
bay	băj˧˥
bày	băj˦˨
bảy	băj˧˩˨
bảy,	băj˧˩˨
bây	bɤ̆j˧˥
bấy	bɤ̆j˩˧
bầy	bɤ̆j˦˨
bẫy	bɤ̆j˧˩˨
bẩy	bɤ̆j˧˩˨
bậy	bɤ̆j˨ˀ˩ʔ
bê	be˧˥
bế	be˩˧
bề	be˦˨
bể	be˧˩˨
bệ	be˨ˀ˩ʔ
be	bɛ˧˥
be,	bɛ˧˥
bé	bɛ˩˧
bè	bɛ˦˨
bẽ	bɛ˧˩˨
bẻ	bɛ˧˩˨
bẹ	bɛ˨ˀ˩ʔ
béc	bɛk˦˥
bệch	bet˨ˀ˩ʔ
bem	bɛm˧˥
bèm	bɛm˦˨
bẻm	bɛm˧˩˨
bên	ben˧˥
bến	ben˩˧
bền	ben˦˨
bện	ben˨ˀ˩ʔ
bén	bɛŋ˩˧
bèn	bɛŋ˦˨
bẽn	bɛŋ˧˩˨
beng	bɛŋ˧˥
bênh	ben˧˥
bềnh	ben˦˨
bệnh	ben˨ˀ˩ʔ
beo	beo˧˥
béo	beo˩˧
bèo	beo˦˨
bèo,	beo˦˨
bẻo	beo˧˩˨
bếp	bep˦˥
bép	bɛp˦˥
bẹp	bɛp˨ˀ˩ʔ
bết	bet˦˥
bệt	bet˨ˀ˩ʔ
bét	bɛk˦˥
bẹt	bɛk˨ˀ˩ʔ
bê-tông	be˧˥-toŋm˧˥
bêu	bɛu˧˥
bều	bɛu˦˨
bệu	bɛu˨ˀ˩ʔ
bia	biə˧˥
bìa	biə˦˨
bịa	biə˨ˀ˩ʔ
bi	bi˧˥
bí	bi˩˧
bì	bi˦˨
bĩ	bi˧˩˨
bỉ	bi˧˩˨
bị	bi˨ˀ˩ʔ
bích	bit˦˥
bích-câu	bit˦˥-kɤ̆w˧˥
biếc	biək˦˥
biếm	biəm˩˧
biên	biəŋ˧˥
biến	biəŋ˩˧
biền	biəŋ˦˨
biển	biəŋ˧˩˨
biển,	biəŋ˧˩˨
biện	biəŋ˨ˀ˩ʔ
biêng	biəŋ˧˥
biếng	biəŋ˩˧
biết	biək˦˥
biết,	biək˦˥
biệt	biək˨ˀ˩ʔ
biếu	biəw˩˧
biểu	biəw˧˩˨
bìm	bim˦˨
bỉm	bim˧˩˨
bin	bin˧˥
bín	bin˩˧
bịn	bin˨ˀ˩ʔ
binh	bin˧˥
bính	bin˩˧
bình	bin˦˨
bĩnh	bin˧˩˨
bỉnh	bin˧˩˨
bíp	bip˦˥
bịp	bip˨ˀ˩ʔ
bít	bit˦˥
bịt	bit˨ˀ˩ʔ
bịt;	bit˨ˀ˩ʔ
bíu	biw˩˧
bìu	biw˦˨
bĩu	biw˧˩˨
bơ	bɤ˧˥
bớ	bɤ˩˧
bờ	bɤ˦˨
bờ,	bɤ˦˨
bỡ	bɤ˧˩˨
bở	bɤ˧˩˨
bở,	bɤ˧˩˨
bợ	bɤ˨ˀ˩ʔ
bô	bo˧˥
bố	bo˩˧
bồ	bo˦˨
bỗ	bo˧˩˨
bổ	bo˧˩˨
bộ	bo˨ˀ˩ʔ
bo	bɔ˧˥
bo,	bɔ˧˥
bó	bɔ˩˧
(bò)	bɔ˦˨
bò	bɔ˦˨
bò;	bɔ˦˨
bõ	bɔ˧˩˨
bỏ	bɔ˧˩˨
bọ	bɔ˨ˀ˩ʔ
bốc	bokp˦˥
bộc	bokp˨ˀ˩ʔ
bóc	bɔkp˦˥
bọc	bɔkp˨ˀ˩ʔ
bơi	bɤj˧˥
bới	bɤj˩˧
bời	bɤj˦˨
bởi	bɤj˧˩˨
bôi	boj˧˥
bối	boj˩˧
bồi	boj˦˨
bổi	boj˧˩˨
bội	boj˨ˀ˩ʔ
bói	bɔj˩˧
bói,	bɔj˩˧
bòi	bɔj˦˨
bơm	bɤm˧˥
bờm	bɤm˦˨
bợm	bɤm˨ˀ˩ʔ
bôm	bom˧˥
bồm	bom˦˨
