aberaeron	abɛreɨ̯rɔn
aberafan	abɛravan
aberdaugleddau	abɛrdaɨ̯ɡlɛða
aberdaugleddau	abɛrdaɨ̯ɡlɛðaɨ̯
aberdaugleddau	abɛrdaɨ̯ɡlɛðɛ
aberdâr	abɛrdaːr
abergele	abɛrɡɛlɛ
abergwaun	abɛrɡwaɨ̯n
aberhonddu	abɛrhɔnðɨ
abermaw	abɛrmau̯
abermaw	abɛrmɔ
abermaw	bɛrmɔ
abertawe	abɛrtau̯ɛ
aberteifi	abɛrtei̯vi
aberystwyth	abɛrəsdwɨ̞θ
adda	aða
addien	aðiɛn
adfent	advɛnt
adwen	adwɛn
aeddan	ei̯ðan
aeddon	ei̯ðɔn
aelan	ei̯lan
aelwen	ei̯lwɛn
aelwyn	ei̯lwɪn
aeres	eɨ̯rɛs
aerfen	ei̯rvɛn
aeron	ei̯rɔn
aerona	ei̯roːna
aeronwen	ei̯rɔn
aeronwy	ei̯rɔnʊi̯
aethwy	ei̯θʊi̯
afallon	avaɬɔn
afan	avan
affganistan	afɡanɪsdan
affrica	afrɪka
affrig	afrɪɡ
afonwy	avɔnʊi̯
agnes	aɡnɪs
agnest	aɡnɛst
aidan	ei̯dən
aiden	ei̯dən
aifft	ai̯fd
aifft	ərai̯fd
alan	alan
alana	alana
alaw	alau̯
alawn	alau̯n
alban	alban
alban	əralban
albaneg	albanɛɡ
albania	albanja
alcwyn	alkʊi̯n
aldith	aldɪθ
aldrydd	aldrəð
aldwyn	aldʊi̯n
aldwyth	aldʊi̯θ
aldyth	aldɪθ
alec	alɪk
aled	alɛd
algeria	ald͡ʒiːrja
algeria	ald͡ʒɛrja
alis	alɨ̞s
alltwen	aɬtwɛn
allwyd	aɬʊi̯d
almaen	almaɨ̯n
almaen	əralmaɨ̯n
almaeneg	almeɨ̯nɛɡ
almaenwr	almeɨ̯nʊr
alon	alɔn
alpaidd	alpai̯ð
alpaidd	alpɛð
alpau	alpa
alpau	alpaɨ̯
alpau	alpɛ
alun	alɪn
aluna	alɪna
alwen	alwɛn
alwena	alwɛna
alwina	alwɪna
alwyn	alʊi̯n
alys	alɨ̞s
aman	aman
amanwy	amanʊi̯
america	amɛrɪka
amerig	amɛrɪɡ
amerig	əramɛrɪɡ
amig	amɪɡ
amlawdd	amlau̯ð
amlodd	amloːð
