a	aː
aberaeron	abɛrei̯rɔn
aberafan	abɛravan
aberafan	abɛraːvan
aberdaugleddau	abɛrdai̯ɡleːðai̯
aberdaugleddau	abɛrdai̯ɡleːðɛ
aberdaugleddau	abɛrdai̯ɡlɛðai̯
aberdaugleddau	abɛrdai̯ɡlɛðɛ
aberdâr	abɛrdaːr
abergele	abɛrɡeːlɛ
abergele	abɛrɡɛlɛ
abergwaun	abɛrɡwai̯n
aberhonddu	abɛrhɔnði
abermaw	abɛrmau̯
abermaw	abɛrmɔ
abermaw	bɛrmɔ
abertawe	abɛrtau̯ɛ
aberteifi	abɛrtei̯vi
aberteifi	abɛrtiːvi
aberystwyth	abɛrəsdwɪθ
aberystwyth	abɛrəsdʊi̯θ
adda	aða
addien	aðiɛn
adfent	advɛnt
adwen	adwɛn
aeddan	ei̯ðan
aeddon	ei̯ðɔn
aelan	ei̯lan
aelwen	ei̯lwɛn
aelwyn	ei̯lwɪn
aeres	ei̯rɛs
aerfen	ei̯rvɛn
aeron	ei̯rɔn
aerona	ei̯roːna
aeronwen	ei̯rɔn
aeronwy	ei̯rɔnʊi̯
aethwy	ei̯θʊi̯
afallon	avaɬɔn
afan	avan
affganistan	afɡanɪsdan
affrica	afrɪka
affrig	afrɪɡ
afonwy	avɔnʊi̯
agnes	aɡnɪs
agnest	aɡnɛst
aidan	ei̯dən
aiden	ei̯dən
aifft	ai̯fd
aifft	ərai̯fd
alan	alan
alana	alana
alaw	alau̯
alawn	alau̯n
alban	alban
alban	əralban
albaneg	albanɛɡ
albania	albanja
alcwyn	alkʊi̯n
aldith	aldɪθ
aldrydd	aldrəð
aldwyn	aldʊi̯n
aldwyth	aldʊi̯θ
aldyth	aldɪθ
alec	alɪk
aled	alɛd
algeria	ald͡ʒiːrja
algeria	ald͡ʒɛrja
alis	alɪs
alltwen	aɬtwɛn
allwyd	aɬʊi̯d
almaen	almai̯n
almaen	əralmai̯n
almaeneg	almei̯nɛɡ
almaenwr	almei̯nʊr
alon	alɔn
alpaidd	alpai̯ð
alpaidd	alpɛð
alpau	alpai̯
alpau	alpɛ
alun	alɪn
aluna	alɪna
alwen	alwɛn
alwena	alwɛna
alwina	alwɪna
alwyn	alʊi̯n
alys	alɪs
aman	aman
amanwy	amanʊi̯
america	amɛrɪka
amerig	ameːrɪɡ
amerig	amɛrɪɡ
amerig	ərameːrɪɡ
amerig	əramɛrɪɡ
amig	amɪɡ
amlawdd	amlau̯ð
amlodd	amloːð
amlyn	amlɪn
amos	amɔs
amranwen	amranwɛn
amwythig	amʊi̯θɪɡ
anarawd	anarau̯d
andras	andras
andreas	andrɛas
andro	androː
androw	androu̯
aneira	anei̯ra
aneirin	anei̯rɪn
aneirwen	anei̯rwɛn
anes	anɛs
anest	anɛst
aneurin	anei̯rɪn
angell	anɡɛɬ
angharad	aŋhaːrad
angola	aŋɡoːla
angola	aŋɡɔla
anhun	anhɪn
ania	anja
anian	anjan
anita	aniːta
anlawdd	anlau̯ð
ann	an
anna	ana
annalyn	analɪn
annell	anɛɬ
annes	anɛs
annest	anɛst
anni	aniː
annun	anɪn
annwyl	anʊi̯l
anona	anɔna
antigwa	antɪɡwa
antur	antɪr
anwen	anwɛn
anwn	anʊn
anwyl	anʊi̯l
anwylyn	anʊi̯lɪn
arad	aːrad
aran	aːran
aranli	aranli
arglwydd	arɡlʊi̯ð
arglwyddes	arɡlʊi̯ðɛs
arglwyddesau	arɡlʊi̯ðɛsai̯
arglwyddesau	arɡlʊi̯ðɛsɛ
ariannin	arjanɪn
ariannin	ərarjanɪn
arianrhod	arjanr̥ɔd
armenia	armɛnja
arthwys	arθʊi̯s
arwel	arwɛl
aserbaijan	azɛrbai̯d͡ʒan
athen	aθɛn
awen	au̯ɛn
awst	au̯sd
awstralia	au̯sdralja
awstria	au̯sdrja
bahamas	bahaːmaz
bangor	baŋɡɔr
baragwâi	baraɡwaːi̯
barbados	barbeːdɔs
barbiwda	barbɪu̯da
baris	baːrɪs
barri	bari
barti	barti
bedr	bɛdr
beibl	bei̯bl
beibl	bei̯bl̩
beibl	bei̯bɪl
beiblau	bei̯blai̯
beiblau	bei̯blɛ
belarws	bɛlarʊs
belffast	bɛlfasd
benin	bɛnɪn
beriw	bɛrɪu̯
berlin	bɛrlɪn
bermo	bɛrmɔ
berwig	bɛrwɪɡ
bhwtan	bʊtaːn
birmingham	bərmɪŋham
bolifia	bɔlɪvja
bordo	bɔrdoː
bortiwgal	bɔrtjʊɡal
bortiwgal	bɔrtɪu̯ɡal
bortiwgaleg	bɔrtɪu̯ɡaːlɛɡ
botswana	bɔtswaːna
brag	braːɡ
brasil	brazɪl
brecsit	brɛksɪt
brexit	brɛksɪt
bronwen	brɔnwɛn
brwsel	brʊsɛl
brydain	brədai̯n
brydain	brədɛn
brynbuga	brɪnbiːɡa
brynbuga	brɪnbɪɡa
bryste	brɪstɛ
brython	brəθɔn
brythoneg	brəθoːnɛɡ
brythoneg	brəθɔnɛɡ
bwlgaria	bʊlɡarja
bwllheli	bʊɬheːli
bwllheli	bʊɬhɛli
bwrwndi	bʊrʊndi
cbac	kbak
cthef	kᵊθɛv
cthef	ɛkθɛv
cthem	kᵊθɛm
cthem	ɛkθɛm
cadfael	kadvai̯l
caer	kai̯r
caerdydd	kai̯rdiːð
caerdydd	kərdiːð
caeredin	kai̯reːdɪn
caeredin	kai̯rɛdɪn
caerfaddon	kai̯rvaðɔn
caerfaddon	kai̯rvaːðɔn
caerffili	kai̯rfɪli
caerfyrddin	kai̯rvərðɪn
caerfyrddin	kvərðɪn
caerfyrddin	kərvərðɪn
caergaint	kai̯rɡai̯nt
caergrawnt	kai̯rɡrau̯nt
caergwrle	kaɪ̯rɡʊrlɛ
caergybi	kai̯rɡəbi
caerhirfryn	kai̯rhɪrvrɪn
caerliwelydd	kai̯rlɪu̯eːlɪð
caerliwelydd	kai̯rlɪu̯ɛlɪð
caerloyw	kai̯rlɔi̯u
caerlŷr	kai̯rliːr
caernarfon	kairnarvɔn
caersallog	kai̯rsaɬɔɡ
caerwrangon	kai̯rwraŋɔn
caerwynt	kai̯rwɪnt
caerwysg	kai̯rwɪsɡ
caerwysg	kai̯rʊi̯sɡ
caint	kai̯nt
cambodia	kambɔdja
cambodiad	kambɔdjad
cambodiaid	kambɔdjai̯d
cambodiaid	kambɔdjɛd
cambodiaidd	kambɔdjai̯ð
cambodiaidd	kambɔdjɛð
camerŵn	kamɛruːn
canada	kaːnada
canadaidd	kanaːdai̯ð
