aa	áá
aa	àá
aadọrin	àádɔ́ꜜɾĩ̄
aadọta	àádɔ́ꜜtā
aafin	ààfĩ̄
aago	āāɡō
aajin	ààdʒĩ̀
aajo	āádʒò
aakaragba	àákàɾàɡbá
aake	àáké
aala	ààlà
aamu	àámṹ
aanu	àánṹ
aapọn	ààkpɔ̃̀
aarin	àáɾĩ́
aarinọla	àáɾínɔ̄lá
aaro	ààɾò
aarọ	àáɾɔ̀
aarọ	ààɾɔ̀
aasiki	āásìkí
aasikiriimu	áásìkīɾīìmù
aawẹ	ààwɛ̀
aaya	àájá
aayan	àájã́
aayan	āájã́
aayan	āájã̄
aaye	ààjè
aayo	ààjò
aba	àbá
aba	àbā
aba	ābá
aba	ābà
abajọ	ābádʒɔ̄
abakaliki	ābākālīkī
abakọọsi	ābákɔ́ɔ̀sì
abari	àbàɾí
abarịṣa	àbāɾɪ̀ʃà
abata	àbàtà
abatao	àbàtàó
abẹ	ābɛ́
abẹ	ābɛ̄
abẹbẹ	ābɛ̀bɛ̀
abẹbi	àbɛ̀bí
abẹkẹ	àbɛ̀kɛ́
abẹla	àbɛ́là
abẹni	àbɛ̀nĩ́
abẹrẹ	ābɛ́ɾɛ́
abẹtẹ	ābɛ́tɛ̀
abẹtẹlẹ	àbɛ̀tɛ́lɛ̀
abetiaja	ābētíādʒá
abia	ábíá
abia	ābíá
abi	àbí
abidi	ábídí
abidi	ābídí
abigbẹyin	àbíɡbɛ̀jĩ̀
abiikọ	àbíìkɔ́
abikẹ	àbíkɛ́
abiku	àbíkú
abilekọ	ābīlékɔ̄
abimbọla	ābíŋ̄bɔ́lá
abiọdun	ābíɔ́dṹ
abiọna	ābíɔ́nã̀
abisinwin	àbísĩ́wĩ́
abiya	ābíjá
abiyamọ	ābījāmɔ̃̄
abiyẹ	ābìjɛ́
aboadiyẹ	ābōādìjɛ̄
aboaguntan	ābōàɡũ̀tã̀
aboaja	ābōādʒá
abọbaku	ābɔ́bākú
abobo	ābòbó
abọde	àbɔ̀dé
abọde	àbɔ̀dè
abọgibọpẹ	ābɔ̄ɡībɔ̀kpɛ̀
abolounjẹku	ābólóṹdʒɛ̄kú
aboorunyi	ābóòɾũ̀jí
abọriṣa	ābɔ̀ɾìʃà
abọruabọyeabọṣiṣẹ	àbɔ̄ɾúàbɔ̄jèàbɔ̄ʃíʃɛ̄
abọsẹde	ābɔ́sɛ̀dé
aboyun	ābōjṹ
abuda	àbùdá
abuja	àbúdʒá
abuke	ābūké
abule	ābúlé
aburada	ābùɾādà
aburada	ābūɾādà
aburahamu	ábúɾáhámù
aburo	àbúɾò
abuubutanabuke	àbùùbùtã́ābūké
abuubutan	àbùùbùtã́
achọ	ātʃɔ̄
ada	àdá
ada	ādà
adaba	àdàbà
adabalukofi	àdàbàlùkòfì
adado	àdádó
adagba	ādāɡbā
adagun	ādáɡṹ
adahunṣe	ādáhũ̄ʃē
adamawa	ādámáwá
adan	àdã́
adanida	àdánĩ̄dá
adanida	ādánĩ̄dá
ade	ādé
adebayọ	ādébájɔ̀
adebọbajọ	ādébɔ́bādʒɔ̄
adedẹwẹ	ādédɛ̀wɛ́
adediran	ādédìɾã̄
adedire	ādédīɾē
adedure	ādédūɾē
adefunkẹ	ādéfṹkɛ́
adegbamigbe	ādéɡbàmĩ́ɡbé
adegbemibu	ādéɡbémĩ̄bú
adeikẹ	ādéìkɛ́
adekiitẹ	ādékìítɛ̀
adekugbe	ādékùɡbé
adele	àdèlé
adenikẹ	ādénĩ́ꜜkɛ́
adenikẹẹ	ādénĩ́ꜜkɛ́
aderonkẹ	ādéɾóŋ̄kɛ́
adẹrupọkọ	ādɛ́ɾùkpɔ̄kɔ̀
adeṣina	ādéʃínã̀
adeyẹmi	ādéjɛ̄mĩ́
adeyẹmọ	ādéjɛ̄mɔ̃̄
adiẹ	ādìɛ̄
adiitu	àdììtú
adikala	ādíkálà
adimọlẹ	àdìmɔ̃́lɛ̀
adin	àdĩ́
adịn	àdɪ̃̀
adinumasọrọ	ādīnũ̄másɔ̀ɾɔ̀
adio	àdìó
adirẹsi	àdíɾɛ́sì
adiro	àdìɾò
adiro	àdìɾō
adiro	ādīɾō
adisa	àdìsá
aditi	ādītí
adiyẹ	ādìjɛ̄
ado	àdó
ado	ādó
adodo	àdòdó
adọdọ	ādɔ̀dɔ́
adoekiti	ādóèkìtì
adogan	àdòɡã́
adua	àdúà
adubi	àdùbí
adugbo	àdúɡbò
adumaadan	àdúmáādã́
adun	ādũ̀
adunmadẹẹkẹẹ	ādũ̀mádɛ̀ɛ́kɛ̀ɛ́
adunni	àdũ̀nĩ́
adunni	ādũ̀nĩ́
adupẹ	ādúkpɛ́
adura	àdúɾà
aeregbe	āéɾéɡbé
afaa	àfáà
afadurajagun	āfàdúɾàdʒāɡũ̄
afara	āfáɾá
afara	āfàɾà
afaraoyin	āfáɾáōjĩ̄
afayafa	āfàjàfà
afẹẹri	àfɛ́ɛ̀ɾí
afẹfẹ	āfɛ́fɛ́
afeimojo	àfèìmòdʒò
afẹmọjumọ	àfɛ̀mɔ̃́dʒúmɔ̃́
aferemọjo	àfèɾèmɔ̃̀dʒò
afikun	àfīkṹ
afinihan	āfīnĩ̄hã̀
afinju	āfĩ́dʒú
afirika	āfíɾíkà
afọbajẹ	āfɔ̄bādʒɛ̄
afojudi	àfōdʒúdī
afojusun	àfōdʒúsũ̀
afomọaarin	àfòmɔ̃́àáɾĩ́
afomọ	àfòmɔ̃́
afomọibẹrẹ	àfòmɔ̃́ìbɛ̀ɾɛ̀
afomọipari	àfòmɔ̃́ìkpāɾí
afọmọlọmu	āfɔ́mɔ̃̄lɔ́mṹ
afọn	àfɔ̃̀
afonifoji	àfōnĩ́fōdʒì
afoopina	àfòòkpīnã́
afopina	àfòkpīnã́
afọwọfa	àfɔ̄wɔ́fà
afọwọfaẹda	àfɔ̄wɔ́fàɛ̀dá
aga	àɡā
aga	āɡà
agabagebe	àɡàbàɡēbè
agabangebe	àɡàbàŋ̀ɡēbè
agada	àɡàdà
agada	āɡàdà
agada	āɡādā
agadagodo	àɡádáɡōdō
agaga	àɡàɡà
agalamaṣa	àɡálámàʃà
agalamọsa	àɡálámɔ̃̀sà
agalẹ	āɡālɛ̀
agan	àɡã̀
aganju	āɡã̄dʒú
aganjuṣọla	āɡã̄dʒúʃɔ̄lá
aganran	āɡã́ɾã́
aganrandi	àɡã́ɾã́dì
agba	àɡbá
agba	àɡbà
agba	āɡbā
agbaakin	àɡbàākĩ̄
agbabọọlu	āɡbábɔ́ɔ̀lù
agbada	āɡbádá
agbada	āɡbādā
agbadarigi	àɡbádáɾìɡì
agbado	àɡbàdō
agbagba	àɡbāɡbà
agbajọ	àɡbádʒɔ̄
agbako	àɡbákò
agbakoroju	àɡbàkòɾódʒú
agbala	àɡbàlá
agbalaaye	àɡbáláājé
agbalagba	àɡbàlāɡbà
agbalẹ	āɡbálɛ̀
agbamurere	àɡbámũ̀ɾéɾé
agban	àɡbã̀
agban	āɡbã̀
agbanilagbatan	āɡbānĩ̄láɡbàtã́
agbanrere	àɡbáŋ̀ɾéɾé
agbara	àɡbàɾá
agbara	àɡbàɾà
agbara	āɡbáɾā
agbara	āɡbàɾá
agbara	āɡbàɾà
agbari	āɡbáɾí
agbawo	āɡbáꜜwō
agbaye	àɡbájé
agbayun	àɡbájũ̄
agbayunkun	àɡbájũ̄kṹ
agbe	āɡbè
agbe	āɡbē
agbẹ	àɡbɛ̀
agbebọ	àɡbébɔ̀
agbẹdẹ	àɡbɛ̀dɛ̄
agbẹdẹbaba	àɡbɛ̀dɛ̄bàbà
agbẹdẹfadaka	àɡbɛ̀dɛ̄fàdákà
agbẹdẹwura	àɡbɛ̀dɛ̄wúɾà
agbẹdọ	àɡbɛ̄dɔ̀
agbẹdu	āɡbɛ̀dū
agbegbe	āɡbèɡbè
agbegbeakoko	āɡbèɡbèàkókò
agbẹgilere	āɡbɛ́ɡīléɾē
agbẹjọro	āɡbɛ̄dʒɔ́ɾò
agbekẹ	àɡbékɛ́
agbelebuu	àɡbéléꜜbú
agbigbo	àɡbìɡbò
agbinrin	àɡbĩ̀ɾĩ̀
agbo	àɡbó
agbo	àɡbò
agbo	àɡbō
agbo	āɡbō
agbojẹ	āɡbódʒɛ̄
agbokotọya	āɡbókōtɔ́jà
agbọn	àɡbɔ̃̀
