aa	àá
aa	áá
aadọrin	àádɔ́ꜜɾĩ̄
aadọta	àádɔ́ꜜtā
aafin	ààfĩ̄
aago	āāgō
aajin	ààdʒĩ̀
aajo	āádʒò
aakaragba	àákàɾàgbá
aake	àáké
aala	ààlà
aamu	àámṹ
aanu	àánṹ
aapọn	ààkpɔ̃̀
aarin	àáɾĩ́
aarinọla	àáɾínɔ̄lá
aaro	ààɾò
aarọ	ààɾɔ̀
aarọ	àáɾɔ̀
aasiki	āásìkí
aasikiriimu	áásìkīɾīìmù
aawẹ	ààwɛ̀
aaya	àájá
aayan	àájã́
aayan	āájã́
aayan	āájã̄
aaye	ààjè
aayo	ààjò
aba	àbá
aba	àbā
aba	ābà
aba	ābá
abajọ	ābádʒɔ̄
abakaliki	ābākālīkī
abakọọsi	ābákɔ́ɔ̀sì
abari	àbàɾí
abarịṣa	àbāɾɪ̀ʃà
abata	àbàtà
abatao	àbàtàó
abetiaja	ābētíādʒá
abi	àbí
abia	ábíá
abia	ābíá
abidi	ábídí
abidi	ābídí
abigbẹyin	àbígbɛ̀jĩ̀
abiikọ	àbíìkɔ́
abiku	àbíkú
abikẹ	àbíkɛ́
abilekọ	ābīlékɔ̄
abimbọla	ābíŋ̄bɔ́lá
abisinwin	àbísĩ́wĩ́
abiya	ābíjá
abiyamọ	ābījāmɔ̃̄
abiyẹ	ābìjɛ́
abiọdun	ābíɔ́dṹ
abiọna	ābíɔ́nã̀
aboadiyẹ	ābōādìjɛ̄
aboaguntan	ābōàgũ̀tã̀
aboaja	ābōādʒá
abobo	ābòbó
abolounjẹku	ābólóṹdʒɛ̄kú
aboorunyi	ābóòɾũ̀jí
aboyun	ābōjṹ
abuda	àbùdá
abuja	àbúdʒá
abuke	ābūké
abule	ābúlé
aburada	ābùɾādà
aburada	ābūɾādà
aburahamu	ábúɾáhámù
aburo	àbúɾò
abuubutan	àbùùbùtã́
abuubutanabuke	àbùùbùtã́ābūké
abẹ	ābɛ́
abẹ	ābɛ̄
abẹbi	àbɛ̀bí
abẹbẹ	ābɛ̀bɛ̀
abẹkẹ	àbɛ̀kɛ́
abẹla	àbɛ́là
abẹni	àbɛ̀nĩ́
abẹrẹ	ābɛ́ɾɛ́
abẹtẹ	ābɛ́tɛ̀
abẹtẹlẹ	àbɛ̀tɛ́lɛ̀
abọbaku	ābɔ́bākú
abọde	àbɔ̀dè
abọde	àbɔ̀dé
abọgibọpẹ	ābɔ̄gībɔ̀kpɛ̀
abọriṣa	ābɔ̀ɾìʃà
abọruabọyeabọṣiṣẹ	àbɔ̄ɾúàbɔ̄jèàbɔ̄ʃíʃɛ̄
abọsẹde	ābɔ́sɛ̀dé
achọ	ātʃɔ̄
ada	àdá
ada	ādà
adaba	àdàbà
adabalukofi	àdàbàlùkòfì
adado	àdádó
adagba	ādāgbā
adagun	ādágṹ
adahunṣe	ādáhũ̄ʃē
adamawa	ādámáwá
adan	àdã́
adanida	àdánĩ̄dá
adanida	ādánĩ̄dá
ade	ādé
adebayọ	ādébájɔ̀
adebọbajọ	ādébɔ́bādʒɔ̄
adediran	ādédìɾã̄
adedire	ādédīɾē
adedure	ādédūɾē
adedẹwẹ	ādédɛ̀wɛ́
adefunkẹ	ādéfṹkɛ́
adegbamigbe	ādégbàmĩ́gbé
adegbemibu	ādégbémĩ̄bú
adeikẹ	ādéìkɛ́
adekiitẹ	ādékìítɛ̀
adekugbe	ādékùgbé
adele	àdèlé
adenikẹ	ādénĩ́ꜜkɛ́
adenikẹẹ	ādénĩ́ꜜkɛ́
aderonkẹ	ādéɾóŋ̄kɛ́
adeyẹmi	ādéjɛ̄mĩ́
adeyẹmọ	ādéjɛ̄mɔ̃̄
adeṣina	ādéʃínã̀
adiitu	àdììtú
adikala	ādíkálà
adimọlẹ	àdìmɔ̃́lɛ̀
adin	àdĩ́
adinumasọrọ	ādīnũ̄másɔ̀ɾɔ̀
adio	àdìó
adiro	àdìɾò
adiro	àdìɾō
adiro	ādīɾō
adirẹsi	àdíɾɛ́sì
adisa	àdìsá
aditi	ādītí
adiyẹ	ādìjɛ̄
adiẹ	ādìɛ̄
ado	àdó
ado	ādó
adodo	àdòdó
adoekiti	ādóèkìtì
adogan	àdògã́
adua	àdúà
adubi	àdùbí
adugbo	àdúgbò
adumaadan	àdúmáādã́
adun	ādũ̀
adunmadẹẹkẹẹ	ādũ̀mádɛ̀ɛ́kɛ̀ɛ́
adunni	àdũ̀nĩ́
adunni	ādũ̀nĩ́
adupẹ	ādúkpɛ́
adura	àdúɾà
adẹrupọkọ	ādɛ́ɾùkpɔ̄kɔ̀
adịn	àdɪ̃̀
adọdọ	ādɔ̀dɔ́
aeregbe	āéɾégbé
afaa	àfáà
afadurajagun	āfàdúɾàdʒāgũ̄
afara	āfàɾà
afara	āfáɾá
afaraoyin	āfáɾáōjĩ̄
afayafa	āfàjàfà
afeimojo	àfèìmòdʒò
aferemọjo	àfèɾèmɔ̃̀dʒò
afikun	àfīkṹ
afinihan	āfīnĩ̄hã̀
afinju	āfĩ́dʒú
afirika	āfíɾíkà
afojudi	àfōdʒúdī
afojusun	àfōdʒúsũ̀
afomọ	àfòmɔ̃́
afomọaarin	àfòmɔ̃́àáɾĩ́
afomọibẹrẹ	àfòmɔ̃́ìbɛ̀ɾɛ̀
afomọipari	àfòmɔ̃́ìkpāɾí
afonifoji	àfōnĩ́fōdʒì
afoopina	àfòòkpīnã́
afopina	àfòkpīnã́
afẹfẹ	āfɛ́fɛ́
afẹmọjumọ	àfɛ̀mɔ̃́dʒúmɔ̃́
afẹẹri	àfɛ́ɛ̀ɾí
afọbajẹ	āfɔ̄bādʒɛ̄
afọmọlọmu	āfɔ́mɔ̃̄lɔ́mṹ
afọn	àfɔ̃̀
afọwọfa	àfɔ̄wɔ́fà
afọwọfaẹda	àfɔ̄wɔ́fàɛ̀dá
aga	àgā
aga	āgà
agabagebe	àgàbàgēbè
agabangebe	àgàbàŋ̀gēbè
agada	àgàdà
agada	āgàdà
agada	āgādā
agadagodo	àgádágōdō
agaga	àgàgà
agalamaṣa	àgálámàʃà
agalamọsa	àgálámɔ̃̀sà
agalẹ	āgālɛ̀
agan	àgã̀
aganju	āgã̄dʒú
aganjuṣọla	āgã̄dʒúʃɔ̄lá
aganran	āgã́ɾã́
aganrandi	àgã́ɾã́dì
agba	àgbà
agba	àgbá
agba	āgbā
agbaakin	àgbàākĩ̄
agbabọọlu	āgbábɔ́ɔ̀lù
agbada	āgbádá
agbada	āgbādā
agbadarigi	àgbádáɾìgì
agbado	àgbàdō
agbagba	àgbāgbà
agbajọ	àgbádʒɔ̄
agbako	àgbákò
agbakoroju	àgbàkòɾódʒú
agbala	àgbàlá
agbalaaye	àgbáláājé
agbalagba	àgbàlāgbà
agbalẹ	āgbálɛ̀
agbamurere	àgbámũ̀ɾéɾé
agban	àgbã̀
agban	āgbã̀
agbanilagbatan	āgbānĩ̄lágbàtã́
agbanrere	àgbáŋ̀ɾéɾé
agbara	àgbàɾà
agbara	àgbàɾá
agbara	āgbàɾà
agbara	āgbàɾá
agbara	āgbáɾā
agbari	āgbáɾí
agbawo	āgbáꜜwō
agbaye	àgbájé
agbayun	àgbájũ̄
agbayunkun	àgbájũ̄kṹ
agbe	āgbè
agbe	āgbē
agbebọ	àgbébɔ̀
agbegbe	āgbègbè
agbegbeakoko	āgbègbèàkókò
agbekẹ	àgbékɛ́
agbelebuu	àgbéléꜜbú
agbigbo	àgbìgbò
agbinrin	àgbĩ̀ɾĩ̀
agbo	àgbò
agbo	àgbó
agbo	àgbō
agbo	āgbō
agbojẹ	āgbódʒɛ̄
agbokotọya	āgbókōtɔ́jà
agbẹ	àgbɛ̀
agbẹdu	āgbɛ̀dū
agbẹdẹ	àgbɛ̀dɛ̄
agbẹdẹbaba	àgbɛ̀dɛ̄bàbà
agbẹdẹfadaka	àgbɛ̀dɛ̄fàdákà
agbẹdẹwura	àgbɛ̀dɛ̄wúɾà
agbẹdọ	àgbɛ̄dɔ̀
agbẹgilere	āgbɛ́gīléɾē
agbẹjọro	āgbɛ̄dʒɔ́ɾò
agbọn	àgbɔ̃̀
agbọn	àgbɔ̃̄
agbọn	āgbɔ̃̀
agbọn	āgbɔ̃́
agbọnmiregun	àgbɔ̃̄mĩ̀ɾègṹ
agbọnniregun	àgbɔ̃̄nĩ̀ɾègṹ
agbọnrin	àgbɔ̃̀ɾĩ́
agbọrin	àgbɔ̀ɾĩ́
age	àgé
agege	āgégē
agegi	āgégī
agele	àgèlè
aghan	àɣã̄
aghayo	āɣàjò
aghere	āɣéɾé
agho	āɣó
aghọ	āɣɔ̄
aghọfẹn	àɣɔ̀fɛ̃̄
agidi	āgídí
agidigbo	àgídìgbō
agilinti	āgílíŋ́tí
agiliti	āgílítí
agira	āgíɾá
agiriiki	àgíɾíìkì
agiyan	àgìjã̀
ago	àgò
ago	àgó
agodongbo	āgódóŋ́gbó
agogo	àgògō
agogo	àgógó
agogo	āgōgō
aguala	àgùàlà
aguda	àgùdà
agunfọn	àgũ̀fɔ̃̄
agunrẹn	àgũ̀ɾɛ̃̀
aguntan	àgũ̀tã̀
agura	āgùɾá
agutan	àgùtã̀
agutẹn	àgùtɛ̃̀
agẹmọ	āgɛ̄mɔ̃̄
agẹrẹ	àgɛ̀ɾɛ̀
agọ	àgɔ́
agọ	āgɔ̀
agọọlọpaa	àgɔ́ɔ̄lɔ́kpàá
agụta	àgʊ́tà
agụtọn	àgʊ̀tɔ̃̀
aha	āhá
ahaya	àhàjá
ahayaibọn	àhàjáìbɔ̃̄
ahere	āhéɾé
ahun	āhũ̀
ahun	āhũ̄
ahun	āhṹ
ahunṣọ	āhũ̄ʃɔ̄
ahọn	āhɔ̃́
aibikita	àìbìkítà
aifo	āífó
aigbagbọ	àìgbàgbɔ́
aigbe	àígbè
aighọ	àìɣɔ̀
aika	àìkà
aika	àìkā
aikaragba	àíkàɾàgbá
aike	àìkè
aike	àíké
ailee	àílèé
aina	àìnã́
ainisuuru	àìnĩ́sùúɾù
ainitẹẹlọrun	àìnĩ́ꜜtɛ́lɔ́ɾũ̀
ainọn	àínɔ̃́
aio	āīō
airi	àìɾí
airigbẹẹya	àìɾíꜜgbɛ́jà
airilegbe	àìɾílégbé
airiṣẹṣe	àìɾíʃɛ́ʃē
airo	āíɾō
airo	āīɾō
airoorunsun	àìɾóōɾũ̄sũ̀
airọmọbi	àìɾɔ́mɔ̃̄bí
aisan	àìsã̀
aisaya	āísájà
aisikiriimu	áísìkīɾīìmù
aja	àdʒà
aja	ādʒá
ajadi	àdʒàdí
ajaga	àdʒàgà
ajagbe	àdʒàgbé
ajaja	àdʒàdʒá
ajako	ādʒákō
ajala	àdʒàlá
ajalemogun	àdʒàlémògṹ
ajalọrun	àdʒàlɔ́ɾũ̄
ajanaka	ādʒānã̄ká
ajanaku	àdʒànã̀kú
ajani	àdʒànĩ́
ajao	àdʒàò
ajaoajọsọn	àdʒàòàdʒɔ̀sɔ̃́
ajaodidu	àdʒàòdídú
ajaopụpa	àdʒàòkpʊ̄kpā
ajaoro	ādʒáōɾò
ajaoṣupa	ādʒáòʃùkpá
ajapada	àdʒàkpādà
ajara	àdʒàɾà
ajari	àdʒàɾí
ajaṣẹ	àdʒàʃɛ́
aje	ādʒé
ajeji	àdʒèdʒì
ajereke	ādʒèɾèké
ajero	ādʒēɾò
ajewọle	ādʒéwɔ̄lé
ajibẹtẹ	ādʒíbɛ́tɛ́
ajijẹn	àdʒìdʒɛ̃̀
ajikẹ	àdʒíkɛ́
ajilẹ	ādʒílɛ̀
ajimẹfun	ādʒímɛ́fũ̄
ajinjin	àdʒĩ̀dʒĩ̀
ajo	àdʒò
ajo	àdʒó
ajogun	ādʒōgũ̄
ajoji	àdʒòdʒì
ajola	àdʒòlà
ajuleọrun	àdʒùléɔ̀ɾũ̄
ajẹ	àdʒɛ́
ajẹbu	ādʒɛ̀bú
ajẹbọ	ādʒɛ̄bɔ́
ajẹbọta	ādʒɛ̄bɔ́tà
ajẹku	àdʒɛ̄kù
ajẹlẹ	ādʒɛ́lɛ̀
ajẹntina	ādʒɛ̄ŋ̄tínà
ajẹpako	ādʒɛ̄kpákó
ajọ	àdʒɔ̄
ajọ	ādʒɔ̀
ajọagbaye	àdʒɔ̄àgbájé
ajọdi	àdʒɔ̄dì
ajọdun	àdʒɔ̀dṹ
ajọdẹ	àdʒɔ̄dɛ̄
ajọkẹ	àdʒɔ̄kɛ́
ajọpinnu	àdʒɔ̄kpĩ̄nũ̄
ajọpinya	àdʒɔ̄kpĩ́jà
ajọrin	àdʒɔ̄ɾĩ̀
ajọsọ	àdʒɔ̄sɔ̄
ajọyọ	àdʒɔ̄jɔ̀
ajọṣepọ	àdʒɔ̄ʃēkpɔ̀
aka	àká
aka	āká
aka	ākā
akaa	àkàà
akaba	àkàbà
akaka	àkàkà
akala	àkàlà
akalamọsa	àkálámɔ̃̀sà
akamara	àkámāɾà
akamuja	àkámũ̀dʒà
akan	ākã̀
akankẹ	àkã̀kɛ́
akanloede	àkã̀lòèdè
akanni	àkã̀nĩ́
akara	àkàɾà
akaraoyinbo	àkàɾàòjĩ̀bó
akarigbo	àkáɾìgbò
akasọ	àkàsɔ̀
akata	ākátá
akata	ākātā
akatanpo	àkàtàŋ̀kpó
akaya	àkàjà
akaye	àkàjé
akeekee	àkéēkèē
akeke	ākēkē
akekee	ākéēkèē
akere	àkèɾé
akerese	ākēɾēsē
akewi	ākéwì
akiika	àkíìkà
akika	ākīkā
akikaragba	àkíkàɾágbá
akike	àkíké
akin	ākĩ̄
akiniku	ākínĩ́kù
akinlẹyẹ	ākĩ́lɛ̀jɛ̄
akinlẹyẹ	ākĩ́lɛ́ꜜjɛ̄
akire	ākīɾè
akirun	ākìɾũ̄
akisa	àkísà
akiti	ākítì
akitẹṣọ	ákítɛ́ʃɔ̀
akoba	àkóbá
akojọ	àkódʒɔ̄
akoko	àkókò
akoko	àkókó
akoko	ākòkō
akokoro	ākōkōɾō
akolẹta	ākólɛ́tà
akoo	àkòó
akoro	àkòɾó
akoso	àkósō
akoto	ākōtō
akukọ	àkùkɔ̄
akunwọsilẹ	àkṹwɔ́sílɛ̀
akunyungba	ākũ̀jũ̀gbà
akurun	àkúɾũ̄
akurẹ	àkúɾɛ́
akurọ	àkùɾɔ̀
akuṣẹẹ	ākúʃɛ̀ɛ́
akwaibọm	ākwāíbɔ̄m
akẹ	àkɛ̀
akẹku	àkɛ̀kù
akẹkọọ	ākɛ́kɔ̀ɔ́
akẹn	ākɛ̃̄
akẹtẹ	àkɛ̄tɛ̀
akịka	ākɪ̄kā
akọ	àkɔ̀
akọ	ākɔ̄
akọbi	àkɔ́bí
akọbulọọgu	ākɔ̄búlɔ́ɔ̀gù
akọefu	ākɔ̄èfù
akọgirisi	àkɔ́gìɾìsì
akọigba	àkɔ́ìgbà
akọni	ākɔ́nĩ̄
akọni	ākɔ̄nĩ̄
akọsẹjaye	àkɔ̄sɛ̀dʒājé
akọtọ	àkɔ̄tɔ́
akọọlẹ	àkɔ̄ɔ́lɛ̀
ala	àlà
ala	àlá
alaaanu	āláꜜánṹ
alaadi	àlàádì
alaafia	àlàáfíà
alaafin	āláàfĩ̄
alaalẹ	ālāālɛ́
alaamu	àláàmũ̀
alaamu	āláàmũ̀
alaaye	ālààjè
alaba	àlàbá
alabaaṣiṣẹpọ	āláꜜbáʃīʃɛ́kpɔ̀
alabasita	ālābásítà
alabi	àlàbí
alade	àlàdé
alade	āládé
aladegbuji	āládégbùdʒì
aladejana	āládédʒánã̀
aladelusi	āládélúsì
alademọmi	āládémɔ̃̀mĩ́
aladije	ālàdídʒē
aladuugbo	āláꜜdúgbò
alafẹrẹ	āláfɛ̄ɾɛ́
alagabagebe	ālágàbàgēbè
alagabangebe	ālágàbàŋ̀gēbè
alagba	ālágbà
alagbadaina	ālágbádáīnã́
alagbeeka	āláꜜgbéká
alagbẹdẹ	ālágbɛ̀dɛ̄
alageere	āláꜜgéɾé
alagidi	ālágídí
alagoogo	ālágòógó
alailowaya	āláìlōwájà
alaini	āláìnĩ́
alainisuuru	āláìnĩ́sùúɾù
alakalaa	àlákáꜜlá
alakara	ālákàɾà
alake	āláké
alaketu	ālákétū
alakẹ	àlàkɛ́
alalupayida	ālálúkpàjídà
alalẹ	ālálɛ̀
alamisi	àlàmísì
alamọ	ālámɔ̃̀
alamọmọ	ālámɔ̃̀mɔ̃̀
alangba	āláŋ̀gbá
alantakun	āláŋ̀tākũ̀
alapa	àlákpà
alapa	ālákpá
alapaandẹdẹ	āláꜜkpáŋ̀dɛ̀dɛ̀
alapadupẹ	ālákpādúkpɛ́
alapata	āláꜜkpātà
alapinni	ālákpĩ̄nĩ̄
alara	āláɾá
alarabara	āláɾàbāɾà
alaruba	àlàɾùbā
alase	ālásè
alatagba	ālátāgbà
alatilẹyin	ālátìlɛ́jĩ̀
alawada	āláwàdà
alaye	àlàjé
alaye	ālájé
alaye	ālājé
alayerẹ	ālájèɾɛ́
alaṣẹrẹ	āláʃɛ̀ɾɛ́
ale	àlè
aleebu	àléébù
aleebuara	àléébùāɾā
aleefa	àlééfà
alegba	àlégbà
alegun	àlégũ̀
alejo	àlēdʒò
alepa	àlékpā
alepata	ālèkpātā
alere	àléɾé
alibenia	ālībéníà
alifabẹẹti	álífábɛ́ɛ̀tì
alikama	àlìkámà
alimi	álímĩ̀
alimoyi	àlìmójì
aliyu	àlíjù
aloe	álóè
aloju	àlòdʒù
aloko	àlòkò
aloku	àlòkù
alubarika	àlùbáɾíkà
alubasa	àlùbásà
alubọsa	àlùbɔ́sà
alubọsaelewe	àlùbɔ́sàēléwé
alufaa	àlùfáà
alugbagba	ālùgbàgbà
alujanna	àlùdʒã́nã̀
alujọnnu	àlùdʒɔ̃̀nṹ
alukawani	àlùkáwànĩ́
alukenbu	àlùkéŋ́bù
alukiamọ	àlùkìámɔ̃̀
aluko	àlùkò
alukunrin	àlùkũ̄ɾĩ́
alumọgaji	àlùmɔ̃́gàdʒí
alumọkọrọyi	àlùmɔ̃̀kɔ́ɾɔ́jí
alumọni	àlùmɔ̃́nĩ̀
alupayida	àlúkpàjídà
alupipi	ālūkpìkpì
alupupu	ālùkpùkpù
aluwala	àlùwàlá
alẹ	ālɛ̀
alẹ	ālɛ́
alẹde	ālɛ̀dē
alọ	àlɔ́
amala	àmàlà
amawomaro	āmāwōmáɾò
amenia	àméníà
ami	àmĩ̀
ami	àmĩ́
ami	āmĩ́
amiayo	àmĩ̀ājò
amifaagun	àmĩ̀fàágũ̀
amiohun	àmĩ̀ōhũ̀
amiohunaarin	àmĩ̀ōhũ̀àáɾĩ́
amiohunisalẹ	àmĩ̀ōhũ̀ìsàlɛ̀
amiohunoke	àmĩ̀ōhũ̀òkè
amiohunẹlẹyọọrodo	àmĩ̀ōhũ̀ɛ̄lɛ́ꜜjɔ́ɾōdò
amiohunẹlẹyọọroke	àmĩ̀ōhũ̀ɛ̄lɛ́ꜜjɔ́ɾòkè
amodi	àmódī
amofin	āmòfĩ̄
amubadọgba	āmṹbádɔ́gbā
amuga	àmũ̀gā
amuga	āmṹgā
amuku	àmũ̄kù
amulu	àmṹlù
amunisin	āmṹnĩ̄sĩ̀
amure	àmũ̀ɾè
amẹrika	āmɛ́ɾíkà
amọ	àmɔ̃́
amọ	āmɔ̃̀
amọkẹ	àmɔ̃̀kɛ́
amọtẹkun	àmɔ̃̀tɛ́kũ̀
an	ã́
an	ã̄
ana	ànã̀
ana	ànã́
ana	ànã̄
anabi	ànã́bì
anago	ànã̀gó
anamọ	ànã̀mɔ̃́
anbulansi	áŋ́búláŋ̀sì
andọra	àŋ̀dɔ́ɾà
anfaani	àŋ̀fàànĩ́
angola	àŋ̀gólà
aniani	ànĩ́ã̀nĩ́
anikangbiju	ānĩ̀kã̀gbīdʒù
anikẹ	ànĩ́kɛ́
aniyan	ànĩ́jã̀
ankali	áŋ́kàlí
ankuri	àŋ̀kúɾí
anlugbua	āŋ́lùgbūà
anta	àŋ̀tà
anti	àŋ̀tí
anupe	ànũ̀kpē
ao	àō
aogo	āāgō
aokindupẹaraẹni	āòkíŋ́dúkpɛ́āɾáɛ̄nĩ̄
aoolaye	āóòlájè
aoro	àòɾò
apa	àkpà
apa	àkpá
apa	ākpá
apaadi	àkpáàdì
apadidi	àkpádìdì
apala	àkpālá
apala	ākpálá
apala	ākpālà
apapa	àkpákpá
apari	ākpáɾí
aparo	àkpāɾò
apata	àkpátā
apatamaja	àkpátámàdʒà
apejẹ	àkpèdʒɛ́
apejẹ	àkpèdʒɛ̄
apekẹ	àkpèkɛ́
apere	àkpèɾè
apetumodu	àkpētūmōdù
apetunpe	àkpètṹkpè
apiiri	àkpíìɾì
apilẹkọ	àkpīlɛ̀kɔ̄
apo	àkpò
apo	ākpó
apola	àkpólà
apolo	àkpólò
apoogun	ākpòògũ̀
apoorooro	àkpòòɾóòɾō
apoowe	àkpòòwé
apopona	àkpókpónã̀
apoporo	ākpōkpōɾō
aporo	ākpōɾō
apoti	àkpótí
apoti	ākpòtí
apotọ	àkpòtɔ̀
apẹja	ākpɛ̄dʒā
apẹrẹ	ākpɛ̀ɾɛ̀
apẹtẹbi	ākpɛ̀tɛ̀bí
apẹẹrẹ	àkpɛ̄ɛ̄ɾɛ̄
apọn	àkpɔ̃́
apọnle	àkpɔ̃́lé
ara	àɾà
ara	àɾá
ara	āɾá
ara	āɾā
araalu	āɾáàlú
araarọ	àɾàáɾɔ̀
araba	àɾàbà
aragbayamuya	āɾágbājāmṹjā
aragberi	àɾágbēɾí
aragbiji	āɾágbìdʒí
aran	àɾã́
aranṣọ	āɾã́ʃɔ̄
are	àɾē
are	āɾé
arere	āɾèɾē
aridunnu	àɾídũ̀nṹ
arifin	àɾífĩ́
arigbo	āɾígbó
arikẹ	àɾíkɛ́
aringiya	āɾĩ̄gíjà
arinurode	āɾínṹɾóꜜdē
ariro	āɾíɾō
ariro	āɾīɾō
arisun	àɾìsũ̀
ariwa	àɾíwá
ariwo	āɾíwó
ariwo	āɾīwō
ariya	àɾíjá
ariyanjiyan	àɾíjã̀dʒījã̀
ariyọ	àɾíjɔ̀
aro	àɾó
aro	āɾò
aro	āɾó
aro	āɾō
arobo	āɾòbó
arojojoye	āɾódʒòdʒōjè
aroko	àɾōkò
arokọ	àɾòkɔ̄
arugbo	āɾúgbó
arugbọn	āɾūgbɔ̃̀
arun	àɾũ̀
arun	àɾṹ
arun	āɾũ̄
arunabẹgẹẹja	àɾũ̀ābɛ́ꜜgɛ́dʒà
arunamọ	àɾũ̀àmɔ̃́
arunawu	àɾũ̀āwú
